TABLE=019 | AREA=Phường Long Khánh | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=611-698 | LINES=6431 | HEADING=19. Phường Long Khánh ---
P=0611 | X=0090.020-0207.260 | Y=0212.230-0223.470 | 19. Phường Long Khánh
P=0611 | X=0487.390-0521.470 | Y=0229.990-0241.230 | Giá đất
P=0611 | X=0490.270-0518.550 | Y=0241.510-0252.750 | cơ sở
P=0611 | X=0495.790-0512.990 | Y=0254.910-0264.230 | sản
P=0611 | X=0494.110-0514.750 | Y=0266.430-0275.750 | xuất
P=0611 | X=0496.750-0511.780 | Y=0277.950-0287.270 | phi
P=0611 | X=0492.190-0516.810 | Y=0289.500-0298.820 | nông
P=0611 | X=0451.130-0485.210 | Y=0293.380-0304.620 | Giá đất
P=0611 | X=0487.870-0520.910 | Y=0301.020-0310.340 | nghiệp
P=0611 | X=0424.970-0486.300 | Y=0304.900-0316.140 | Giá thương
P=0611 | X=0117.410-0224.560 | Y=0310.660-0321.900 | Tên đường giao thông
P=0611 | X=0256.180-0301.480 | Y=0310.660-0321.900 | Điểm đầu
P=0611 | X=0345.240-0393.180 | Y=0310.660-0321.900 | Điểm cuối
P=0611 | X=0489.790-0518.830 | Y=0310.660-0321.900 | và đất
P=0611 | X=0092.180-0104.580 | Y=0312.540-0321.860 | TT
P=0611 | X=0420.650-0478.170 | Y=0316.420-0327.660 | đất ở mại,
P=0611 | X=0497.950-0510.770 | Y=0324.060-0333.380 | sử
P=0611 | X=0450.650-0485.840 | Y=0329.580-0338.900 | dịch vụ
P=0611 | X=0492.190-0516.820 | Y=0335.340-0344.660 | dụng
P=0611 | X=0495.310-0513.220 | Y=0346.860-0356.180 | cho
P=0611 | X=0493.630-0514.990 | Y=0358.380-0367.700 | hoạt
P=0611 | X=0492.190-0516.820 | Y=0368.040-0379.280 | động
P=0611 | X=0486.670-0522.330 | Y=0381.440-0390.760 | khoáng
P=0611 | X=0495.790-0512.990 | Y=0392.960-0402.280 | sản
P=0611 | X=0235.540-0317.490 | Y=0409.080-0420.320 | Ngã ba Đường Võ
P=0611 | X=0235.540-0301.370 | Y=0420.600-0431.840 | Duy Dương và
P=0611 | X=0095.570-0206.490 | Y=0426.360-0437.600 | 1 Đường Hồng Thập Tự
P=0611 | X=0322.200-0404.120 | Y=0426.360-0437.600 | Đường 21 tháng 4
P=0611 | X=0424.970-0450.020 | Y=0428.240-0437.560 | 5.600
P=0611 | X=0461.210-0486.260 | Y=0428.240-0437.560 | 3.900
P=0611 | X=0497.230-0522.280 | Y=0428.240-0437.560 | 3.400
P=0611 | X=0235.540-0300.180 | Y=0432.120-0443.360 | Đường Lương
P=0611 | X=0235.540-0277.860 | Y=0443.640-0454.880 | Đình Của
P=0611 | X=0106.850-0407.500 | Y=0461.420-0472.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0611 | X=0106.850-0400.990 | Y=0472.940-0484.180 | Tự đoạn từ Ngã ba Đường Võ Duy Dương và Đường Lương Đình
P=0611 | X=0106.850-0408.200 | Y=0484.220-0495.460 | Của đến Đường 21 tháng 4 có hiện trạng là đường nhựa, bê tông xi
P=0611 | X=0095.570-0134.850 | Y=0495.740-0507.180 | 2 măng:
P=0611 | X=0424.970-0450.020 | Y=0497.860-0507.180 | 2.800
P=0611 | X=0461.210-0486.260 | Y=0497.860-0507.180 | 2.000
P=0611 | X=0497.230-0522.280 | Y=0497.860-0507.180 | 1.700
P=0611 | X=0106.850-0329.760 | Y=0513.260-0524.500 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0611 | X=0106.850-0384.020 | Y=0530.780-0542.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0611 | X=0106.850-0407.500 | Y=0548.570-0559.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0611 | X=0106.850-0400.990 | Y=0560.090-0571.330 | Tự đoạn từ Ngã ba Đường Võ Duy Dương và Đường Lương Đình
P=0611 | X=0106.850-0408.200 | Y=0571.610-0582.850 | Của đến Đường 21 tháng 4 có hiện trạng là đường nhựa, bê tông xi
P=0611 | X=0106.850-0134.850 | Y=0583.130-0594.370 | măng:
P=0611 | X=0095.570-0330.020 | Y=0599.650-0611.890 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0611 | X=0424.970-0450.020 | Y=0599.650-0608.970 | 2.100
P=0611 | X=0461.210-0486.260 | Y=0599.650-0608.970 | 1.500
P=0611 | X=0497.230-0522.280 | Y=0599.650-0608.970 | 1.300
P=0611 | X=0106.850-0413.270 | Y=0618.190-0629.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0611 | X=0106.850-0140.370 | Y=0629.710-0640.950 | ≤600m.
