TABLE=020 | AREA=Phường Bảo Vinh | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=698-724 | LINES=1875 | HEADING=20. Phường Bảo Vinh ---
P=0698 | X=0090.020-0192.450 | Y=0200.710-0211.950 | 20. Phường Bảo Vinh
P=0698 | X=0467.690-0517.350 | Y=0218.710-0229.950 | Giá đất cơ
P=0698 | X=0464.330-0520.500 | Y=0232.110-0241.430 | sở sản xuất
P=0698 | X=0426.890-0513.700 | Y=0241.750-0252.990 | Giá đất phi nông
P=0698 | X=0126.290-0203.000 | Y=0253.270-0264.510 | Tên đường giao
P=0698 | X=0401.420-0515.790 | Y=0253.270-0264.510 | Giá thương nghiệp và
P=0698 | X=0235.300-0280.580 | Y=0259.030-0270.270 | Điểm đầu
P=0698 | X=0323.880-0371.820 | Y=0259.030-0270.270 | Điểm cuối
P=0698 | X=0096.530-0108.930 | Y=0260.910-0270.230 | TT
P=0698 | X=0397.100-0521.380 | Y=0264.790-0276.030 | đất ở mại, đất sử dụng
P=0698 | X=0150.770-0178.740 | Y=0266.670-0275.990 | thông
P=0698 | X=0426.410-0513.540 | Y=0278.190-0287.510 | dịch vụ cho hoạt
P=0698 | X=0480.170-0504.830 | Y=0287.860-0299.100 | động
P=0698 | X=0464.570-0520.190 | Y=0301.260-0310.580 | khoáng sản
P=0698 | X=0115.730-0203.110 | Y=0317.620-0328.860 | Đường Suối Chồn -
P=0698 | X=0214.150-0283.140 | Y=0317.620-0328.860 | Đường Nguyễn
P=0698 | X=0099.890-0105.490 | Y=0325.260-0334.580 | 1
P=0698 | X=0302.280-0384.220 | Y=0325.260-0334.580 | Ngã ba Suối Chồn
P=0698 | X=0400.460-0425.510 | Y=0325.260-0334.580 | 2.500
P=0698 | X=0437.210-0462.260 | Y=0325.260-0334.580 | 1.800
P=0698 | X=0497.230-0522.280 | Y=0325.260-0334.580 | 1.500
P=0698 | X=0115.730-0151.320 | Y=0331.020-0340.340 | Bàu Cối
P=0698 | X=0214.150-0264.340 | Y=0331.020-0340.340 | Trung Trực
P=0698 | X=0115.730-0386.860 | Y=0347.140-0358.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0698 | X=0115.730-0386.390 | Y=0358.660-0369.900 | Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến Ngã
P=0698 | X=0115.730-0386.200 | Y=0369.960-0381.200 | ba Suối Chồn có hiện trạng là đường nhựa, bê tông xi măng:
