TABLE=021 | AREA=Phường Xuân Lập | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=724-741 | LINES=1201 | HEADING=21. Phường Xuân Lập ---
P=0724 | X=0090.020-0193.900 | Y=0446.040-0457.280 | 21. Phường Xuân Lập
P=0724 | X=0469.130-0518.790 | Y=0464.060-0475.300 | Giá đất cơ
P=0724 | X=0465.770-0521.940 | Y=0477.460-0486.780 | sở sản xuất
P=0724 | X=0429.770-0515.090 | Y=0487.100-0498.340 | Giá đất phi nông
P=0724 | X=0404.300-0517.470 | Y=0500.500-0509.820 | Giá thương nghiệp và
P=0724 | X=0096.530-0223.120 | Y=0504.380-0515.620 | TT Tên đường giao thông
P=0724 | X=0242.740-0288.020 | Y=0504.380-0515.620 | Điểm đầu
P=0724 | X=0327.960-0375.900 | Y=0504.380-0515.620 | Điểm cuối
P=0724 | X=0399.980-0456.810 | Y=0510.140-0521.380 | đất ở mại,
P=0724 | X=0478.490-0509.330 | Y=0510.140-0521.380 | đất sử
P=0724 | X=0429.290-0516.310 | Y=0523.540-0532.860 | dịch vụ dụng cho
P=0724 | X=0469.610-0518.030 | Y=0533.210-0544.450 | hoạt động
P=0724 | X=0466.250-0521.870 | Y=0546.610-0555.930 | khoáng sản
P=0724 | X=0115.970-0204.360 | Y=0562.970-0574.210 | Đường Lương Đình
P=0724 | X=0223.990-0282.420 | Y=0562.970-0574.210 | Đường Hồng
P=0724 | X=0307.320-0389.740 | Y=0562.970-0574.210 | Giáp ranh phường
P=0724 | X=0099.890-0105.490 | Y=0570.370-0579.690 | 1
P=0724 | X=0402.860-0427.910 | Y=0570.370-0579.690 | 4.400
P=0724 | X=0440.330-0465.380 | Y=0570.370-0579.690 | 3.100
P=0724 | X=0497.230-0522.280 | Y=0570.370-0579.690 | 2.600
P=0724 | X=0115.970-0134.290 | Y=0576.130-0585.450 | Của
P=0724 | X=0223.990-0262.690 | Y=0576.130-0585.450 | Thập Tự
P=0724 | X=0307.320-0361.180 | Y=0576.130-0585.450 | Long Khánh
P=0724 | X=0115.970-0364.290 | Y=0592.250-0603.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0724 | X=0115.970-0373.880 | Y=0603.770-0615.010 | Lương Đình Của đoạn từ Đường Hồng Thập Tự đến Giáp
P=0724 | X=0115.970-0377.980 | Y=0615.290-0626.530 | ranh phường Long Khánh có hiện trạng là đường nhựa, bê
P=0724 | X=0115.970-0176.130 | Y=0626.830-0638.070 | tông xi măng:
P=0724 | X=0099.890-0105.490 | Y=0628.950-0638.270 | 2
P=0724 | X=0402.860-0427.910 | Y=0628.950-0638.270 | 2.200
P=0724 | X=0440.330-0465.380 | Y=0628.950-0638.270 | 1.500
P=0724 | X=0497.230-0522.280 | Y=0628.950-0638.270 | 1.300
P=0724 | X=0115.970-0338.890 | Y=0644.350-0655.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0724 | X=0115.970-0393.160 | Y=0661.870-0673.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0724 | X=0115.970-0364.290 | Y=0679.870-0691.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0724 | X=0115.970-0373.880 | Y=0691.390-0702.630 | Lương Đình Của đoạn từ Đường Hồng Thập Tự đến Giáp
P=0724 | X=0099.890-0105.490 | Y=0693.270-0702.590 | 3
P=0724 | X=0402.860-0427.910 | Y=0693.270-0702.590 | 1.700
P=0724 | X=0440.330-0465.380 | Y=0693.270-0702.590 | 1.200
P=0724 | X=0497.230-0522.280 | Y=0693.270-0702.590 | 1.000
P=0724 | X=0115.970-0377.980 | Y=0702.930-0714.170 | ranh phường Long Khánh có hiện trạng là đường nhựa, bê
P=0725 | X=0115.970-0176.120 | Y=0072.740-0083.980 | tông xi măng:
P=0725 | X=0115.970-0339.140 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0725 | X=0115.970-0369.260 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông tư
P=0725 | X=0115.970-0202.540 | Y=0119.330-0130.570 | >400m đến ≤600m.
