TABLE=022 | AREA=Phường Hàng Gòn | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=741-755 | LINES=1035 | HEADING=22. Phường Hàng Gòn ---
P=0741 | X=0090.020-0196.730 | Y=0347.140-0358.380 | 22. Phường Hàng Gòn
P=0741 | X=0469.610-0519.280 | Y=0365.160-0376.400 | Giá đất cơ
P=0741 | X=0478.010-0510.830 | Y=0378.560-0387.880 | sở sản
P=0741 | X=0475.130-0513.710 | Y=0389.840-0399.160 | xuất phi
P=0741 | X=0430.730-0464.810 | Y=0399.480-0410.720 | Giá đất
P=0741 | X=0482.090-0506.710 | Y=0401.360-0410.680 | nông
P=0741 | X=0132.290-0209.000 | Y=0411.000-0422.240 | Tên đường giao
P=0741 | X=0405.980-0517.950 | Y=0412.880-0422.200 | Giá thương nghiệp và
P=0741 | X=0235.540-0280.820 | Y=0416.760-0428.000 | Điểm đầu
P=0741 | X=0323.400-0371.340 | Y=0416.760-0428.000 | Điểm cuối
P=0741 | X=0098.930-0111.330 | Y=0418.640-0427.960 | TT
P=0741 | X=0401.660-0457.770 | Y=0422.520-0433.760 | đất ở mại,
P=0741 | X=0478.970-0509.810 | Y=0422.520-0433.760 | đất sử
P=0741 | X=0156.770-0184.740 | Y=0424.400-0433.720 | thông
P=0741 | X=0430.250-0516.810 | Y=0435.920-0445.240 | dịch vụ dụng cho
P=0741 | X=0470.090-0518.510 | Y=0445.560-0456.800 | hoạt động
P=0741 | X=0476.570-0512.230 | Y=0458.980-0468.300 | khoáng
P=0741 | X=0485.710-0502.910 | Y=0470.500-0479.820 | sản
P=0741 | X=0220.630-0278.810 | Y=0486.860-0498.100 | Đầu Cầu Gia
P=0741 | X=0296.280-0371.000 | Y=0488.740-0498.060 | Giáp ngã ba Tân
P=0741 | X=0121.010-0202.930 | Y=0492.620-0503.860 | Đường 21 tháng 4
P=0741 | X=0102.290-0107.890 | Y=0494.500-0503.820 | 1
P=0741 | X=0404.540-0429.590 | Y=0494.500-0503.820 | 5.900
P=0741 | X=0441.050-0466.100 | Y=0494.500-0503.820 | 4.100
P=0741 | X=0497.230-0522.280 | Y=0494.500-0503.820 | 3.500
P=0741 | X=0220.630-0239.670 | Y=0500.260-0509.580 | Liêu
P=0741 | X=0296.280-0325.170 | Y=0500.260-0509.580 | Phong
P=0741 | X=0121.010-0383.270 | Y=0516.380-0527.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0741 | X=0121.010-0370.740 | Y=0527.900-0539.140 | tháng 4 đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân
P=0741 | X=0121.010-0359.540 | Y=0539.450-0550.690 | Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0741 | X=0102.290-0107.890 | Y=0547.330-0556.650 | 2
P=0741 | X=0404.540-0429.590 | Y=0547.330-0556.650 | 1.800
P=0741 | X=0441.050-0466.100 | Y=0547.330-0556.650 | 1.300
P=0741 | X=0497.230-0522.280 | Y=0547.330-0556.650 | 1.100
P=0741 | X=0121.010-0343.920 | Y=0556.970-0568.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0741 | X=0121.010-0398.200 | Y=0574.250-0585.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0741 | X=0121.010-0383.270 | Y=0592.250-0603.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0741 | X=0121.010-0370.740 | Y=0603.770-0615.010 | tháng 4 đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân
P=0741 | X=0121.010-0359.560 | Y=0615.290-0626.530 | Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0741 | X=0121.010-0344.180 | Y=0632.830-0644.070 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0741 | X=0102.290-0107.890 | Y=0637.830-0647.150 | 3
P=0741 | X=0404.540-0429.590 | Y=0637.830-0647.150 | 1.200
P=0741 | X=0449.210-0465.850 | Y=0637.830-0647.150 | 840
P=0741 | X=0505.390-0522.030 | Y=0637.830-0647.150 | 720
P=0741 | X=0121.010-0374.320 | Y=0650.350-0661.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0741 | X=0121.010-0207.580 | Y=0661.870-0673.110 | >400m đến ≤600m.
P=0741 | X=0121.010-0344.180 | Y=0679.390-0690.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0741 | X=0121.010-0383.270 | Y=0697.390-0708.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0741 | X=0102.290-0107.890 | Y=0699.270-0708.590 | 4
P=0741 | X=0412.700-0429.340 | Y=0699.270-0708.590 | 980
P=0741 | X=0449.210-0465.850 | Y=0699.270-0708.590 | 690
P=0741 | X=0505.390-0522.030 | Y=0699.270-0708.590 | 590
P=0742 | X=0121.010-0370.740 | Y=0072.740-0083.980 | tháng 4 đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân
P=0742 | X=0121.010-0359.560 | Y=0084.260-0095.500 | Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0742 | X=0121.010-0398.440 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0742 | X=0121.010-0344.650 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0742 | X=0121.010-0394.520 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0742 | X=0121.010-0394.530 | Y=0148.850-0160.090 | ra Đường 21 tháng 4 đoạn từ Đầu cầu Gia Liêu đến Giáp ngã
P=0742 | X=0121.010-0393.630 | Y=0160.370-0171.610 | ba Tân Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0742 | X=0102.290-0107.890 | Y=0168.250-0177.570 | 5
P=0742 | X=0404.540-0429.590 | Y=0168.250-0177.570 | 1.600
P=0742 | X=0441.050-0466.100 | Y=0168.250-0177.570 | 1.100
P=0742 | X=0505.390-0522.030 | Y=0168.250-0177.570 | 960
P=0742 | X=0121.010-0343.920 | Y=0177.650-0188.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0742 | X=0121.010-0398.200 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0742 | X=0121.010-0394.520 | Y=0213.190-0224.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0742 | X=0121.010-0394.530 | Y=0224.710-0235.950 | ra Đường 21 tháng 4 đoạn từ Đầu cầu Gia Liêu đến Giáp ngã
P=0742 | X=0121.010-0393.630 | Y=0236.230-0247.470 | ba Tân Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0742 | X=0121.010-0344.180 | Y=0253.750-0264.990 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0742 | X=0102.290-0107.890 | Y=0258.750-0268.070 | 6
P=0742 | X=0404.540-0429.590 | Y=0258.750-0268.070 | 1.100
P=0742 | X=0449.210-0465.850 | Y=0258.750-0268.070 | 770
P=0742 | X=0505.390-0522.030 | Y=0258.750-0268.070 | 660
P=0742 | X=0121.010-0374.320 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0742 | X=0121.010-0207.580 | Y=0282.820-0294.060 | >400m đến ≤600m.
P=0742 | X=0121.010-0344.180 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0742 | X=0121.010-0394.520 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0742 | X=0121.010-0396.690 | Y=0329.860-0341.100 | ra Đường 21 tháng 4 đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã
P=0742 | X=0121.010-0393.630 | Y=0341.380-0352.620 | ba Tân Phong có hiện trạng là đường nhựa, bê tông xi măng:
P=0742 | X=0102.290-0107.890 | Y=0349.260-0358.580 | 7
P=0742 | X=0412.700-0429.340 | Y=0349.260-0358.580 | 880
P=0742 | X=0449.210-0465.850 | Y=0349.260-0358.580 | 620
P=0742 | X=0505.390-0522.030 | Y=0349.260-0358.580 | 530
P=0742 | X=0121.010-0398.440 | Y=0358.900-0370.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0742 | X=0121.010-0347.330 | Y=0376.200-0387.440 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0742 | X=0121.010-0193.350 | Y=0394.200-0405.440 | Đường Lê Hồng
P=0742 | X=0220.630-0379.640 | Y=0399.960-0411.200 | Đường 21 tháng Giáp ranh xã Xuân
P=0742 | X=0121.010-0212.080 | Y=0405.720-0416.960 | Phong (đường Xuân
P=0742 | X=0102.290-0107.890 | Y=0407.600-0416.920 | 8
P=0742 | X=0404.540-0429.590 | Y=0407.600-0416.920 | 2.800
P=0742 | X=0441.050-0466.100 | Y=0407.600-0416.920 | 2.000
P=0742 | X=0497.230-0522.280 | Y=0407.600-0416.920 | 1.700
P=0742 | X=0296.280-0317.000 | Y=0411.480-0422.720 | Định
P=0742 | X=0220.630-0226.230 | Y=0413.360-0422.680 | 4
P=0742 | X=0121.010-0197.350 | Y=0417.240-0428.480 | Tân - Xuân Định)
P=0742 | X=0121.010-0383.270 | Y=0435.240-0446.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
