TABLE=023 | AREA=Phường Bình Lộc | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=755-941 | LINES=13517 | HEADING=23. Phường Bình Lộc ---
P=0755 | X=0090.020-0191.920 | Y=0212.950-0224.190 | 23. Phường Bình Lộc
P=0755 | X=0469.850-0519.510 | Y=0230.950-0242.190 | Giá đất cơ
P=0755 | X=0478.010-0510.830 | Y=0244.350-0253.670 | sở sản
P=0755 | X=0475.370-0513.930 | Y=0255.870-0265.190 | xuất phi
P=0755 | X=0431.210-0465.290 | Y=0265.510-0276.750 | Giá đất
P=0755 | X=0482.330-0506.950 | Y=0267.390-0276.710 | nông
P=0755 | X=0123.410-0200.120 | Y=0277.030-0288.270 | Tên đường giao
P=0755 | X=0405.740-0517.950 | Y=0277.030-0288.270 | Giá thương nghiệp và
P=0755 | X=0229.780-0275.060 | Y=0282.820-0294.060 | Điểm đầu
P=0755 | X=0323.400-0371.340 | Y=0282.820-0294.060 | Điểm cuối
P=0755 | X=0096.530-0108.930 | Y=0284.700-0294.020 | TT
P=0755 | X=0401.420-0458.250 | Y=0288.580-0299.820 | đất ở mại,
P=0755 | X=0479.210-0510.050 | Y=0288.580-0299.820 | đất sử
P=0755 | X=0147.890-0175.860 | Y=0290.460-0299.780 | thông
P=0755 | X=0430.730-0517.050 | Y=0301.980-0311.300 | dịch vụ dụng cho
P=0755 | X=0470.330-0518.750 | Y=0311.620-0322.860 | hoạt động
P=0755 | X=0476.570-0512.230 | Y=0325.020-0334.340 | khoáng
P=0755 | X=0485.950-0503.150 | Y=0336.540-0345.860 | sản
P=0755 | X=0297.240-0379.660 | Y=0352.900-0364.140 | Giáp ranh phường
P=0755 | X=0208.150-0286.750 | Y=0354.780-0364.100 | Giáp ranh xã Dầu
P=0755 | X=0099.890-0105.490 | Y=0360.540-0369.860 | 1
P=0755 | X=0115.970-0159.010 | Y=0360.540-0369.860 | Quốc lộ 1
P=0755 | X=0404.780-0429.830 | Y=0360.540-0369.860 | 4.900
P=0755 | X=0441.530-0466.580 | Y=0360.540-0369.860 | 3.400
P=0755 | X=0497.230-0522.280 | Y=0360.540-0369.860 | 2.900
