TABLE=025 | AREA=Xã Xuân Hòa | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=941-965 | LINES=1704 | HEADING=25. Xã Xuân Hòa ---
P=0941 | X=0090.020-0168.060 | Y=0574.930-0584.250 | 25. Xã Xuân Hòa
P=0941 | X=0467.210-0516.870 | Y=0590.810-0602.050 | Giá đất cơ
P=0941 | X=0463.850-0520.020 | Y=0604.210-0613.530 | sở sản xuất
P=0941 | X=0426.170-0513.170 | Y=0613.850-0625.090 | Giá đất phi nông
P=0941 | X=0399.980-0515.310 | Y=0625.390-0636.630 | Giá thương nghiệp và
P=0941 | X=0124.130-0231.300 | Y=0631.150-0642.390 | Tên đường giao thông
P=0941 | X=0259.300-0304.600 | Y=0631.150-0642.390 | Điểm đầu
P=0941 | X=0331.800-0379.740 | Y=0631.150-0642.390 | Điểm cuối
P=0941 | X=0094.820-0107.220 | Y=0633.030-0642.350 | TT
P=0941 | X=0395.660-0520.900 | Y=0636.910-0648.150 | đất ở mại đất sử dụng
P=0941 | X=0425.690-0513.060 | Y=0650.310-0659.630 | dịch vụ cho hoạt
P=0941 | X=0479.690-0504.340 | Y=0659.950-0671.190 | động
P=0941 | X=0464.090-0519.710 | Y=0673.350-0682.670 | khoáng sản
P=0941 | X=0112.130-0222.870 | Y=0689.470-0700.710 | Đường Huỳnh Văn Nghệ
P=0941 | X=0243.460-0306.920 | Y=0689.470-0700.710 | Đường hồ Núi
P=0941 | X=0320.520-0372.430 | Y=0691.350-0700.670 | Hết ranh xã
P=0941 | X=0098.210-0103.810 | Y=0697.110-0706.430 | 1
P=0941 | X=0399.980-0425.030 | Y=0697.110-0706.430 | 1.900
P=0941 | X=0436.250-0461.300 | Y=0697.110-0706.430 | 1.300
P=0941 | X=0497.230-0522.280 | Y=0697.110-0706.430 | 1.100
P=0941 | X=0112.130-0222.130 | Y=0700.770-0712.010 | đoạn thuộc xã Xuân Hòa
P=0941 | X=0243.460-0254.580 | Y=0702.660-0711.980 | Le
P=0941 | X=0320.520-0364.780 | Y=0702.660-0711.980 | Xuân Hòa
P=0942 | X=0112.130-0360.450 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0942 | X=0112.130-0386.860 | Y=0090.020-0101.260 | Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường hồ
P=0942 | X=0112.130-0366.220 | Y=0101.540-0112.780 | Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là đường
P=0942 | X=0098.210-0215.240 | Y=0113.060-0124.500 | 2 nhựa, bê tông xi măng:
P=0942 | X=0408.140-0424.780 | Y=0115.180-0124.500 | 900
P=0942 | X=0444.410-0461.050 | Y=0115.180-0124.500 | 630
P=0942 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 540
P=0942 | X=0112.130-0343.210 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0942 | X=0112.130-0389.320 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0942 | X=0112.130-0360.450 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0942 | X=0112.130-0386.860 | Y=0177.170-0188.410 | Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường hồ
P=0942 | X=0112.130-0366.220 | Y=0188.690-0199.930 | Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là đường
P=0942 | X=0112.130-0215.240 | Y=0200.230-0211.470 | nhựa, bê tông xi măng:
P=0942 | X=0098.210-0343.680 | Y=0216.990-0228.990 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0942 | X=0408.140-0424.780 | Y=0216.990-0226.310 | 650
P=0942 | X=0444.410-0461.050 | Y=0216.990-0226.310 | 460
P=0942 | X=0505.390-0522.030 | Y=0216.990-0226.310 | 390
P=0942 | X=0112.130-0365.440 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0942 | X=0112.130-0207.080 | Y=0246.790-0258.030 | >500m đến ≤1.000m.
P=0942 | X=0112.130-0335.300 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0942 | X=0112.130-0360.450 | Y=0282.100-0293.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0942 | X=0112.130-0386.860 | Y=0293.620-0304.860 | Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường hồ
P=0942 | X=0112.130-0366.220 | Y=0305.140-0316.380 | Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là đường
P=0942 | X=0112.130-0215.240 | Y=0316.660-0327.900 | nhựa, bê tông xi măng:
P=0942 | X=0098.210-0103.810 | Y=0324.540-0333.860 | 4
P=0942 | X=0408.140-0424.780 | Y=0324.540-0333.860 | 520
P=0942 | X=0444.410-0461.050 | Y=0324.540-0333.860 | 360
P=0942 | X=0505.390-0522.030 | Y=0324.540-0333.860 | 310
P=0942 | X=0112.130-0353.240 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0942 | X=0112.130-0154.270 | Y=0347.340-0356.660 | >1.000m.
P=0942 | X=0112.130-0335.770 | Y=0362.980-0374.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0942 | X=0112.130-0385.640 | Y=0380.760-0392.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0942 | X=0112.130-0384.650 | Y=0392.280-0403.520 | ra Đường Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ
P=0942 | X=0112.130-0381.810 | Y=0403.800-0415.040 | Đường hồ Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là
P=0942 | X=0098.210-0247.900 | Y=0415.320-0426.760 | 5 đường nhựa, bê tông xi măng:
P=0942 | X=0408.140-0424.780 | Y=0417.440-0426.760 | 810
P=0942 | X=0444.410-0461.050 | Y=0417.440-0426.760 | 570
P=0942 | X=0505.390-0522.030 | Y=0417.440-0426.760 | 490
P=0942 | X=0112.130-0343.210 | Y=0432.840-0444.080 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0942 | X=0112.130-0389.320 | Y=0450.380-0461.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0942 | X=0112.130-0385.640 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0942 | X=0112.130-0384.650 | Y=0479.660-0490.900 | ra Đường Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ
P=0942 | X=0112.130-0381.810 | Y=0491.180-0502.420 | Đường hồ Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là
P=0942 | X=0112.130-0247.900 | Y=0502.460-0513.700 | đường nhựa, bê tông xi măng:
P=0942 | X=0098.210-0343.680 | Y=0519.220-0531.220 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0942 | X=0408.140-0424.780 | Y=0519.220-0528.540 | 590
P=0942 | X=0444.410-0461.050 | Y=0519.220-0528.540 | 410
P=0942 | X=0505.390-0522.030 | Y=0519.220-0528.540 | 350
P=0942 | X=0112.130-0365.440 | Y=0537.530-0548.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0942 | X=0112.130-0207.080 | Y=0549.050-0560.290 | >500m đến ≤1.000m.
P=0942 | X=0112.130-0335.300 | Y=0566.570-0577.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0942 | X=0112.130-0385.640 | Y=0584.330-0595.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0942 | X=0112.130-0384.650 | Y=0595.850-0607.090 | ra Đường Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ
P=0942 | X=0112.130-0381.810 | Y=0607.370-0618.610 | Đường hồ Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là
P=0942 | X=0112.130-0247.900 | Y=0618.910-0630.150 | đường nhựa, bê tông xi măng:
P=0942 | X=0098.210-0103.810 | Y=0626.790-0636.110 | 7
P=0942 | X=0408.140-0424.780 | Y=0626.790-0636.110 | 470
P=0942 | X=0444.410-0461.050 | Y=0626.790-0636.110 | 330
P=0942 | X=0505.390-0522.030 | Y=0626.790-0636.110 | 280
P=0942 | X=0112.130-0353.240 | Y=0636.430-0647.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0942 | X=0112.130-0154.270 | Y=0649.830-0659.150 | >1.000m.
P=0942 | X=0112.130-0335.770 | Y=0665.470-0676.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0942 | X=0243.460-0314.810 | Y=0683.230-0694.470 | Đường Ngô Gia
P=0942 | X=0320.520-0372.950 | Y=0688.750-0699.990 | Hết Trường
P=0942 | X=0098.210-0155.170 | Y=0696.390-0705.710 | 8 Quốc lộ 1
P=0942 | X=0243.460-0312.360 | Y=0696.390-0705.710 | Tự (song hành)
P=0942 | X=0399.980-0425.030 | Y=0696.390-0705.710 | 4.100
P=0942 | X=0436.250-0461.300 | Y=0696.390-0705.710 | 2.900
P=0942 | X=0497.230-0522.280 | Y=0696.390-0705.710 | 2.500
P=0942 | X=0320.520-0384.700 | Y=0700.290-0711.530 | Mầm non ấp 6
P=0942 | X=0243.460-0306.650 | Y=0706.050-0717.290 | đoạn thuộc xã
P=0943 | X=0243.460-0287.720 | Y=0074.380-0083.700 | Xuân Hòa
P=0943 | X=0112.130-0371.740 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0943 | X=0112.130-0383.720 | Y=0101.780-0113.020 | đoạn từ Đường Ngô Gia Tự (song hành) đoạn thuộc xã Xuân
P=0943 | X=0112.130-0375.580 | Y=0113.300-0124.540 | Hòa đến Hết Trường Mầm non ấp 6 có hiện trạng là đường
P=0943 | X=0098.210-0215.240 | Y=0124.850-0136.290 | 9 nhựa, bê tông xi măng:
P=0943 | X=0399.980-0425.030 | Y=0126.970-0136.290 | 1.800
P=0943 | X=0436.250-0461.300 | Y=0126.970-0136.290 | 1.300
P=0943 | X=0497.230-0522.280 | Y=0126.970-0136.290 | 1.100
P=0943 | X=0112.130-0343.210 | Y=0142.370-0153.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0943 | X=0112.130-0389.320 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0943 | X=0112.130-0371.740 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0943 | X=0112.130-0383.720 | Y=0188.930-0200.170 | đoạn từ Đường Ngô Gia Tự (song hành) đoạn thuộc xã Xuân
P=0943 | X=0112.130-0375.580 | Y=0200.470-0211.710 | Hòa đến Hết Trường Mầm non ấp 6 có hiện trạng là đường
P=0943 | X=0112.130-0215.240 | Y=0211.990-0223.230 | nhựa, bê tông xi măng:
P=0943 | X=0095.330-0343.680 | Y=0228.750-0240.750 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0943 | X=0408.140-0424.780 | Y=0228.750-0238.070 | 950
P=0943 | X=0444.410-0461.050 | Y=0228.750-0238.070 | 670
P=0943 | X=0505.390-0522.030 | Y=0228.750-0238.070 | 570
P=0943 | X=0112.130-0365.440 | Y=0247.030-0258.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0943 | X=0112.130-0207.080 | Y=0258.550-0269.790 | >500m đến ≤1.000m.
P=0943 | X=0112.130-0335.300 | Y=0276.070-0287.310 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0943 | X=0112.130-0371.740 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0943 | X=0112.130-0383.720 | Y=0305.380-0316.620 | đoạn từ Đường Ngô Gia Tự (song hành) đoạn thuộc xã Xuân
P=0943 | X=0112.130-0375.580 | Y=0316.900-0328.140 | Hòa đến Hết Trường Mầm non ấp 6 có hiện trạng là đường
P=0943 | X=0112.130-0215.240 | Y=0328.420-0339.660 | nhựa, bê tông xi măng:
P=0943 | X=0095.330-0106.450 | Y=0336.300-0345.620 | 11
P=0943 | X=0408.140-0424.780 | Y=0336.300-0345.620 | 730
P=0943 | X=0444.410-0461.050 | Y=0336.300-0345.620 | 510
P=0943 | X=0505.390-0522.030 | Y=0336.300-0345.620 | 440
P=0943 | X=0112.130-0353.240 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0943 | X=0112.130-0154.270 | Y=0359.100-0368.420 | >1.000m.
P=0943 | X=0112.130-0335.770 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0943 | X=0112.130-0385.640 | Y=0392.520-0403.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0943 | X=0112.130-0374.380 | Y=0404.040-0415.280 | ra Quốc lộ 1 đoạn từ Đường Ngô Gia Tự (song hành) đoạn
P=0943 | X=0112.130-0373.430 | Y=0415.560-0426.800 | thuộc xã Xuân Hòa đến Hết Trường Mầm non ấp 6 có hiện
P=0943 | X=0095.330-0283.910 | Y=0427.080-0438.520 | 12 trạng là đường nhựa, bê tông xi măng:
P=0943 | X=0399.980-0425.030 | Y=0429.200-0438.520 | 1.600
P=0943 | X=0436.250-0461.300 | Y=0429.200-0438.520 | 1.100
P=0943 | X=0505.390-0522.030 | Y=0429.200-0438.520 | 960
P=0943 | X=0112.130-0343.210 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0943 | X=0112.130-0389.320 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0943 | X=0112.130-0385.640 | Y=0479.900-0491.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0943 | X=0112.130-0374.380 | Y=0491.420-0502.660 | ra Quốc lộ 1 đoạn từ Đường Ngô Gia Tự (song hành) đoạn
P=0943 | X=0112.130-0373.430 | Y=0502.940-0514.180 | thuộc xã Xuân Hòa đến Hết Trường Mầm non ấp 6 có hiện
P=0943 | X=0112.130-0283.910 | Y=0514.220-0525.460 | trạng là đường nhựa, bê tông xi măng:
