TABLE=026 | AREA=Xã Xuân Thành | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=965-993 | LINES=1959 | HEADING=26. Xã Xuân Thành ---
P=0965 | X=0090.020-0178.940 | Y=0376.400-0385.720 | 26. Xã Xuân Thành
P=0965 | X=0467.690-0517.350 | Y=0392.520-0403.760 | Giá đất cơ
P=0965 | X=0464.330-0520.500 | Y=0405.920-0415.240 | sở sản xuất
P=0965 | X=0427.130-0513.650 | Y=0415.560-0426.800 | Giá đất phi nông
P=0965 | X=0390.140-0516.030 | Y=0427.080-0438.320 | Giá đất thương nghiệp và
P=0965 | X=0117.650-0224.800 | Y=0432.840-0444.080 | Tên đường giao thông
P=0965 | X=0245.860-0291.140 | Y=0432.840-0444.080 | Điểm đầu
P=0965 | X=0323.400-0371.340 | Y=0432.840-0444.080 | Điểm cuối
P=0965 | X=0094.580-0106.980 | Y=0434.720-0444.040 | TT
P=0965 | X=0403.580-0410.750 | Y=0438.600-0449.840 | ở
P=0965 | X=0435.530-0521.620 | Y=0438.600-0449.840 | mại đất sử dụng
P=0965 | X=0426.650-0513.540 | Y=0452.020-0461.340 | dịch vụ cho hoạt
P=0965 | X=0480.170-0504.820 | Y=0461.660-0472.900 | động
P=0965 | X=0464.810-0520.430 | Y=0475.060-0484.380 | khoáng sản
P=0965 | X=0230.980-0288.420 | Y=0493.300-0502.620 | Giáp ranh xã
P=0965 | X=0097.970-0182.060 | Y=0497.180-0508.420 | 1 Đường tỉnh 766
P=0965 | X=0306.360-0370.300 | Y=0497.180-0508.420 | Cây xăng số 9
P=0965 | X=0400.460-0425.510 | Y=0499.060-0508.380 | 2.500
P=0965 | X=0437.450-0462.500 | Y=0499.060-0508.380 | 1.800
P=0965 | X=0497.230-0522.280 | Y=0499.060-0508.380 | 1.500
P=0965 | X=0230.980-0272.980 | Y=0504.820-0514.140 | Xuân Lộc
P=0965 | X=0111.890-0379.430 | Y=0520.460-0531.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0965 | X=0111.890-0370.510 | Y=0531.980-0543.220 | 766 đoạn từ Giáp ranh xã Xuân Lộc đến Cây xăng số 9 có
P=0965 | X=0111.890-0305.500 | Y=0543.530-0554.770 | hiện trạng là đường nhựa, bê tông xi măng:
P=0965 | X=0097.970-0103.570 | Y=0557.170-0566.490 | 2
P=0965 | X=0400.460-0425.510 | Y=0557.170-0566.490 | 1.300
P=0965 | X=0445.610-0462.250 | Y=0557.170-0566.490 | 910
P=0965 | X=0505.390-0522.030 | Y=0557.170-0566.490 | 780
P=0965 | X=0111.890-0342.970 | Y=0561.050-0572.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0965 | X=0111.890-0353.000 | Y=0578.570-0589.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0965 | X=0111.890-0145.410 | Y=0590.090-0601.330 | ≤500m.
