TABLE=027 | AREA=Xã Xuân Bắc | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=993-1019 | LINES=1838 | HEADING=27. Xã Xuân Bắc ---
P=0993 | X=0090.020-0167.430 | Y=0516.580-0525.900 | 27. Xã Xuân Bắc
P=0993 | X=0466.730-0516.390 | Y=0532.730-0543.970 | Giá đất cơ
P=0993 | X=0463.370-0519.540 | Y=0545.890-0555.210 | sở sản xuất
P=0993 | X=0425.210-0512.690 | Y=0555.530-0566.770 | Giá đất phi nông
P=0993 | X=0398.780-0514.830 | Y=0567.050-0578.290 | Giá thương nghiệp và
P=0993 | X=0118.850-0226.250 | Y=0572.810-0584.050 | Tên đường giao thông
P=0993 | X=0252.340-0297.640 | Y=0572.810-0584.050 | Điểm đầu
P=0993 | X=0328.440-0376.380 | Y=0572.810-0584.050 | Điểm cuối
P=0993 | X=0092.180-0104.580 | Y=0574.690-0584.010 | TT
P=0993 | X=0394.460-0520.420 | Y=0578.570-0589.810 | đất ở mại đất sử dụng
P=0993 | X=0424.730-0512.580 | Y=0591.970-0601.290 | dịch vụ cho hoạt
P=0993 | X=0479.210-0503.860 | Y=0601.610-0612.850 | động
P=0993 | X=0463.610-0519.230 | Y=0615.010-0624.330 | khoáng sản
P=0993 | X=0315.000-0372.940 | Y=0631.390-0642.630 | Giáp Trường
P=0993 | X=0235.540-0292.980 | Y=0639.030-0648.350 | Giáp ranh xã
P=0993 | X=0095.570-0177.500 | Y=0642.910-0654.150 | 1 Đường tỉnh 763
P=0993 | X=0315.000-0385.180 | Y=0644.790-0654.110 | Tiểu học Võ Thị
P=0993 | X=0398.780-0423.830 | Y=0644.790-0654.110 | 1.600
P=0993 | X=0435.290-0460.340 | Y=0644.790-0654.110 | 1.100
P=0993 | X=0505.390-0522.030 | Y=0644.790-0654.110 | 960
P=0993 | X=0235.540-0287.780 | Y=0650.550-0659.870 | Thống Nhất
P=0993 | X=0315.000-0332.840 | Y=0656.310-0665.630 | Sáu
P=0993 | X=0107.330-0374.870 | Y=0672.190-0683.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0993 | X=0095.570-0378.710 | Y=0683.710-0694.950 | 2 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường Tiểu
P=0993 | X=0406.940-0423.580 | Y=0685.590-0694.910 | 680
P=0993 | X=0443.450-0460.090 | Y=0685.590-0694.910 | 480
P=0993 | X=0505.390-0522.030 | Y=0685.590-0694.910 | 410
P=0993 | X=0107.330-0385.470 | Y=0695.230-0706.470 | học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0994 | X=0107.330-0338.410 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0994 | X=0107.330-0384.500 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0994 | X=0107.330-0374.870 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0994 | X=0107.330-0378.710 | Y=0125.330-0136.570 | 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường Tiểu
P=0994 | X=0107.330-0385.470 | Y=0136.850-0148.090 | học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0994 | X=0095.570-0338.880 | Y=0154.370-0168.450 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0994 | X=0406.940-0423.580 | Y=0159.130-0168.450 | 410
P=0994 | X=0443.450-0460.090 | Y=0159.130-0168.450 | 290
P=0994 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 250
P=0994 | X=0107.330-0360.620 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0994 | X=0107.330-0202.310 | Y=0183.170-0194.410 | >500m đến ≤1.000m.
P=0994 | X=0107.330-0330.500 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0994 | X=0107.330-0374.870 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
