TABLE=028 | AREA=Xã Xuân Phú | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1019-1059 | LINES=2819 | HEADING=28. Xã Xuân Phú ---
P=1019 | X=0090.020-0167.910 | Y=0348.060-0357.380 | 28. Xã Xuân Phú
P=1019 | X=0456.410-0521.440 | Y=0363.700-0374.940 | Giá đất cơ sở
P=1019 | X=0459.770-0518.260 | Y=0377.120-0386.440 | sản xuất phi
P=1019 | X=0419.930-0454.010 | Y=0381.000-0392.240 | Giá đất
P=1019 | X=0459.050-0519.230 | Y=0388.640-0397.960 | nông nghiệp
P=1019 | X=0384.860-0455.070 | Y=0392.520-0403.760 | Giá đất thương
P=1019 | X=0118.370-0225.750 | Y=0398.280-0409.520 | Tên đường giao thông
P=1019 | X=0249.700-0294.980 | Y=0398.280-0409.520 | Điểm đầu
P=1019 | X=0323.160-0371.100 | Y=0398.280-0409.520 | Điểm cuối
P=1019 | X=0466.730-0511.490 | Y=0398.280-0409.520 | và đất sử
P=1019 | X=0092.180-0104.580 | Y=0400.160-0409.480 | TT
P=1019 | X=0398.300-0405.470 | Y=0404.040-0415.280 | ở
P=1019 | X=0428.330-0445.530 | Y=0405.920-0415.240 | mại
P=1019 | X=0466.490-0511.510 | Y=0411.680-0421.000 | dụng cho
P=1019 | X=0419.450-0454.640 | Y=0417.440-0426.760 | dịch vụ
P=1019 | X=0464.810-0513.230 | Y=0421.320-0432.560 | hoạt động
P=1019 | X=0461.210-0516.830 | Y=0434.720-0444.040 | khoáng sản
P=1019 | X=0309.720-0367.410 | Y=0450.860-0462.100 | Đường Xuân
P=1019 | X=0235.300-0292.740 | Y=0452.740-0462.060 | Giáp ranh xã
P=1019 | X=0095.570-0149.890 | Y=0458.500-0467.820 | 1 Quốc lộ 1
P=1019 | X=0393.980-0419.030 | Y=0458.500-0467.820 | 3.600
P=1019 | X=0430.250-0455.300 | Y=0458.500-0467.820 | 2.500
P=1019 | X=0497.470-0522.520 | Y=0458.500-0467.820 | 2.200
P=1019 | X=0235.300-0281.950 | Y=0462.380-0473.620 | Xuân Định
