TABLE=029 | AREA=Xã Xuân Định | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1059-1090 | LINES=2275 | HEADING=29. Xã Xuân Định ---
P=1059 | X=0090.020-0171.330 | Y=0432.600-0443.840 | 29. Xã Xuân Định
P=1059 | X=0482.090-0516.190 | Y=0450.380-0461.620 | Giá đất
P=1059 | X=0484.990-0513.270 | Y=0461.900-0473.140 | cơ sở
P=1059 | X=0478.730-0519.540 | Y=0475.300-0484.620 | sản xuất
P=1059 | X=0478.010-0520.370 | Y=0486.820-0496.140 | phi nông
P=1059 | X=0441.050-0475.130 | Y=0490.700-0501.940 | Giá đất
P=1059 | X=0482.810-0515.870 | Y=0498.100-0507.420 | nghiệp
P=1059 | X=0402.860-0476.220 | Y=0501.980-0513.220 | Giá đất thương
P=1059 | X=0092.180-0220.960 | Y=0507.740-0518.980 | TT Tên đường giao thông
P=1059 | X=0246.580-0291.860 | Y=0507.740-0518.980 | Điểm đầu
P=1059 | X=0331.080-0379.020 | Y=0507.740-0518.980 | Điểm cuối
P=1059 | X=0476.810-0521.570 | Y=0507.740-0518.980 | và đất sử
P=1059 | X=0416.300-0423.470 | Y=0513.500-0524.740 | ở
P=1059 | X=0448.010-0468.090 | Y=0515.380-0524.700 | mại,
P=1059 | X=0476.570-0521.610 | Y=0521.140-0530.460 | dụng cho
P=1059 | X=0440.570-0475.760 | Y=0526.900-0536.220 | dịch vụ
P=1059 | X=0488.590-0509.950 | Y=0532.660-0541.980 | hoạt
P=1059 | X=0486.910-0511.540 | Y=0542.330-0553.570 | động
P=1059 | X=0481.370-0517.030 | Y=0555.730-0565.050 | khoáng
P=1059 | X=0490.510-0507.710 | Y=0567.250-0576.570 | sản
P=1059 | X=0228.100-0272.110 | Y=0585.250-0594.570 | Giáp ranh
P=1059 | X=0228.100-0290.350 | Y=0594.890-0606.130 | phường Hàng
P=1059 | X=0095.570-0149.890 | Y=0596.770-0606.090 | 1 Quốc lộ 1
P=1059 | X=0310.440-0396.080 | Y=0596.770-0606.090 | Hết công ty Intimex
P=1059 | X=0414.860-0439.910 | Y=0596.770-0606.090 | 3.900
P=1059 | X=0451.130-0476.180 | Y=0596.770-0606.090 | 2.700
P=1059 | X=0497.230-0522.280 | Y=0596.770-0606.090 | 2.300
P=1059 | X=0228.100-0247.140 | Y=0608.290-0617.610 | Gòn
P=1059 | X=0106.850-0391.430 | Y=0624.190-0635.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1059 | X=0106.850-0392.630 | Y=0635.710-0646.950 | từ Giáp ranh phường Hàng Gòn đến Hết công ty Intimex có hiện
P=1059 | X=0106.850-0278.630 | Y=0647.230-0658.470 | trạng là đường nhựa, bê tông xi măng:
P=1059 | X=0095.570-0101.170 | Y=0655.110-0664.430 | 2
P=1059 | X=0414.860-0439.910 | Y=0655.110-0664.430 | 1.700
P=1059 | X=0451.130-0476.180 | Y=0655.110-0664.430 | 1.200
P=1059 | X=0497.230-0522.280 | Y=0655.110-0664.430 | 1.000
P=1059 | X=0106.850-0337.930 | Y=0664.510-0675.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1059 | X=0106.850-0384.020 | Y=0682.030-0693.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1059 | X=0095.570-0391.430 | Y=0699.810-0711.050 | 3 Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1059 | X=0414.860-0439.910 | Y=0701.700-0711.020 | 1.000
P=1059 | X=0459.290-0475.930 | Y=0701.700-0711.020 | 700
P=1059 | X=0505.390-0522.030 | Y=0701.700-0711.020 | 600
P=1060 | X=0106.850-0392.630 | Y=0072.500-0083.740 | từ Giáp ranh phường Hàng Gòn đến Hết công ty Intimex có hiện
P=1060 | X=0106.850-0278.660 | Y=0084.020-0095.260 | trạng là đường nhựa, bê tông xi măng:
P=1060 | X=0106.850-0338.400 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1060 | X=0106.850-0393.740 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1060 | X=0106.850-0167.970 | Y=0130.610-0141.850 | đến ≤1.000m.
P=1060 | X=0106.850-0330.020 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
