TABLE=030 | AREA=Xã Cẩm Mỹ | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1090-1118 | LINES=1954 | HEADING=30. Xã Cẩm Mỹ ---
P=1090 | X=0090.020-0160.450 | Y=0638.790-0648.110 | 30. Xã Cẩm Mỹ
P=1090 | X=0484.990-0519.070 | Y=0654.670-0665.910 | Giá đất
P=1090 | X=0439.370-0473.450 | Y=0660.430-0671.670 | Giá đất
P=1090 | X=0486.190-0514.470 | Y=0666.190-0677.430 | cơ sở
P=1090 | X=0395.420-0472.860 | Y=0671.950-0683.190 | Giá đất thương
P=1090 | X=0094.340-0219.760 | Y=0677.710-0688.950 | TT Tên đường giao thông
P=1090 | X=0239.860-0285.140 | Y=0677.710-0688.950 | Điểm đầu
P=1090 | X=0324.840-0372.780 | Y=0677.710-0688.950 | Điểm cuối
P=1090 | X=0479.930-0520.740 | Y=0679.590-0688.910 | sản xuất
P=1090 | X=0407.180-0414.350 | Y=0683.470-0694.710 | ở
P=1090 | X=0433.130-0476.740 | Y=0685.350-0694.670 | mại, dịch
P=1090 | X=0479.210-0521.570 | Y=0691.110-0700.430 | phi nông
P=1090 | X=0448.970-0460.650 | Y=0696.870-0706.190 | vụ
P=1090 | X=0484.030-0517.070 | Y=0702.420-0711.740 | nghiệp
P=1091 | X=0485.950-0514.990 | Y=0072.260-0083.500 | và đất
P=1091 | X=0480.410-0520.660 | Y=0085.660-0094.980 | sử dụng
P=1091 | X=0479.450-0521.460 | Y=0097.180-0106.500 | cho hoạt
P=1091 | X=0488.110-0512.740 | Y=0106.820-0118.060 | động
P=1091 | X=0482.570-0518.230 | Y=0120.250-0129.570 | khoáng
P=1091 | X=0491.710-0508.910 | Y=0131.770-0141.090 | sản
P=1091 | X=0111.170-0187.980 | Y=0147.650-0158.890 | Đường tỉnh 765B
P=1091 | X=0221.350-0278.790 | Y=0155.290-0164.610 | Giáp ranh xã
P=1091 | X=0097.730-0200.230 | Y=0159.170-0170.410 | 1 (đường Xuân Định -
P=1091 | X=0303.960-0366.430 | Y=0161.050-0170.370 | Cầu Bảo Bình
P=1091 | X=0405.980-0431.030 | Y=0161.050-0170.370 | 2.600
P=1091 | X=0453.530-0478.580 | Y=0161.050-0170.370 | 1.800
P=1091 | X=0497.230-0522.280 | Y=0161.050-0170.370 | 1.600
P=1091 | X=0221.350-0268.030 | Y=0164.930-0176.170 | Xuân Định
P=1091 | X=0111.170-0154.610 | Y=0172.570-0181.890 | Lâm San)
P=1091 | X=0111.170-0378.710 | Y=0188.450-0199.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1091 | X=0111.170-0369.820 | Y=0199.990-0211.230 | 765B (đường Xuân Định - Lâm San) đoạn từ Giáp ranh xã
P=1091 | X=0111.170-0389.260 | Y=0211.510-0222.750 | Xuân Định đến Cầu Bảo Bình có hiện trạng là đường nhựa, bê
P=1091 | X=0097.730-0171.330 | Y=0223.030-0234.470 | 2 tông xi măng:
P=1091 | X=0405.980-0431.030 | Y=0225.150-0234.470 | 1.200
P=1091 | X=0461.930-0478.570 | Y=0225.150-0234.470 | 840
P=1091 | X=0505.630-0522.270 | Y=0225.150-0234.470 | 720
P=1091 | X=0111.170-0342.250 | Y=0240.550-0251.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1091 | X=0111.170-0388.360 | Y=0258.070-0269.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1091 | X=0111.170-0378.710 | Y=0275.830-0287.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1091 | X=0111.170-0369.790 | Y=0287.380-0298.620 | 765B (đường Xuân Định - Lâm San) đoạn từ Giáp ranh xã
P=1091 | X=0111.170-0389.260 | Y=0298.900-0310.140 | Xuân Định đến Cầu Bảo Bình có hiện trạng là đường nhựa, bê
P=1091 | X=0111.170-0171.330 | Y=0310.420-0321.660 | tông xi măng:
