TABLE=031 | AREA=Xã Xuân Quế | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1118-1133 | LINES=1095 | HEADING=31. Xã Xuân Quế ---
P=1118 | X=0090.020-0168.640 | Y=0156.010-0165.330 | 31. Xã Xuân Quế
P=1118 | X=0483.290-0517.390 | Y=0171.890-0183.130 | Giá đất
P=1118 | X=0486.190-0514.470 | Y=0183.170-0194.410 | cơ sở
P=1118 | X=0479.930-0520.740 | Y=0196.570-0205.890 | sản xuất
P=1118 | X=0479.210-0521.570 | Y=0208.110-0217.430 | phi nông
P=1118 | X=0437.690-0471.770 | Y=0211.990-0223.230 | Giá đất
P=1118 | X=0484.030-0517.070 | Y=0219.630-0228.950 | nghiệp
P=1118 | X=0393.500-0472.620 | Y=0223.510-0234.750 | Giá đất thương
P=1118 | X=0094.340-0219.520 | Y=0229.270-0240.510 | TT Tên đường giao thông
P=1118 | X=0239.380-0284.660 | Y=0229.270-0240.510 | Điểm đầu
P=1118 | X=0322.920-0370.860 | Y=0229.270-0240.510 | Điểm cuối
P=1118 | X=0485.950-0514.990 | Y=0229.270-0240.510 | và đất
P=1118 | X=0406.940-0414.110 | Y=0235.030-0246.270 | ở
P=1118 | X=0432.890-0476.500 | Y=0236.910-0246.230 | mại, dịch
P=1118 | X=0480.410-0520.660 | Y=0242.670-0251.990 | sử dụng
P=1118 | X=0448.730-0460.410 | Y=0248.430-0257.750 | vụ
P=1118 | X=0479.450-0521.460 | Y=0254.190-0263.510 | cho hoạt
P=1118 | X=0488.110-0512.740 | Y=0263.830-0275.070 | động
P=1118 | X=0482.570-0518.230 | Y=0277.230-0286.550 | khoáng
P=1118 | X=0491.710-0508.910 | Y=0288.780-0298.100 | sản
P=1118 | X=0111.170-0201.910 | Y=0304.900-0316.140 | Đường Sông Nhạn -
P=1118 | X=0220.870-0277.850 | Y=0306.780-0316.100 | Ranh giới xã
P=1118 | X=0097.730-0103.330 | Y=0312.540-0321.860 | 1
P=1118 | X=0303.480-0358.670 | Y=0312.540-0321.860 | Cầu Quân Y
P=1118 | X=0405.740-0430.790 | Y=0312.540-0321.860 | 2.600
P=1118 | X=0453.530-0478.580 | Y=0312.540-0321.860 | 1.800
P=1118 | X=0497.230-0522.280 | Y=0312.540-0321.860 | 1.600
P=1118 | X=0111.170-0153.160 | Y=0318.300-0327.620 | Dầu Giây
P=1118 | X=0220.870-0265.860 | Y=0318.300-0327.620 | Xuân Quế
P=1118 | X=0111.170-0385.650 | Y=0333.940-0345.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1118 | X=0111.170-0370.790 | Y=0345.460-0356.700 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế đến Cầu
P=1118 | X=0111.170-0354.740 | Y=0356.980-0368.220 | Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1118 | X=0097.730-0103.330 | Y=0364.860-0374.180 | 2
P=1118 | X=0405.740-0430.790 | Y=0364.860-0374.180 | 1.300
P=1118 | X=0461.690-0478.330 | Y=0364.860-0374.180 | 910
P=1118 | X=0505.390-0522.030 | Y=0364.860-0374.180 | 780
P=1118 | X=0111.170-0342.250 | Y=0374.520-0385.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1118 | X=0111.170-0388.360 | Y=0392.040-0403.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1118 | X=0111.170-0385.650 | Y=0409.800-0421.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1118 | X=0111.170-0370.790 | Y=0421.320-0432.560 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế đến Cầu
P=1118 | X=0111.170-0354.740 | Y=0432.840-0444.080 | Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1118 | X=0097.730-0342.720 | Y=0450.380-0464.460 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1118 | X=0405.740-0430.790 | Y=0455.140-0464.460 | 1.000
P=1118 | X=0461.690-0478.330 | Y=0455.140-0464.460 | 700
P=1118 | X=0505.390-0522.030 | Y=0455.140-0464.460 | 600
P=1118 | X=0111.170-0364.480 | Y=0467.900-0479.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1118 | X=0111.170-0206.120 | Y=0479.420-0490.660 | >500m đến ≤1.000m.
P=1118 | X=0111.170-0334.340 | Y=0496.940-0508.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1118 | X=0111.170-0385.650 | Y=0514.460-0525.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1118 | X=0111.170-0370.790 | Y=0525.980-0537.220 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế đến Cầu
P=1118 | X=0111.170-0354.740 | Y=0537.530-0548.770 | Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1118 | X=0097.730-0103.330 | Y=0551.170-0560.490 | 4
P=1118 | X=0413.900-0430.540 | Y=0551.170-0560.490 | 790
P=1118 | X=0461.690-0478.330 | Y=0551.170-0560.490 | 550
P=1118 | X=0505.390-0522.030 | Y=0551.170-0560.490 | 470
P=1118 | X=0111.170-0360.730 | Y=0555.050-0566.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1118 | X=0111.170-0147.570 | Y=0568.450-0577.770 | 1.000m.
P=1118 | X=0111.170-0337.460 | Y=0584.090-0595.330 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1118 | X=0111.170-0384.700 | Y=0601.850-0613.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1118 | X=0111.170-0380.590 | Y=0613.370-0624.610 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1118 | X=0111.170-0386.350 | Y=0624.910-0636.150 | Quế đến Cầu Quân Y có hiện trạng là đường nhựa, bê tông xi
P=1118 | X=0097.730-0139.170 | Y=0636.430-0647.870 | 5 măng:
P=1118 | X=0405.740-0430.790 | Y=0638.550-0647.870 | 1.200
P=1118 | X=0461.690-0478.330 | Y=0638.550-0647.870 | 840
P=1118 | X=0505.390-0522.030 | Y=0638.550-0647.870 | 720
P=1118 | X=0111.170-0342.250 | Y=0653.950-0665.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1118 | X=0111.170-0388.360 | Y=0671.470-0682.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1118 | X=0111.170-0384.680 | Y=0689.230-0700.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1118 | X=0097.730-0103.330 | Y=0696.630-0705.950 | 6
P=1118 | X=0413.900-0430.540 | Y=0696.630-0705.950 | 900
P=1118 | X=0461.690-0478.330 | Y=0696.630-0705.950 | 630
P=1118 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 540
P=1118 | X=0111.170-0380.590 | Y=0700.530-0711.770 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1119 | X=0111.170-0386.350 | Y=0072.500-0083.740 | Quế đến Cầu Quân Y có hiện trạng là đường nhựa, bê tông xi
P=1119 | X=0111.170-0139.170 | Y=0084.020-0095.260 | măng:
P=1119 | X=0111.170-0336.730 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.00m.
P=1119 | X=0111.170-0364.480 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1119 | X=0111.170-0206.120 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1119 | X=0111.170-0334.340 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1119 | X=0111.170-0384.680 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1119 | X=0111.170-0380.590 | Y=0177.170-0188.410 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1119 | X=0111.170-0386.350 | Y=0188.690-0199.930 | Quế đến Cầu Quân Y có hiện trạng là đường nhựa, bê tông xi
P=1119 | X=0111.170-0139.170 | Y=0200.230-0211.470 | măng:
P=1119 | X=0097.730-0103.330 | Y=0208.110-0217.430 | 7
P=1119 | X=0413.900-0430.540 | Y=0208.110-0217.430 | 710
P=1119 | X=0461.690-0478.330 | Y=0208.110-0217.430 | 500
P=1119 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 430
P=1119 | X=0111.170-0360.730 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1119 | X=0111.170-0147.570 | Y=0231.150-0240.470 | 1.000m.
P=1119 | X=0111.170-0334.810 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1119 | X=0111.170-0201.910 | Y=0264.550-0275.790 | Đường Sông Nhạn -
P=1119 | X=0303.480-0375.330 | Y=0264.550-0275.790 | Đường vào Nhà
P=1119 | X=0097.730-0103.330 | Y=0272.190-0281.510 | 8
P=1119 | X=0220.870-0276.090 | Y=0272.190-0281.510 | Cầu Quân Y
P=1119 | X=0405.740-0430.790 | Y=0272.190-0281.510 | 2.300
P=1119 | X=0453.530-0478.580 | Y=0272.190-0281.510 | 1.600
P=1119 | X=0497.230-0522.280 | Y=0272.190-0281.510 | 1.400
P=1119 | X=0303.480-0363.080 | Y=0276.070-0287.310 | Văn hóa ấp 4
P=1119 | X=0111.170-0153.160 | Y=0277.950-0287.270 | Dầu Giây
P=1119 | X=0111.170-0385.650 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1119 | X=0111.170-0374.620 | Y=0305.380-0316.620 | Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường vào Nhà
P=1119 | X=0111.170-0380.430 | Y=0316.900-0328.140 | Văn hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1119 | X=0097.730-0103.330 | Y=0324.780-0334.100 | 9
