TABLE=032 | AREA=Xã Xuân Đường | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1133-1145 | LINES=885 | HEADING=32. Xã Xuân Đường ---
P=1133 | X=0090.020-0182.870 | Y=0258.790-0270.030 | 32. Xã Xuân Đường
P=1133 | X=0483.290-0517.390 | Y=0276.550-0287.790 | Giá đất
P=1133 | X=0486.190-0514.470 | Y=0288.100-0299.340 | cơ sở
P=1133 | X=0479.930-0520.740 | Y=0301.500-0310.820 | sản xuất
P=1133 | X=0479.210-0521.570 | Y=0313.020-0322.340 | phi nông
P=1133 | X=0437.210-0471.290 | Y=0316.900-0328.140 | Giá đất
P=1133 | X=0483.770-0516.830 | Y=0324.540-0333.860 | nghiệp
P=1133 | X=0392.780-0472.380 | Y=0328.420-0339.660 | Giá đất thương
P=1133 | X=0092.900-0217.840 | Y=0334.180-0345.420 | TT Tên đường giao thông
P=1133 | X=0238.660-0283.940 | Y=0334.180-0345.420 | Điểm đầu
P=1133 | X=0321.720-0369.660 | Y=0334.180-0345.420 | Điểm cuối
P=1133 | X=0485.710-0514.750 | Y=0334.180-0345.420 | và đất
P=1133 | X=0406.220-0413.390 | Y=0339.700-0350.940 | ở
P=1133 | X=0432.650-0476.260 | Y=0341.580-0350.900 | mại, dịch
P=1133 | X=0480.170-0520.420 | Y=0347.340-0356.660 | sử dụng
P=1133 | X=0448.490-0460.170 | Y=0353.100-0362.420 | vụ
P=1133 | X=0479.450-0521.460 | Y=0358.860-0368.180 | cho hoạt
P=1133 | X=0488.110-0512.740 | Y=0368.520-0379.760 | động
P=1133 | X=0482.330-0517.990 | Y=0381.920-0391.240 | khoáng
P=1133 | X=0491.710-0508.910 | Y=0393.440-0402.760 | sản
P=1133 | X=0108.290-0278.070 | Y=0409.560-0420.800 | Đường tỉnh 773 (Hương Giáp ranh xã
P=1133 | X=0301.800-0386.390 | Y=0409.560-0420.800 | Đường Sông Nhạn
P=1133 | X=0096.290-0101.890 | Y=0417.200-0426.520 | 1
P=1133 | X=0405.260-0430.310 | Y=0417.200-0426.520 | 5.900
P=1133 | X=0453.290-0478.340 | Y=0417.200-0426.520 | 4.100
P=1133 | X=0497.230-0522.280 | Y=0417.200-0426.520 | 3.500
P=1133 | X=0108.290-0146.930 | Y=0421.080-0432.320 | lộ 10 cũ)
P=1133 | X=0220.630-0274.010 | Y=0422.960-0432.280 | Long Thành
P=1133 | X=0301.800-0349.790 | Y=0422.960-0432.280 | - Dầu Giây
P=1133 | X=0108.290-0375.830 | Y=0438.840-0450.080 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1133 | X=0108.290-0376.780 | Y=0450.380-0461.620 | 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã Long Thành đến
P=1133 | X=0108.290-0376.150 | Y=0461.900-0473.140 | Đường Sông Nhạn - Dầu Giây có hiện trạng là đường nhựa,
P=1133 | X=0096.290-0182.370 | Y=0473.420-0484.860 | 2 bê tông xi măng:
P=1133 | X=0405.260-0430.310 | Y=0475.540-0484.860 | 2.900
P=1133 | X=0453.290-0478.340 | Y=0475.540-0484.860 | 2.000
P=1133 | X=0497.230-0522.280 | Y=0475.540-0484.860 | 1.700
P=1133 | X=0108.290-0339.370 | Y=0490.940-0502.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1133 | X=0108.290-0385.490 | Y=0508.220-0519.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1133 | X=0108.290-0375.830 | Y=0525.980-0537.220 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1133 | X=0108.290-0376.780 | Y=0537.530-0548.770 | 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã Long Thành đến
P=1133 | X=0108.290-0376.150 | Y=0549.050-0560.290 | Đường Sông Nhạn - Dầu Giây có hiện trạng là đường nhựa,
P=1133 | X=0108.290-0182.370 | Y=0560.570-0571.810 | bê tông xi măng:
P=1133 | X=0096.290-0339.840 | Y=0577.330-0589.330 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1133 | X=0405.260-0430.310 | Y=0577.330-0586.650 | 2.100
P=1133 | X=0453.290-0478.340 | Y=0577.330-0586.650 | 1.500
P=1133 | X=0497.230-0522.280 | Y=0577.330-0586.650 | 1.300
P=1133 | X=0108.290-0361.600 | Y=0595.610-0606.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1133 | X=0108.290-0203.240 | Y=0607.130-0618.370 | >500m đến ≤1.000m.
P=1133 | X=0108.290-0331.460 | Y=0624.670-0635.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1133 | X=0108.290-0375.830 | Y=0642.430-0653.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1133 | X=0108.290-0376.780 | Y=0653.950-0665.190 | 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã Long Thành đến
P=1133 | X=0108.290-0376.150 | Y=0665.470-0676.710 | Đường Sông Nhạn - Dầu Giây có hiện trạng là đường nhựa,
P=1133 | X=0096.290-0182.370 | Y=0675.990-0687.990 | 4 bê tông xi măng:
P=1133 | X=0405.260-0430.310 | Y=0675.990-0685.310 | 1.500
P=1133 | X=0453.290-0478.340 | Y=0675.990-0685.310 | 1.100
P=1133 | X=0505.630-0522.270 | Y=0675.990-0685.310 | 900
P=1133 | X=0108.290-0349.380 | Y=0694.270-0705.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1133 | X=0108.290-0150.430 | Y=0707.700-0717.020 | >1.000m.
P=1134 | X=0108.290-0331.930 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1134 | X=0108.290-0381.800 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1134 | X=0108.290-0366.200 | Y=0107.780-0119.020 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã
P=1134 | X=0108.290-0379.660 | Y=0119.330-0130.570 | Long Thành đến Đường Sông Nhạn - Dầu Giây có hiện trạng
P=1134 | X=0096.290-0254.620 | Y=0130.850-0142.290 | 5 là đường nhựa, bê tông xi măng:
P=1134 | X=0405.260-0430.310 | Y=0132.970-0142.290 | 2.600
P=1134 | X=0453.290-0478.340 | Y=0132.970-0142.290 | 1.800
P=1134 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 1.600
P=1134 | X=0108.290-0339.370 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1134 | X=0108.290-0385.460 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1134 | X=0108.290-0381.800 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1134 | X=0108.290-0366.200 | Y=0194.930-0206.170 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã
P=1134 | X=0108.290-0379.660 | Y=0206.470-0217.710 | Long Thành đến Đường Sông Nhạn - Dầu Giây có hiện trạng
P=1134 | X=0108.290-0254.660 | Y=0217.990-0229.230 | là đường nhựa, bê tông xi măng:
P=1134 | X=0096.290-0339.840 | Y=0234.750-0246.750 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1134 | X=0405.260-0430.310 | Y=0234.750-0244.070 | 1.900
P=1134 | X=0453.290-0478.340 | Y=0234.750-0244.070 | 1.300
P=1134 | X=0497.230-0522.280 | Y=0234.750-0244.070 | 1.100
P=1134 | X=0108.290-0361.600 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1134 | X=0108.290-0203.240 | Y=0264.550-0275.790 | >500m đến ≤1.000m.
P=1134 | X=0108.290-0331.460 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1134 | X=0108.290-0381.820 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1134 | X=0108.290-0366.200 | Y=0311.380-0322.620 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã
P=1134 | X=0108.290-0379.660 | Y=0322.900-0334.140 | Long Thành đến Đường Sông Nhạn - Dầu Giây có hiện trạng
P=1134 | X=0108.290-0254.620 | Y=0334.420-0345.660 | là đường nhựa, bê tông xi măng:
P=1134 | X=0096.290-0101.890 | Y=0342.300-0351.620 | 7
P=1134 | X=0405.260-0430.310 | Y=0342.300-0351.620 | 1.400
P=1134 | X=0461.690-0478.330 | Y=0342.300-0351.620 | 980
P=1134 | X=0505.630-0522.270 | Y=0342.300-0351.620 | 840
P=1134 | X=0108.290-0349.380 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1134 | X=0108.290-0150.430 | Y=0365.100-0374.420 | >1.000m.
P=1134 | X=0108.290-0331.930 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1134 | X=0301.800-0375.980 | Y=0398.520-0409.760 | Giáp khu dân cư
