TABLE=033 | AREA=Xã Sông Ray | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1145-1166 | LINES=1492 | HEADING=33. Xã Sông Ray ---
P=1145 | X=0090.020-0168.100 | Y=0545.410-0554.730 | 33. Xã Sông Ray
P=1145 | X=0483.290-0517.390 | Y=0561.290-0572.530 | Giá đất
P=1145 | X=0486.190-0514.470 | Y=0572.810-0584.050 | cơ sở
P=1145 | X=0479.930-0520.740 | Y=0586.210-0595.530 | sản xuất
P=1145 | X=0479.210-0521.570 | Y=0597.730-0607.050 | phi nông
P=1145 | X=0437.690-0471.770 | Y=0601.610-0612.850 | Giá đất
P=1145 | X=0484.030-0517.070 | Y=0609.250-0618.570 | nghiệp
P=1145 | X=0393.500-0472.620 | Y=0613.130-0624.370 | Giá đất thương
P=1145 | X=0094.340-0219.520 | Y=0618.910-0630.150 | TT Tên đường giao thông
P=1145 | X=0239.140-0284.420 | Y=0618.910-0630.150 | Điểm đầu
P=1145 | X=0322.920-0370.860 | Y=0618.910-0630.150 | Điểm cuối
P=1145 | X=0485.950-0514.990 | Y=0618.910-0630.150 | và đất
P=1145 | X=0406.940-0414.110 | Y=0624.670-0635.910 | ở
P=1145 | X=0432.890-0476.500 | Y=0626.550-0635.870 | mại, dịch
P=1145 | X=0480.410-0520.660 | Y=0632.310-0641.630 | sử dụng
P=1145 | X=0448.730-0460.410 | Y=0638.070-0647.390 | vụ
P=1145 | X=0479.450-0521.460 | Y=0643.830-0653.150 | cho hoạt
P=1145 | X=0488.110-0512.740 | Y=0653.470-0664.710 | động
P=1145 | X=0482.570-0518.230 | Y=0666.870-0676.190 | khoáng
P=1145 | X=0491.710-0508.910 | Y=0678.150-0687.470 | sản
P=1145 | X=0220.630-0363.210 | Y=0696.150-0705.470 | Giáp ranh xã Cẩm Hết Trại giam
P=1145 | X=0097.730-0181.580 | Y=0700.050-0711.290 | 1 Đường tỉnh 764
P=1145 | X=0405.740-0430.790 | Y=0701.940-0711.260 | 2.900
P=1145 | X=0453.530-0478.580 | Y=0701.940-0711.260 | 2.000
P=1145 | X=0497.230-0522.280 | Y=0701.940-0711.260 | 1.700
P=1145 | X=0220.630-0234.100 | Y=0707.700-0717.020 | Mỹ
P=1145 | X=0303.240-0353.160 | Y=0707.700-0717.020 | Xuyên Mộc
P=1146 | X=0111.410-0378.950 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1146 | X=0111.410-0378.650 | Y=0090.020-0101.260 | 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại giam Xuyên
P=1146 | X=0111.410-0340.080 | Y=0101.540-0112.780 | Mộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1146 | X=0097.730-0103.330 | Y=0109.420-0118.740 | 2
P=1146 | X=0405.740-0430.790 | Y=0109.420-0118.740 | 1.300
P=1146 | X=0461.690-0478.330 | Y=0109.420-0118.740 | 910
P=1146 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 780
P=1146 | X=0111.410-0342.490 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1146 | X=0111.410-0388.600 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1146 | X=0111.410-0378.950 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1146 | X=0111.410-0378.650 | Y=0165.650-0176.890 | 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại giam Xuyên
