TABLE=034 | AREA=Xã Xuân Đông | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1166-1288 | LINES=8938 | HEADING=34. Xã Xuân Đông ---
P=1166 | X=0090.020-0174.610 | Y=0369.000-0380.240 | 34. Xã Xuân Đông
P=1166 | X=0487.390-0521.470 | Y=0386.760-0398.000 | Giá đất
P=1166 | X=0490.270-0518.550 | Y=0398.280-0409.520 | cơ sở
P=1166 | X=0495.790-0512.990 | Y=0411.680-0421.000 | sản
P=1166 | X=0494.110-0514.750 | Y=0423.200-0432.520 | xuất
P=1166 | X=0496.750-0511.780 | Y=0434.720-0444.040 | phi
P=1166 | X=0492.190-0516.810 | Y=0446.240-0455.560 | nông
P=1166 | X=0451.130-0485.210 | Y=0450.140-0461.380 | Giá đất
P=1166 | X=0487.870-0520.910 | Y=0457.780-0467.100 | nghiệp
P=1166 | X=0424.970-0486.300 | Y=0461.660-0472.900 | Giá thương
P=1166 | X=0117.410-0224.560 | Y=0467.420-0478.660 | Tên đường giao thông
P=1166 | X=0256.180-0301.480 | Y=0467.420-0478.660 | Điểm đầu
P=1166 | X=0345.240-0393.180 | Y=0467.420-0478.660 | Điểm cuối
P=1166 | X=0489.790-0518.830 | Y=0467.420-0478.660 | và đất
P=1166 | X=0092.180-0104.580 | Y=0469.300-0478.620 | TT
P=1166 | X=0420.650-0478.170 | Y=0473.180-0484.420 | đất ở mại,
P=1166 | X=0497.950-0510.770 | Y=0480.820-0490.140 | sử
P=1166 | X=0450.650-0485.840 | Y=0486.580-0495.900 | dịch vụ
P=1166 | X=0492.190-0516.820 | Y=0492.100-0501.420 | dụng
P=1166 | X=0495.310-0513.220 | Y=0503.620-0512.940 | cho
P=1166 | X=0493.630-0514.990 | Y=0515.140-0524.460 | hoạt
P=1166 | X=0492.190-0516.820 | Y=0524.780-0536.020 | động
P=1166 | X=0486.670-0522.330 | Y=0538.210-0547.530 | khoáng
P=1166 | X=0495.790-0512.990 | Y=0549.730-0559.050 | sản
P=1166 | X=0235.540-0410.140 | Y=0565.850-0577.090 | Giáp ranh xã Xuân Giáp trạm xăng dầu
P=1166 | X=0095.570-0177.020 | Y=0571.610-0582.850 | 1 Đường tỉnh 765
P=1166 | X=0424.970-0450.020 | Y=0573.490-0582.810 | 2.900
P=1166 | X=0461.210-0486.260 | Y=0573.490-0582.810 | 2.000
P=1166 | X=0497.230-0522.280 | Y=0573.490-0582.810 | 1.700
P=1166 | X=0322.200-0363.800 | Y=0577.370-0588.610 | Đồng Nai
P=1166 | X=0235.540-0253.380 | Y=0579.250-0588.570 | Phú
P=1166 | X=0106.850-0393.590 | Y=0595.130-0606.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1166 | X=0106.850-0402.700 | Y=0606.650-0617.890 | đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng dầu Đồng Nai
P=1166 | X=0106.850-0313.700 | Y=0618.190-0629.430 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1166 | X=0095.570-0101.170 | Y=0626.070-0635.390 | 2
P=1166 | X=0424.970-0450.020 | Y=0626.070-0635.390 | 1.400
P=1166 | X=0469.370-0486.010 | Y=0626.070-0635.390 | 980
P=1166 | X=0505.390-0522.030 | Y=0626.070-0635.390 | 840
P=1166 | X=0106.850-0337.930 | Y=0635.710-0646.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1166 | X=0106.850-0384.020 | Y=0653.230-0664.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1166 | X=0106.850-0393.590 | Y=0670.750-0681.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1166 | X=0095.570-0402.700 | Y=0682.270-0693.510 | 3 đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng dầu Đồng Nai
P=1166 | X=0433.130-0449.770 | Y=0684.150-0693.470 | 940
P=1166 | X=0469.370-0486.010 | Y=0684.150-0693.470 | 660
P=1166 | X=0505.390-0522.030 | Y=0684.150-0693.470 | 560
P=1166 | X=0106.850-0313.700 | Y=0693.790-0705.030 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1167 | X=0106.850-0338.400 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1167 | X=0106.850-0413.270 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1167 | X=0106.850-0148.530 | Y=0107.540-0118.780 | ≤1.000m.
P=1167 | X=0106.850-0330.030 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1167 | X=0106.850-0393.590 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1167 | X=0106.850-0402.700 | Y=0154.370-0165.610 | đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng dầu Đồng Nai
P=1167 | X=0106.850-0313.700 | Y=0165.650-0176.890 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1167 | X=0095.570-0101.170 | Y=0173.530-0182.850 | 4
P=1167 | X=0433.130-0449.770 | Y=0173.530-0182.850 | 720
P=1167 | X=0469.370-0486.010 | Y=0173.530-0182.850 | 500
P=1167 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 430
P=1167 | X=0106.850-0392.700 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1167 | X=0106.850-0330.490 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1167 | X=0106.850-0392.110 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1167 | X=0106.850-0411.580 | Y=0229.990-0241.230 | Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng
P=1167 | X=0106.850-0377.790 | Y=0241.510-0252.750 | dầu Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1167 | X=0095.570-0101.170 | Y=0249.390-0258.710 | 5
P=1167 | X=0424.970-0450.020 | Y=0249.390-0258.710 | 1.300
P=1167 | X=0469.370-0486.010 | Y=0249.390-0258.710 | 910
