TABLE=036 | AREA=Xã An Viễn | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1288-1305 | LINES=1206 | HEADING=36. Xã An Viễn ---
P=1288 | X=0090.020-0159.090 | Y=0680.790-0690.110 | 36. Xã An Viễn
P=1288 | X=0392.300-0426.410 | Y=0696.670-0707.910 | Giá đất
P=1288 | X=0437.930-0472.010 | Y=0696.670-0707.910 | Giá đất
P=1288 | X=0483.530-0517.630 | Y=0696.670-0707.910 | Giá đất
P=1288 | X=0094.340-0218.800 | Y=0702.450-0713.690 | TT Tên đường giao thông
P=1288 | X=0236.980-0282.260 | Y=0702.450-0713.690 | Điểm đầu
P=1288 | X=0319.800-0367.740 | Y=0702.450-0713.690 | Điểm cuối
P=1288 | X=0405.740-0412.910 | Y=0708.210-0719.450 | ở
P=1288 | X=0436.970-0473.100 | Y=0708.210-0719.450 | thương
P=1288 | X=0486.430-0514.720 | Y=0708.210-0719.450 | cơ sở
P=1289 | X=0433.370-0520.980 | Y=0074.140-0083.460 | mại, dịch sản xuất
P=1289 | X=0449.210-0460.890 | Y=0085.660-0094.980 | vụ
P=1289 | X=0479.450-0521.810 | Y=0085.660-0094.980 | phi nông
P=1289 | X=0484.030-0517.070 | Y=0097.180-0106.500 | nghiệp
P=1289 | X=0485.950-0514.990 | Y=0106.820-0118.060 | và đất
P=1289 | X=0480.410-0520.660 | Y=0120.250-0129.570 | sử dụng
P=1289 | X=0479.690-0521.700 | Y=0131.770-0141.090 | cho hoạt
P=1289 | X=0488.350-0512.980 | Y=0141.170-0152.410 | động
P=1289 | X=0482.570-0518.230 | Y=0154.570-0163.890 | khoáng
P=1289 | X=0491.950-0509.150 | Y=0166.090-0175.410 | sản
P=1289 | X=0111.170-0217.350 | Y=0182.210-0193.450 | Đường tỉnh 777 (đường
P=1289 | X=0219.430-0279.540 | Y=0187.970-0199.210 | Đường Vườn
P=1289 | X=0300.360-0348.040 | Y=0193.730-0204.970 | Đường sắt
P=1289 | X=0097.730-0191.910 | Y=0195.610-0204.930 | 1 Trảng Bom - Long
P=1289 | X=0406.220-0431.270 | Y=0195.610-0204.930 | 6.500
P=1289 | X=0453.770-0478.820 | Y=0195.610-0204.930 | 4.600
P=1289 | X=0497.230-0522.280 | Y=0195.610-0204.930 | 3.900
P=1289 | X=0219.430-0237.760 | Y=0201.390-0210.710 | Ngô
P=1289 | X=0111.170-0142.850 | Y=0207.150-0216.470 | Thành)
P=1289 | X=0111.170-0378.710 | Y=0223.030-0234.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1289 | X=0111.170-0382.070 | Y=0234.550-0245.790 | 777 (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn
P=1289 | X=0111.170-0378.440 | Y=0246.070-0257.310 | Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1289 | X=0111.170-0139.170 | Y=0257.590-0268.830 | măng:
P=1289 | X=0097.730-0103.330 | Y=0265.470-0274.790 | 2
P=1289 | X=0406.220-0431.270 | Y=0265.470-0274.790 | 3.100
P=1289 | X=0453.770-0478.820 | Y=0265.470-0274.790 | 2.200
P=1289 | X=0497.230-0522.280 | Y=0265.470-0274.790 | 1.900
P=1289 | X=0111.170-0342.250 | Y=0275.110-0286.350 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1289 | X=0111.170-0352.280 | Y=0292.660-0303.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1289 | X=0111.170-0144.690 | Y=0303.940-0315.180 | ≤500m.
P=1289 | X=0111.170-0378.710 | Y=0321.700-0332.940 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1289 | X=0111.170-0382.070 | Y=0333.220-0344.460 | 777 (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn
P=1289 | X=0111.170-0378.440 | Y=0344.740-0355.980 | Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
