TABLE=037 | AREA=Xã Bàu Hàm | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1305-1326 | LINES=1523 | HEADING=37. Xã Bàu Hàm ---
P=1305 | X=0090.020-0165.230 | Y=0248.430-0257.750 | 37. Xã Bàu Hàm
P=1305 | X=0480.890-0514.990 | Y=0264.310-0275.550 | Giá đất
P=1305 | X=0473.930-0522.350 | Y=0275.830-0287.070 | cơ sở sản
P=1305 | X=0478.730-0517.290 | Y=0289.260-0298.580 | xuất phi
P=1305 | X=0432.410-0466.490 | Y=0298.900-0310.140 | Giá đất
P=1305 | X=0485.710-0510.330 | Y=0300.780-0310.100 | nông
P=1305 | X=0388.700-0521.550 | Y=0310.420-0321.660 | Giá đất thương nghiệp và
P=1305 | X=0094.340-0219.040 | Y=0316.180-0327.420 | TT Tên đường giao thông
P=1305 | X=0237.940-0283.220 | Y=0316.180-0327.420 | Điểm đầu
P=1305 | X=0319.320-0367.260 | Y=0316.180-0327.420 | Điểm cuối
P=1305 | X=0402.140-0409.310 | Y=0321.700-0332.940 | ở
P=1305 | X=0427.850-0513.410 | Y=0321.700-0332.940 | mại, dịch đất sử
P=1305 | X=0443.690-0455.370 | Y=0335.100-0344.420 | vụ
P=1305 | X=0475.370-0520.410 | Y=0335.100-0344.420 | dụng cho
P=1305 | X=0473.690-0522.110 | Y=0344.740-0355.980 | hoạt động
P=1305 | X=0480.170-0515.830 | Y=0358.140-0367.460 | khoáng
P=1305 | X=0489.310-0506.510 | Y=0369.680-0379.000 | sản
P=1305 | X=0111.170-0201.430 | Y=0385.800-0397.040 | Đường Trảng Bom -
P=1305 | X=0301.080-0378.450 | Y=0385.800-0397.040 | Đường vào Công
P=1305 | X=0220.150-0277.590 | Y=0387.680-0397.000 | Giáp ranh xã
P=1305 | X=0097.730-0103.330 | Y=0393.440-0402.760 | 1
P=1305 | X=0400.700-0425.750 | Y=0393.440-0402.760 | 2.500
P=1305 | X=0448.250-0473.300 | Y=0393.440-0402.760 | 1.800
P=1305 | X=0497.470-0522.520 | Y=0393.440-0402.760 | 1.500
P=1305 | X=0301.080-0353.470 | Y=0397.320-0408.560 | ty Đông Nhi
P=1305 | X=0111.170-0163.080 | Y=0399.200-0408.520 | Thanh Bình
P=1305 | X=0220.150-0269.610 | Y=0399.200-0408.520 | Trảng Bom
P=1305 | X=0111.170-0359.490 | Y=0415.080-0426.320 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1305 | X=0111.170-0370.920 | Y=0426.600-0437.840 | Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
