TABLE=038 | AREA=Xã Bình Minh | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1326-1355 | LINES=2123 | HEADING=38. Xã Bình Minh ---
P=1326 | X=0090.020-0170.100 | Y=0393.920-0403.240 | 38. Xã Bình Minh
P=1326 | X=0487.390-0521.470 | Y=0409.800-0421.040 | Giá đất
P=1326 | X=0490.270-0518.550 | Y=0421.320-0432.560 | cơ sở
P=1326 | X=0495.790-0512.990 | Y=0434.720-0444.040 | sản
P=1326 | X=0494.110-0514.750 | Y=0446.240-0455.560 | xuất
P=1326 | X=0496.750-0511.780 | Y=0457.780-0467.100 | phi
P=1326 | X=0492.190-0516.810 | Y=0469.300-0478.620 | nông
P=1326 | X=0451.130-0485.210 | Y=0473.180-0484.420 | Giá đất
P=1326 | X=0487.870-0520.910 | Y=0480.820-0490.140 | nghiệp
P=1326 | X=0424.970-0486.300 | Y=0484.700-0495.940 | Giá thương
P=1326 | X=0117.410-0224.560 | Y=0490.220-0501.460 | Tên đường giao thông
P=1326 | X=0256.180-0301.480 | Y=0490.220-0501.460 | Điểm đầu
P=1326 | X=0345.240-0393.180 | Y=0490.220-0501.460 | Điểm cuối
P=1326 | X=0489.790-0518.830 | Y=0490.220-0501.460 | và đất
P=1326 | X=0092.180-0104.580 | Y=0492.100-0501.420 | TT
P=1326 | X=0420.650-0478.170 | Y=0495.980-0507.220 | đất ở mại,
P=1326 | X=0497.950-0510.770 | Y=0503.620-0512.940 | sử
P=1326 | X=0450.650-0485.840 | Y=0509.380-0518.700 | dịch vụ
P=1326 | X=0492.190-0516.820 | Y=0515.140-0524.460 | dụng
P=1326 | X=0495.310-0513.220 | Y=0526.660-0535.980 | cho
P=1326 | X=0493.630-0514.990 | Y=0538.210-0547.530 | hoạt
P=1326 | X=0492.190-0516.820 | Y=0547.850-0559.090 | động
P=1326 | X=0486.670-0522.330 | Y=0561.250-0570.570 | khoáng
P=1326 | X=0495.790-0512.990 | Y=0572.770-0582.090 | sản
P=1326 | X=0095.570-0149.890 | Y=0590.770-0600.090 | 1 Quốc lộ 1
P=1326 | X=0235.540-0292.020 | Y=0590.770-0600.090 | Ngã 3 Trị An
P=1326 | X=0322.200-0396.700 | Y=0590.770-0600.090 | Nhà thờ Bùi Chu
P=1326 | X=0419.450-0450.020 | Y=0590.770-0600.090 | 14.200
P=1326 | X=0461.210-0486.260 | Y=0590.770-0600.090 | 9.900
