TABLE=041 | AREA=Xã Gia Kiệm | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1418-1444 | LINES=1926 | HEADING=41. Xã Gia Kiệm ---
P=1418 | X=0090.020-0165.250 | Y=0319.020-0328.340 | 41. Xã Gia Kiệm
P=1418 | X=0483.770-0517.870 | Y=0334.900-0346.140 | Giá đất
P=1418 | X=0486.670-0514.950 | Y=0346.420-0357.660 | cơ sở
P=1418 | X=0480.410-0521.220 | Y=0359.580-0368.900 | sản xuất
P=1418 | X=0479.690-0522.050 | Y=0371.120-0380.440 | phi nông
P=1418 | X=0438.890-0472.970 | Y=0375.000-0386.240 | Giá đất
P=1418 | X=0484.510-0517.550 | Y=0382.640-0391.960 | nghiệp
P=1418 | X=0124.370-0201.080 | Y=0386.520-0397.760 | Tên đường giao
P=1418 | X=0393.740-0474.060 | Y=0386.520-0397.760 | Giá đất thương
P=1418 | X=0234.820-0280.100 | Y=0392.280-0403.520 | Điểm đầu
P=1418 | X=0320.520-0368.460 | Y=0392.280-0403.520 | Điểm cuối
P=1418 | X=0486.430-0515.470 | Y=0392.280-0403.520 | và đất
P=1418 | X=0094.100-0106.500 | Y=0394.160-0403.480 | TT
P=1418 | X=0407.180-0414.350 | Y=0398.040-0409.280 | ở
P=1418 | X=0148.850-0176.820 | Y=0399.920-0409.240 | thông
P=1418 | X=0434.330-0477.940 | Y=0399.920-0409.240 | mại, dịch
P=1418 | X=0480.890-0521.140 | Y=0405.680-0415.000 | sử dụng
P=1418 | X=0450.170-0461.850 | Y=0411.440-0420.760 | vụ
P=1418 | X=0479.930-0521.940 | Y=0417.200-0426.520 | cho hoạt
P=1418 | X=0488.590-0513.220 | Y=0426.840-0438.080 | động
P=1418 | X=0483.050-0518.710 | Y=0440.240-0449.560 | khoáng
P=1418 | X=0492.190-0509.390 | Y=0451.780-0461.100 | sản
P=1418 | X=0110.930-0378.380 | Y=0467.900-0479.140 | Đường song hành phía Giáp ranh xã Gia Đường Lạc Sơn -
P=1418 | X=0097.490-0103.090 | Y=0475.540-0484.860 | 1
P=1418 | X=0407.420-0432.470 | Y=0475.540-0484.860 | 2.600
P=1418 | X=0454.490-0479.540 | Y=0475.540-0484.860 | 1.800
P=1418 | X=0497.230-0522.280 | Y=0475.540-0484.860 | 1.600
P=1418 | X=0110.930-0186.150 | Y=0479.420-0490.660 | Đông Quốc lộ 20
P=1418 | X=0215.110-0237.940 | Y=0481.300-0490.620 | Kiệm
P=1418 | X=0299.880-0351.090 | Y=0481.300-0490.620 | Xuân Thiện
P=1418 | X=0110.930-0383.490 | Y=0497.180-0508.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường song
P=1418 | X=0110.930-0374.540 | Y=0508.460-0519.700 | hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm
P=1418 | X=0110.930-0366.460 | Y=0519.980-0531.220 | đến Đường Lạc Sơn - Xuân Thiện có hiện trạng là đường
P=1418 | X=0097.490-0214.040 | Y=0531.500-0542.940 | 2 nhựa, bê tông xi măng:
P=1418 | X=0407.420-0432.470 | Y=0533.620-0542.940 | 1.100
P=1418 | X=0462.650-0479.290 | Y=0533.620-0542.940 | 770
P=1418 | X=0505.390-0522.030 | Y=0533.620-0542.940 | 660
P=1418 | X=0110.930-0342.010 | Y=0549.050-0560.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1418 | X=0110.930-0388.120 | Y=0566.570-0577.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1418 | X=0110.930-0383.490 | Y=0584.330-0595.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường song
P=1418 | X=0110.930-0374.540 | Y=0595.850-0607.090 | hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm
P=1418 | X=0110.930-0366.460 | Y=0607.370-0618.610 | đến Đường Lạc Sơn - Xuân Thiện có hiện trạng là đường
P=1418 | X=0110.930-0214.040 | Y=0618.910-0630.150 | nhựa, bê tông xi măng:
P=1418 | X=0097.490-0342.480 | Y=0635.430-0647.670 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1418 | X=0415.580-0432.220 | Y=0635.430-0644.750 | 830
P=1418 | X=0462.650-0479.290 | Y=0635.430-0644.750 | 580
P=1418 | X=0505.390-0522.030 | Y=0635.430-0644.750 | 500
P=1418 | X=0110.930-0364.240 | Y=0653.950-0665.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1418 | X=0110.930-0205.880 | Y=0665.470-0676.710 | >500m đến ≤1.000m.
P=1418 | X=0110.930-0334.100 | Y=0682.750-0693.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1418 | X=0097.490-0383.490 | Y=0700.530-0711.770 | 4 Các tuyến đường giao thông đấu nối trực tiếp ra Đường song
P=1418 | X=0415.580-0432.220 | Y=0702.420-0711.740 | 570
P=1418 | X=0462.650-0479.290 | Y=0702.420-0711.740 | 400
P=1418 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 340
P=1419 | X=0110.930-0374.540 | Y=0072.500-0083.740 | hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm
P=1419 | X=0110.930-0366.460 | Y=0084.020-0095.260 | đến Đường Lạc Sơn - Xuân Thiện có hiện trạng là đường
P=1419 | X=0110.930-0214.040 | Y=0095.540-0106.780 | nhựa, bê tông xi măng:
P=1419 | X=0110.930-0352.040 | Y=0113.060-0124.300 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1419 | X=0110.930-0153.070 | Y=0126.490-0135.810 | >1.000m.
P=1419 | X=0110.930-0334.600 | Y=0142.130-0153.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1419 | X=0110.930-0384.440 | Y=0159.650-0170.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
