TABLE=042 | AREA=Xã Thống Nhất | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1444-1465 | LINES=1509 | HEADING=42. Xã Thống Nhất ---
P=1444 | X=0090.020-0177.430 | Y=0592.690-0602.010 | 42. Xã Thống Nhất
P=1444 | X=0483.530-0517.630 | Y=0608.570-0619.810 | Giá đất
P=1444 | X=0486.430-0514.710 | Y=0620.110-0631.350 | cơ sở
P=1444 | X=0480.170-0520.980 | Y=0633.510-0642.830 | sản xuất
P=1444 | X=0437.690-0471.770 | Y=0637.390-0648.630 | Giá đất
P=1444 | X=0479.450-0521.810 | Y=0645.030-0654.350 | phi nông
P=1444 | X=0393.740-0472.860 | Y=0648.910-0660.150 | Giá đất thương
P=1444 | X=0094.340-0218.800 | Y=0654.670-0665.910 | TT Tên đường giao thông
P=1444 | X=0238.180-0283.460 | Y=0654.670-0665.910 | Điểm đầu
P=1444 | X=0322.680-0370.620 | Y=0654.670-0665.910 | Điểm cuối
P=1444 | X=0484.030-0517.070 | Y=0656.550-0665.870 | nghiệp
P=1444 | X=0407.180-0414.350 | Y=0660.430-0671.670 | ở
P=1444 | X=0433.130-0476.740 | Y=0662.310-0671.630 | mại, dịch
P=1444 | X=0485.950-0514.990 | Y=0666.190-0677.430 | và đất
P=1444 | X=0448.970-0460.650 | Y=0673.830-0683.150 | vụ
P=1444 | X=0480.410-0520.660 | Y=0679.590-0688.910 | sử dụng
P=1444 | X=0479.690-0521.700 | Y=0691.110-0700.430 | cho hoạt
P=1444 | X=0488.350-0512.980 | Y=0700.530-0711.770 | động
P=1445 | X=0482.570-0518.230 | Y=0074.140-0083.460 | khoáng
P=1445 | X=0491.950-0509.150 | Y=0085.660-0094.980 | sản
P=1445 | X=0219.430-0295.330 | Y=0144.010-0153.330 | Giáp ranh xã Gia
P=1445 | X=0302.760-0385.430 | Y=0147.650-0158.890 | Đường Vườn Xoài
P=1445 | X=0097.730-0159.730 | Y=0149.530-0158.850 | 1 Quốc lộ 20
P=1445 | X=0405.980-0431.030 | Y=0149.530-0158.850 | 9.400
P=1445 | X=0453.530-0478.580 | Y=0149.530-0158.850 | 6.600
P=1445 | X=0497.230-0522.280 | Y=0149.530-0158.850 | 5.600
P=1445 | X=0219.430-0242.260 | Y=0155.290-0164.610 | Kiệm
P=1445 | X=0111.170-0376.300 | Y=0171.170-0182.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1445 | X=0111.170-0389.980 | Y=0182.690-0193.930 | đoạn từ Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện
P=1445 | X=0111.170-0282.950 | Y=0194.210-0205.450 | trạng là đường nhựa, bê tông xi măng:
P=1445 | X=0097.730-0103.330 | Y=0202.110-0211.430 | 2
P=1445 | X=0405.980-0431.030 | Y=0202.110-0211.430 | 2.800
P=1445 | X=0453.530-0478.580 | Y=0202.110-0211.430 | 2.000
P=1445 | X=0497.230-0522.280 | Y=0202.110-0211.430 | 1.700
P=1445 | X=0111.170-0342.250 | Y=0211.750-0222.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1445 | X=0111.170-0388.360 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1445 | X=0111.170-0376.300 | Y=0247.030-0258.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1445 | X=0111.170-0389.990 | Y=0258.550-0269.790 | đoạn từ Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện
P=1445 | X=0111.170-0282.950 | Y=0270.070-0281.310 | trạng là đường nhựa, bê tông xi măng:
P=1445 | X=0097.730-0342.720 | Y=0287.620-0301.700 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1445 | X=0405.980-0431.030 | Y=0292.380-0301.700 | 1.500
P=1445 | X=0453.530-0478.580 | Y=0292.380-0301.700 | 1.100
P=1445 | X=0505.390-0522.030 | Y=0292.380-0301.700 | 900
P=1445 | X=0111.170-0364.480 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1445 | X=0111.170-0206.120 | Y=0316.660-0327.900 | >500m đến ≤1.000m.
