TABLE=044 | AREA=Xã Phú Vinh | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1526-1545 | LINES=1390 | HEADING=44. Xã Phú Vinh ---
P=1526 | X=0090.020-0165.260 | Y=0073.900-0083.220 | 44. Xã Phú Vinh
P=1526 | X=0483.290-0517.390 | Y=0089.780-0101.020 | Giá đất
P=1526 | X=0486.190-0514.470 | Y=0101.300-0112.540 | cơ sở
P=1526 | X=0479.930-0520.740 | Y=0114.700-0124.020 | sản xuất
P=1526 | X=0479.210-0521.600 | Y=0126.250-0135.570 | phi nông
P=1526 | X=0437.690-0471.770 | Y=0130.130-0141.370 | Giá đất
P=1526 | X=0484.030-0517.070 | Y=0137.770-0147.090 | nghiệp
P=1526 | X=0393.500-0472.620 | Y=0141.410-0152.650 | Giá đất thương
P=1526 | X=0094.340-0220.000 | Y=0147.170-0158.410 | TT Tên đường giao thông
P=1526 | X=0239.860-0285.140 | Y=0147.170-0158.410 | Điểm đầu
P=1526 | X=0323.160-0371.100 | Y=0147.170-0158.410 | Điểm cuối
P=1526 | X=0485.950-0514.990 | Y=0147.170-0158.410 | và đất
P=1526 | X=0406.940-0414.110 | Y=0152.930-0164.170 | ở
P=1526 | X=0432.890-0476.500 | Y=0154.810-0164.130 | mại, dịch
P=1526 | X=0480.410-0520.660 | Y=0160.570-0169.890 | sử dụng
P=1526 | X=0448.730-0460.410 | Y=0166.330-0175.650 | vụ
P=1526 | X=0479.450-0521.460 | Y=0172.090-0181.410 | cho hoạt
P=1526 | X=0488.110-0512.740 | Y=0181.730-0192.970 | động
P=1526 | X=0482.570-0518.230 | Y=0195.130-0204.450 | khoáng
P=1526 | X=0491.710-0508.910 | Y=0206.670-0215.990 | sản
P=1526 | X=0303.960-0370.770 | Y=0222.790-0234.030 | Đường Ngã ba
P=1526 | X=0221.590-0302.370 | Y=0228.550-0239.790 | Giáp ranh xã Định
P=1526 | X=0097.730-0159.970 | Y=0236.190-0245.510 | 1 Quốc lộ 20
P=1526 | X=0303.960-0386.840 | Y=0236.190-0245.510 | Phú Lợi - Phú Hòa
P=1526 | X=0405.740-0430.790 | Y=0236.190-0245.510 | 7.700
P=1526 | X=0453.530-0478.580 | Y=0236.190-0245.510 | 5.400
P=1526 | X=0497.230-0522.280 | Y=0236.190-0245.510 | 4.600
P=1526 | X=0221.590-0246.150 | Y=0241.950-0251.270 | Quán
P=1526 | X=0303.960-0314.600 | Y=0245.830-0257.070 | cũ
P=1526 | X=0111.410-0376.540 | Y=0263.590-0274.830 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1526 | X=0111.410-0389.420 | Y=0275.110-0286.350 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1526 | X=0111.410-0372.980 | Y=0286.660-0297.900 | Phú Hòa cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1526 | X=0097.730-0103.330 | Y=0294.540-0303.860 | 2
P=1526 | X=0405.740-0430.790 | Y=0294.540-0303.860 | 2.000
P=1526 | X=0453.530-0478.580 | Y=0294.540-0303.860 | 1.400
P=1526 | X=0497.230-0522.280 | Y=0294.540-0303.860 | 1.200
P=1526 | X=0111.410-0342.490 | Y=0303.940-0315.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1526 | X=0111.410-0388.600 | Y=0321.460-0332.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1526 | X=0111.410-0376.540 | Y=0339.220-0350.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1526 | X=0111.410-0389.420 | Y=0350.740-0361.980 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1526 | X=0111.410-0372.980 | Y=0362.260-0373.500 | Phú Hòa cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1526 | X=0097.730-0342.960 | Y=0379.800-0394.120 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1526 | X=0405.740-0430.790 | Y=0384.800-0394.120 | 1.300
P=1526 | X=0461.690-0478.330 | Y=0384.800-0394.120 | 910
P=1526 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 780
P=1526 | X=0111.410-0364.720 | Y=0397.320-0408.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1526 | X=0111.410-0206.360 | Y=0408.840-0420.080 | >500m đến ≤1.000m.
P=1526 | X=0111.410-0334.580 | Y=0426.360-0437.600 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1526 | X=0111.410-0376.540 | Y=0444.120-0455.360 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1526 | X=0111.410-0389.420 | Y=0455.660-0466.900 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1526 | X=0111.410-0372.980 | Y=0467.180-0478.420 | Phú Hòa cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1526 | X=0097.730-0103.330 | Y=0480.820-0490.140 | 4
P=1526 | X=0405.740-0430.790 | Y=0480.820-0490.140 | 1.100
P=1526 | X=0461.690-0478.330 | Y=0480.820-0490.140 | 770
P=1526 | X=0505.390-0522.030 | Y=0480.820-0490.140 | 660
P=1526 | X=0111.410-0352.520 | Y=0484.460-0495.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1526 | X=0111.410-0153.550 | Y=0497.860-0507.180 | >1.000m.
P=1526 | X=0111.410-0335.050 | Y=0513.500-0524.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1526 | X=0111.410-0384.920 | Y=0531.260-0542.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1526 | X=0111.410-0373.430 | Y=0542.810-0554.050 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1526 | X=0111.410-0389.510 | Y=0554.330-0565.570 | Ngã ba Phú Lợi - Phú Hòa cũ có hiện trạng là đường nhựa, bê
P=1526 | X=0097.730-0171.570 | Y=0565.850-0577.290 | 5 tông xi măng:
P=1526 | X=0405.740-0430.790 | Y=0567.970-0577.290 | 1.800
P=1526 | X=0453.530-0478.580 | Y=0567.970-0577.290 | 1.300
P=1526 | X=0497.230-0522.280 | Y=0567.970-0577.290 | 1.100
P=1526 | X=0111.410-0342.490 | Y=0583.370-0594.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1526 | X=0111.410-0388.600 | Y=0600.890-0612.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1526 | X=0111.410-0384.920 | Y=0618.670-0629.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1526 | X=0111.410-0373.430 | Y=0630.190-0641.430 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1526 | X=0111.410-0389.500 | Y=0641.710-0652.950 | Ngã ba Phú Lợi - Phú Hòa cũ có hiện trạng là đường nhựa, bê
P=1526 | X=0111.410-0171.570 | Y=0653.230-0664.470 | tông xi măng:
P=1526 | X=0097.730-0103.330 | Y=0661.110-0670.430 | 6
P=1526 | X=0405.740-0430.790 | Y=0661.110-0670.430 | 1.200
P=1526 | X=0461.690-0478.330 | Y=0661.110-0670.430 | 840
P=1526 | X=0505.390-0522.030 | Y=0661.110-0670.430 | 720
P=1526 | X=0111.410-0342.960 | Y=0670.510-0681.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1526 | X=0111.410-0364.720 | Y=0688.030-0699.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1526 | X=0111.410-0206.360 | Y=0699.550-0710.790 | >500m đến ≤1.000m.
