TABLE=045 | AREA=Xã La Ngà | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1545-1563 | LINES=1317 | HEADING=45. Xã La Ngà ---
P=1545 | X=0090.020-0155.380 | Y=0184.810-0194.130 | 45. Xã La Ngà
P=1545 | X=0483.290-0517.390 | Y=0200.710-0211.950 | Giá đất
P=1545 | X=0486.190-0514.470 | Y=0212.230-0223.470 | cơ sở
P=1545 | X=0479.930-0520.740 | Y=0225.630-0234.950 | sản xuất
P=1545 | X=0479.210-0521.570 | Y=0237.150-0246.470 | phi nông
P=1545 | X=0437.690-0471.770 | Y=0241.030-0252.270 | Giá đất
P=1545 | X=0484.030-0517.070 | Y=0248.670-0257.990 | nghiệp
P=1545 | X=0393.500-0472.620 | Y=0252.550-0263.790 | Giá đất thương
P=1545 | X=0094.340-0219.760 | Y=0258.310-0269.550 | TT Tên đường giao thông
P=1545 | X=0239.860-0285.140 | Y=0258.310-0269.550 | Điểm đầu
P=1545 | X=0322.920-0370.860 | Y=0258.310-0269.550 | Điểm cuối
P=1545 | X=0485.950-0514.990 | Y=0258.310-0269.550 | và đất
P=1545 | X=0406.940-0414.110 | Y=0264.070-0275.310 | ở
P=1545 | X=0432.890-0476.500 | Y=0265.950-0275.270 | mại, dịch
P=1545 | X=0480.410-0520.660 | Y=0271.710-0281.030 | sử dụng
P=1545 | X=0448.730-0460.410 | Y=0277.470-0286.790 | vụ
P=1545 | X=0479.450-0521.460 | Y=0283.260-0292.580 | cho hoạt
P=1545 | X=0488.110-0512.740 | Y=0292.900-0304.140 | động
P=1545 | X=0482.570-0518.230 | Y=0306.300-0315.620 | khoáng
P=1545 | X=0491.710-0508.910 | Y=0317.580-0326.900 | sản
P=1545 | X=0221.590-0279.030 | Y=0335.580-0344.900 | Giáp ranh xã
P=1545 | X=0303.480-0388.740 | Y=0339.460-0350.700 | Hết chợ Túc Trưng
P=1545 | X=0097.730-0159.730 | Y=0341.340-0350.660 | 1 Quốc lộ 20
P=1545 | X=0405.740-0430.790 | Y=0341.340-0350.660 | 2.800
P=1545 | X=0453.530-0478.580 | Y=0341.340-0350.660 | 2.000
P=1545 | X=0497.230-0522.280 | Y=0341.340-0350.660 | 1.700
P=1545 | X=0221.590-0273.860 | Y=0347.100-0356.420 | Thống Nhất
P=1545 | X=0111.170-0376.300 | Y=0362.980-0374.220 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1545 | X=0111.170-0381.300 | Y=0374.520-0385.760 | đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ Túc Trưng có
P=1545 | X=0111.170-0304.780 | Y=0386.040-0397.280 | hiện trạng là đường nhựa, bê tông xi măng:
P=1545 | X=0097.730-0103.330 | Y=0393.920-0403.240 | 2
P=1545 | X=0413.900-0430.540 | Y=0393.920-0403.240 | 900
P=1545 | X=0461.690-0478.330 | Y=0393.920-0403.240 | 630
P=1545 | X=0505.390-0522.030 | Y=0393.920-0403.240 | 540
