TABLE=046 | AREA=Xã Phú Hòa | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1563-1578 | LINES=1124 | HEADING=46. Xã Phú Hòa ---
P=1563 | X=0090.020-0162.570 | Y=0184.810-0194.130 | 46. Xã Phú Hòa
P=1563 | X=0483.290-0517.390 | Y=0200.710-0211.950 | Giá đất
P=1563 | X=0486.190-0514.470 | Y=0212.230-0223.470 | cơ sở
P=1563 | X=0479.930-0520.740 | Y=0225.630-0234.950 | sản xuất
P=1563 | X=0479.210-0521.570 | Y=0237.150-0246.470 | phi nông
P=1563 | X=0437.450-0471.530 | Y=0241.030-0252.270 | Giá đất
P=1563 | X=0483.770-0516.830 | Y=0248.670-0257.990 | nghiệp
P=1563 | X=0393.260-0472.380 | Y=0252.550-0263.790 | Giá đất thương
P=1563 | X=0094.340-0220.720 | Y=0258.310-0269.550 | TT Tên đường giao thông
P=1563 | X=0241.060-0286.340 | Y=0258.310-0269.550 | Điểm đầu
P=1563 | X=0323.160-0371.100 | Y=0258.310-0269.550 | Điểm cuối
P=1563 | X=0485.710-0514.750 | Y=0258.310-0269.550 | và đất
P=1563 | X=0406.700-0413.870 | Y=0264.070-0275.310 | ở
P=1563 | X=0432.650-0476.260 | Y=0265.950-0275.270 | mại, dịch
P=1563 | X=0480.170-0520.420 | Y=0271.710-0281.030 | sử dụng
P=1563 | X=0448.490-0460.170 | Y=0277.470-0286.790 | vụ
P=1563 | X=0479.450-0521.460 | Y=0283.260-0292.580 | cho hoạt
P=1563 | X=0488.110-0512.740 | Y=0292.900-0304.140 | động
P=1563 | X=0482.330-0517.990 | Y=0306.300-0315.620 | khoáng
P=1563 | X=0491.710-0508.910 | Y=0317.580-0326.900 | sản
P=1563 | X=0223.270-0300.860 | Y=0335.580-0344.900 | Giáp ranh xã Tân
P=1563 | X=0097.730-0176.310 | Y=0339.460-0350.700 | 1 Đường Trà Cổ
P=1563 | X=0304.200-0341.970 | Y=0339.460-0350.700 | Cầu đập
P=1563 | X=0413.660-0430.300 | Y=0341.340-0350.660 | 890
P=1563 | X=0461.450-0478.090 | Y=0341.340-0350.660 | 620
P=1563 | X=0505.390-0522.030 | Y=0341.340-0350.660 | 530
P=1563 | X=0223.270-0241.110 | Y=0347.100-0356.420 | Phú
P=1563 | X=0111.170-0377.470 | Y=0362.980-0374.220 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trà
P=1563 | X=0111.170-0382.790 | Y=0374.520-0385.760 | Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập có hiện trạng
