TABLE=047 | AREA=Xã Thanh Sơn | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1578-1660 | LINES=5942 | HEADING=47. Xã Thanh Sơn ---
P=1578 | X=0090.020-0174.420 | Y=0659.950-0671.190 | 47. Xã Thanh Sơn
P=1579 | X=0483.530-0517.630 | Y=0078.260-0089.500 | Giá đất
P=1579 | X=0486.430-0514.710 | Y=0089.780-0101.020 | cơ sở
P=1579 | X=0480.170-0520.980 | Y=0103.180-0112.500 | sản xuất
P=1579 | X=0479.450-0521.810 | Y=0114.700-0124.020 | phi nông
P=1579 | X=0438.410-0472.490 | Y=0118.610-0129.850 | Giá đất
P=1579 | X=0484.270-0517.310 | Y=0126.250-0135.570 | nghiệp
P=1579 | X=0122.690-0199.400 | Y=0130.130-0141.370 | Tên đường giao
P=1579 | X=0396.140-0473.340 | Y=0130.130-0141.370 | Giá đất thương
P=1579 | X=0230.740-0276.020 | Y=0135.890-0147.130 | Điểm đầu
P=1579 | X=0319.560-0367.500 | Y=0135.890-0147.130 | Điểm cuối
P=1579 | X=0486.190-0515.230 | Y=0135.890-0147.130 | và đất
P=1579 | X=0092.660-0105.060 | Y=0137.770-0147.090 | TT
P=1579 | X=0409.580-0416.750 | Y=0141.410-0152.650 | ở
P=1579 | X=0147.170-0175.140 | Y=0143.290-0152.610 | thông
P=1579 | X=0433.610-0477.220 | Y=0143.290-0152.610 | mại, dịch
P=1579 | X=0480.650-0520.900 | Y=0149.050-0158.370 | sử dụng
P=1579 | X=0449.450-0461.130 | Y=0154.810-0164.130 | vụ
P=1579 | X=0479.690-0521.700 | Y=0160.570-0169.890 | cho hoạt
P=1579 | X=0488.350-0512.980 | Y=0170.210-0181.450 | động
P=1579 | X=0482.810-0518.470 | Y=0183.610-0192.930 | khoáng
P=1579 | X=0491.950-0509.150 | Y=0195.130-0204.450 | sản
P=1579 | X=0108.050-0192.610 | Y=0211.270-0222.510 | Đường Thanh Sơn
P=1579 | X=0096.050-0362.280 | Y=0222.790-0234.030 | 1 (Phía rẽ phải từ ngã ba Ngã ba Bến phà Ngã ba Lô Năm
P=1579 | X=0414.860-0431.500 | Y=0224.670-0233.990 | 780
P=1579 | X=0462.170-0478.810 | Y=0224.670-0233.990 | 550
P=1579 | X=0505.390-0522.030 | Y=0224.670-0233.990 | 470
P=1579 | X=0108.050-0148.620 | Y=0236.190-0245.510 | Bến phà)
P=1579 | X=0108.050-0387.570 | Y=0252.070-0263.310 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1579 | X=0108.050-0388.310 | Y=0263.590-0274.830 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba Bến phà
P=1579 | X=0108.050-0376.520 | Y=0275.110-0286.350 | đến Ngã ba Lô Năm có hiện trạng là đường nhựa, bê tông xi
P=1579 | X=0096.050-0136.050 | Y=0286.660-0298.100 | 2 măng:
P=1579 | X=0414.860-0431.500 | Y=0288.780-0298.100 | 330
P=1579 | X=0462.170-0478.810 | Y=0288.780-0298.100 | 230
P=1579 | X=0505.390-0522.030 | Y=0288.780-0298.100 | 200
P=1579 | X=0108.050-0339.130 | Y=0303.940-0315.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1579 | X=0108.050-0385.220 | Y=0321.460-0332.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1579 | X=0108.050-0387.570 | Y=0339.220-0350.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1579 | X=0108.050-0388.310 | Y=0350.740-0361.980 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba Bến phà
P=1579 | X=0108.050-0376.520 | Y=0362.260-0373.500 | đến Ngã ba Lô Năm có hiện trạng là đường nhựa, bê tông xi
P=1579 | X=0108.050-0136.050 | Y=0373.800-0385.040 | măng:
P=1579 | X=0096.050-0339.600 | Y=0390.560-0402.560 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1579 | X=0414.860-0431.500 | Y=0390.560-0399.880 | 270
P=1579 | X=0462.170-0478.810 | Y=0390.560-0399.880 | 190
P=1579 | X=0505.390-0522.030 | Y=0390.560-0399.880 | 160
P=1579 | X=0108.050-0361.360 | Y=0408.840-0420.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1579 | X=0108.050-0203.000 | Y=0420.360-0431.600 | >500m đến ≤1.000m.
P=1579 | X=0108.050-0331.220 | Y=0437.880-0449.120 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1579 | X=0108.050-0387.570 | Y=0455.660-0466.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1579 | X=0108.050-0388.310 | Y=0467.180-0478.420 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba Bến phà
P=1579 | X=0108.050-0376.520 | Y=0478.460-0489.700 | đến Ngã ba Lô Năm có hiện trạng là đường nhựa, bê tông xi
P=1579 | X=0096.050-0136.050 | Y=0489.980-0501.420 | 4 măng:
P=1579 | X=0414.860-0431.500 | Y=0492.100-0501.420 | 195
P=1579 | X=0462.170-0478.810 | Y=0492.100-0501.420 | 140
P=1579 | X=0505.390-0522.030 | Y=0492.100-0501.420 | 120
P=1579 | X=0108.050-0393.840 | Y=0507.500-0518.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1579 | X=0108.050-0331.690 | Y=0525.020-0536.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1579 | X=0108.050-0393.310 | Y=0542.810-0554.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1579 | X=0108.050-0378.890 | Y=0554.330-0565.570 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1579 | X=0108.050-0376.790 | Y=0565.850-0577.090 | Ngã ba Bến phà đến Ngã ba Lô Năm có hiện trạng là đường
P=1579 | X=0096.050-0211.160 | Y=0577.370-0588.810 | 5 nhựa, bê tông xi măng:
P=1579 | X=0414.860-0431.500 | Y=0579.490-0588.810 | 300
P=1579 | X=0462.170-0478.810 | Y=0579.490-0588.810 | 210
P=1579 | X=0505.390-0522.030 | Y=0579.490-0588.810 | 180
P=1579 | X=0108.050-0339.130 | Y=0594.890-0606.130 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1579 | X=0108.050-0385.220 | Y=0612.410-0623.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1579 | X=0108.050-0393.310 | Y=0630.190-0641.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1579 | X=0108.050-0378.890 | Y=0641.710-0652.950 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1579 | X=0108.050-0376.790 | Y=0653.230-0664.470 | Ngã ba Bến phà đến Ngã ba Lô Năm có hiện trạng là đường
P=1579 | X=0096.050-0211.160 | Y=0664.510-0675.950 | 6 nhựa, bê tông xi măng:
P=1579 | X=0414.860-0431.500 | Y=0666.630-0675.950 | 240
P=1579 | X=0462.170-0478.810 | Y=0666.630-0675.950 | 170
P=1579 | X=0505.390-0522.030 | Y=0666.630-0675.950 | 140
P=1579 | X=0108.050-0339.600 | Y=0682.030-0693.270 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1579 | X=0108.050-0361.360 | Y=0699.550-0710.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1580 | X=0108.050-0203.000 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1580 | X=0108.050-0331.220 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1580 | X=0108.050-0393.310 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1580 | X=0108.050-0378.890 | Y=0119.330-0130.570 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1580 | X=0108.050-0376.790 | Y=0130.850-0142.090 | Ngã ba Bến phà đến Ngã ba Lô Năm có hiện trạng là đường
P=1580 | X=0096.050-0211.160 | Y=0142.370-0153.810 | 7 nhựa, bê tông xi măng:
P=1580 | X=0414.860-0431.500 | Y=0144.490-0153.810 | 180
P=1580 | X=0462.170-0478.810 | Y=0144.490-0153.810 | 130
P=1580 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 110
P=1580 | X=0108.050-0393.840 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
