TABLE=049 | AREA=Xã Tà Lài | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1661-1676 | LINES=1161 | HEADING=49. Xã Tà Lài ---
P=1661 | X=0090.020-0150.660 | Y=0073.900-0083.220 | 49. Xã Tà Lài
P=1661 | X=0483.050-0517.150 | Y=0089.780-0101.020 | Giá đất
P=1661 | X=0485.950-0514.230 | Y=0101.300-0112.540 | cơ sở
P=1661 | X=0479.690-0520.500 | Y=0114.700-0124.020 | sản xuất
P=1661 | X=0478.970-0521.330 | Y=0126.250-0135.570 | phi nông
P=1661 | X=0436.970-0471.050 | Y=0130.130-0141.370 | Giá đất
P=1661 | X=0483.770-0516.830 | Y=0137.770-0147.090 | nghiệp
P=1661 | X=0392.540-0472.140 | Y=0141.410-0152.650 | Giá đất thương
P=1661 | X=0092.900-0217.840 | Y=0147.170-0158.410 | TT Tên đường giao thông
P=1661 | X=0238.180-0283.460 | Y=0147.170-0158.410 | Điểm đầu
P=1661 | X=0321.720-0369.660 | Y=0147.170-0158.410 | Điểm cuối
P=1661 | X=0485.710-0514.750 | Y=0147.170-0158.410 | và đất
P=1661 | X=0405.980-0413.150 | Y=0152.930-0164.170 | ở
P=1661 | X=0432.410-0476.020 | Y=0154.810-0164.130 | mại, dịch
P=1661 | X=0480.170-0520.420 | Y=0160.570-0169.890 | sử dụng
P=1661 | X=0448.250-0459.930 | Y=0166.330-0175.650 | vụ
P=1661 | X=0479.210-0521.220 | Y=0172.090-0181.410 | cho hoạt
P=1661 | X=0487.870-0512.500 | Y=0181.730-0192.970 | động
P=1661 | X=0482.330-0517.990 | Y=0195.130-0204.450 | khoáng
P=1661 | X=0491.470-0508.670 | Y=0206.670-0215.990 | sản
P=1661 | X=0108.530-0204.380 | Y=0222.790-0234.030 | Đường Phú Lập đi xã
P=1661 | X=0219.910-0293.940 | Y=0222.790-0234.030 | Ngã 3 Phú lập đi
P=1661 | X=0302.280-0365.270 | Y=0228.550-0239.790 | Đường ấp 2-4
P=1661 | X=0096.290-0101.890 | Y=0230.430-0239.750 | 1
P=1661 | X=0405.020-0430.070 | Y=0230.430-0239.750 | 1.200
P=1661 | X=0461.210-0477.850 | Y=0230.430-0239.750 | 840
P=1661 | X=0505.390-0522.030 | Y=0230.430-0239.750 | 720
P=1661 | X=0219.910-0301.780 | Y=0234.310-0245.550 | xã Núi Tượng (cũ)
P=1661 | X=0108.530-0170.500 | Y=0236.190-0245.510 | Nam Cát Tiên
P=1661 | X=0108.530-0377.480 | Y=0252.070-0263.310 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1661 | X=0108.530-0358.750 | Y=0263.590-0274.830 | Lập đi xã Nam Cát Tiên đoạn từ Ngã 3 Phú lập đi xã Núi
P=1661 | X=0108.530-0376.870 | Y=0275.110-0286.350 | Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là đường nhựa,
P=1661 | X=0096.290-0182.610 | Y=0286.660-0298.100 | 2 bê tông xi măng:
P=1661 | X=0413.180-0429.820 | Y=0288.780-0298.100 | 590
P=1661 | X=0461.210-0477.850 | Y=0288.780-0298.100 | 410
P=1661 | X=0505.390-0522.030 | Y=0288.780-0298.100 | 350
P=1661 | X=0108.530-0339.610 | Y=0303.940-0315.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1661 | X=0108.530-0385.700 | Y=0321.460-0332.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1661 | X=0108.530-0377.480 | Y=0339.220-0350.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1661 | X=0108.530-0358.750 | Y=0350.740-0361.980 | Lập đi xã Nam Cát Tiên đoạn từ Ngã 3 Phú lập đi xã Núi
P=1661 | X=0108.530-0376.870 | Y=0362.260-0373.500 | Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là đường nhựa,
P=1661 | X=0108.530-0182.610 | Y=0373.800-0385.040 | bê tông xi măng:
P=1661 | X=0096.290-0340.080 | Y=0390.560-0402.560 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1661 | X=0413.180-0429.820 | Y=0390.560-0399.880 | 390
P=1661 | X=0461.210-0477.850 | Y=0390.560-0399.880 | 270
