TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1677-1688 | LINES=851 | HEADING=50. Xã Nam Cát Tiên ---
P=1677 | X=0090.020-0185.690 | Y=0091.420-0100.740 | 50. Xã Nam Cát Tiên
P=1677 | X=0483.290-0517.390 | Y=0107.300-0118.540 | Giá đất
P=1677 | X=0486.190-0514.470 | Y=0118.850-0130.090 | cơ sở
P=1677 | X=0479.930-0520.740 | Y=0132.250-0141.570 | sản xuất
P=1677 | X=0479.210-0521.570 | Y=0143.770-0153.090 | phi nông
P=1677 | X=0437.210-0471.290 | Y=0147.410-0158.650 | Giá đất
P=1677 | X=0483.770-0516.830 | Y=0155.050-0164.370 | nghiệp
P=1677 | X=0393.980-0472.380 | Y=0158.930-0170.170 | Giá đất thương
P=1677 | X=0092.900-0217.840 | Y=0164.690-0175.930 | TT Tên đường giao thông
P=1677 | X=0238.180-0283.460 | Y=0164.690-0175.930 | Điểm đầu
P=1677 | X=0322.920-0370.860 | Y=0164.690-0175.930 | Điểm cuối
P=1677 | X=0485.710-0514.750 | Y=0164.690-0175.930 | và đất
P=1677 | X=0407.420-0414.590 | Y=0170.450-0181.690 | ở
P=1677 | X=0432.650-0476.260 | Y=0172.330-0181.650 | mại, dịch
P=1677 | X=0480.170-0520.420 | Y=0178.090-0187.410 | sử dụng
P=1677 | X=0448.490-0460.170 | Y=0183.850-0193.170 | vụ
P=1677 | X=0479.450-0521.460 | Y=0189.610-0198.930 | cho hoạt
P=1677 | X=0488.110-0512.740 | Y=0199.270-0210.510 | động
P=1677 | X=0482.330-0517.990 | Y=0212.670-0221.990 | khoáng
P=1677 | X=0491.710-0508.910 | Y=0224.190-0233.510 | sản
P=1677 | X=0301.800-0388.070 | Y=0242.190-0251.510 | Hết ranh Ban Quản
P=1677 | X=0096.290-0166.380 | Y=0246.070-0257.310 | 1 Đường 600A
P=1677 | X=0219.910-0268.500 | Y=0247.950-0257.270 | Quốc lộ 20
P=1677 | X=0413.180-0429.820 | Y=0247.950-0257.270 | 690
P=1677 | X=0461.450-0478.090 | Y=0247.950-0257.270 | 480
P=1677 | X=0505.390-0522.030 | Y=0247.950-0257.270 | 410
P=1677 | X=0301.800-0333.080 | Y=0253.710-0263.030 | lý rừng
P=1677 | X=0108.530-0382.930 | Y=0269.590-0280.830 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1677 | X=0108.530-0371.750 | Y=0281.110-0292.350 | đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng có hiện
P=1677 | X=0108.530-0280.310 | Y=0292.660-0303.900 | trạng là đường nhựa, bê tông xi măng:
P=1677 | X=0096.290-0101.890 | Y=0300.540-0309.860 | 2
P=1677 | X=0413.180-0429.820 | Y=0300.540-0309.860 | 250
P=1677 | X=0461.450-0478.090 | Y=0300.540-0309.860 | 180
P=1677 | X=0505.390-0522.030 | Y=0300.540-0309.860 | 150
P=1677 | X=0108.530-0339.610 | Y=0309.940-0321.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1677 | X=0108.530-0385.700 | Y=0327.460-0338.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1677 | X=0108.530-0382.930 | Y=0345.220-0356.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1677 | X=0108.530-0371.750 | Y=0356.740-0367.980 | đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng có hiện
P=1677 | X=0108.530-0280.310 | Y=0368.280-0379.520 | trạng là đường nhựa, bê tông xi măng:
P=1677 | X=0096.290-0340.080 | Y=0385.800-0400.120 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1677 | X=0413.180-0429.820 | Y=0390.800-0400.120 | 230
P=1677 | X=0461.450-0478.090 | Y=0390.800-0400.120 | 160
P=1677 | X=0505.390-0522.030 | Y=0390.800-0400.120 | 140
P=1677 | X=0108.530-0361.840 | Y=0403.320-0414.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1677 | X=0108.530-0203.480 | Y=0414.840-0426.080 | >500m đến ≤1.000m.
P=1677 | X=0108.530-0331.700 | Y=0432.360-0443.600 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1677 | X=0108.530-0382.930 | Y=0450.140-0461.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1677 | X=0108.530-0371.750 | Y=0461.660-0472.900 | đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng có hiện
P=1677 | X=0108.530-0280.310 | Y=0473.180-0484.420 | trạng là đường nhựa, bê tông xi măng:
P=1677 | X=0096.290-0101.890 | Y=0486.820-0496.140 | 4
P=1677 | X=0413.180-0429.820 | Y=0486.820-0496.140 | 220
P=1677 | X=0461.450-0478.090 | Y=0486.820-0496.140 | 150
P=1677 | X=0505.390-0522.030 | Y=0486.820-0496.140 | 130
P=1677 | X=0108.530-0349.620 | Y=0490.460-0501.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1677 | X=0108.530-0150.670 | Y=0503.860-0513.180 | >1.000m.
P=1677 | X=0108.530-0332.170 | Y=0519.500-0530.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1677 | X=0108.530-0382.040 | Y=0537.290-0548.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1677 | X=0108.530-0385.090 | Y=0548.810-0560.050 | ra Đường 600A đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý
P=1677 | X=0108.530-0339.370 | Y=0560.330-0571.570 | rừng có hiện trạng là đường nhựa, bê tông xi măng:
P=1677 | X=0096.290-0101.890 | Y=0568.210-0577.530 | 5
P=1677 | X=0413.180-0429.820 | Y=0568.210-0577.530 | 230
P=1677 | X=0461.450-0478.090 | Y=0568.210-0577.530 | 160
P=1677 | X=0505.390-0522.030 | Y=0568.210-0577.530 | 140
P=1677 | X=0108.530-0339.610 | Y=0577.850-0589.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1677 | X=0108.530-0385.700 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1677 | X=0108.530-0382.040 | Y=0613.130-0624.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1677 | X=0108.530-0385.090 | Y=0624.670-0635.910 | ra Đường 600A đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý
P=1677 | X=0108.530-0339.370 | Y=0636.190-0647.430 | rừng có hiện trạng là đường nhựa, bê tông xi măng:
P=1677 | X=0096.290-0340.080 | Y=0653.710-0667.790 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1677 | X=0413.180-0429.820 | Y=0658.470-0667.790 | 210
P=1677 | X=0461.450-0478.090 | Y=0658.470-0667.790 | 150
P=1677 | X=0505.390-0522.030 | Y=0658.470-0667.790 | 130
P=1677 | X=0108.530-0361.840 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1677 | X=0108.530-0203.480 | Y=0682.510-0693.750 | >500m đến ≤1.000m.
P=1677 | X=0108.530-0331.720 | Y=0700.050-0711.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1678 | X=0108.530-0382.040 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1678 | X=0108.530-0385.090 | Y=0090.020-0101.260 | ra Đường 600A đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý
P=1678 | X=0108.530-0339.370 | Y=0101.540-0112.780 | rừng có hiện trạng là đường nhựa, bê tông xi măng:
P=1678 | X=0096.290-0101.890 | Y=0115.180-0124.500 | 7
P=1678 | X=0413.180-0429.820 | Y=0115.180-0124.500 | 200
P=1678 | X=0461.450-0478.090 | Y=0115.180-0124.500 | 140
P=1678 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 120
P=1678 | X=0108.530-0349.620 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1678 | X=0108.530-0150.670 | Y=0132.490-0141.810 | >1.000m.
P=1678 | X=0108.530-0332.170 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1678 | X=0219.910-0279.050 | Y=0167.530-0176.850 | Hết ranh Ban
P=1678 | X=0096.290-0166.380 | Y=0171.410-0182.650 | 8 Đường 600A
P=1678 | X=0301.800-0358.040 | Y=0173.290-0182.610 | Hết cầu số 5
P=1678 | X=0413.180-0429.820 | Y=0173.290-0182.610 | 690
P=1678 | X=0461.450-0478.090 | Y=0173.290-0182.610 | 480
P=1678 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 410
P=1678 | X=0219.910-0278.590 | Y=0179.050-0188.370 | Quản lý rừng
P=1678 | X=0108.530-0382.930 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1678 | X=0108.530-0379.660 | Y=0206.470-0217.710 | đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số 5 có hiện
P=1678 | X=0108.530-0280.310 | Y=0217.990-0229.230 | trạng là đường nhựa, bê tông xi măng:
P=1678 | X=0096.290-0101.890 | Y=0225.870-0235.190 | 9
P=1678 | X=0413.180-0429.820 | Y=0225.870-0235.190 | 250
P=1678 | X=0461.450-0478.090 | Y=0225.870-0235.190 | 180
P=1678 | X=0505.390-0522.030 | Y=0225.870-0235.190 | 150
P=1678 | X=0108.530-0339.610 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1678 | X=0108.530-0385.700 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1678 | X=0108.530-0382.930 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1678 | X=0108.530-0379.670 | Y=0282.340-0293.580 | đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số 5 có hiện
P=1678 | X=0108.530-0280.310 | Y=0293.860-0305.100 | trạng là đường nhựa, bê tông xi măng:
P=1678 | X=0093.620-0340.080 | Y=0311.380-0325.460 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1678 | X=0413.180-0429.820 | Y=0316.140-0325.460 | 230
P=1678 | X=0461.450-0478.090 | Y=0316.140-0325.460 | 160
P=1678 | X=0505.390-0522.030 | Y=0316.140-0325.460 | 140
P=1678 | X=0108.530-0361.840 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1678 | X=0108.530-0203.480 | Y=0340.420-0351.660 | >500m đến ≤1.000m.
P=1678 | X=0108.530-0331.700 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1678 | X=0108.530-0382.930 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1678 | X=0108.530-0379.660 | Y=0387.000-0398.240 | đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số 5 có hiện
P=1678 | X=0108.530-0280.310 | Y=0398.520-0409.760 | trạng là đường nhựa, bê tông xi măng:
P=1678 | X=0093.620-0104.740 | Y=0412.160-0421.480 | 11
P=1678 | X=0413.180-0429.820 | Y=0412.160-0421.480 | 220
P=1678 | X=0461.450-0478.090 | Y=0412.160-0421.480 | 150
P=1678 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 130
P=1678 | X=0108.530-0349.620 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1678 | X=0108.530-0150.670 | Y=0429.440-0438.760 | >1.000m.
P=1678 | X=0108.530-0332.170 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1678 | X=0108.530-0382.040 | Y=0462.860-0474.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1678 | X=0108.530-0375.910 | Y=0474.380-0485.620 | ra Đường 600A đoạn từ Hết ranh Ban Quản lý rừng đến Hết
P=1678 | X=0108.530-0355.940 | Y=0485.900-0497.140 | cầu số 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1678 | X=0093.620-0104.740 | Y=0493.780-0503.100 | 12
P=1678 | X=0413.180-0429.820 | Y=0493.780-0503.100 | 230
P=1678 | X=0461.450-0478.090 | Y=0493.780-0503.100 | 160
P=1678 | X=0505.390-0522.030 | Y=0493.780-0503.100 | 140
P=1678 | X=0108.530-0339.610 | Y=0503.420-0514.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1678 | X=0108.530-0385.720 | Y=0520.940-0532.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1678 | X=0108.530-0382.040 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1678 | X=0108.530-0375.910 | Y=0550.010-0561.250 | ra Đường 600A đoạn từ Hết ranh Ban Quản lý rừng đến Hết
P=1678 | X=0108.530-0355.940 | Y=0561.530-0572.770 | cầu số 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1678 | X=0093.620-0340.080 | Y=0579.050-0593.370 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1678 | X=0413.180-0429.820 | Y=0584.050-0593.370 | 210
P=1678 | X=0461.450-0478.090 | Y=0584.050-0593.370 | 150
P=1678 | X=0505.390-0522.030 | Y=0584.050-0593.370 | 130
P=1678 | X=0108.530-0361.840 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1678 | X=0108.530-0203.480 | Y=0608.090-0619.330 | >500m đến ≤1.000m.
P=1678 | X=0108.530-0331.700 | Y=0625.630-0636.870 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1678 | X=0108.530-0382.040 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1678 | X=0108.530-0375.910 | Y=0654.910-0666.150 | ra Đường 600A đoạn từ Hết ranh Ban Quản lý rừng đến Hết
P=1678 | X=0093.620-0355.940 | Y=0666.430-0680.510 | 14 cầu số 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1678 | X=0413.180-0429.820 | Y=0671.190-0680.510 | 200
P=1678 | X=0461.450-0478.090 | Y=0671.190-0680.510 | 140
P=1678 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 120
P=1678 | X=0108.530-0349.620 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1678 | X=0108.530-0150.670 | Y=0697.350-0706.670 | >1.000m.
P=1679 | X=0108.530-0332.170 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1679 | X=0093.620-0166.380 | Y=0096.260-0107.500 | 15 Đường 600A
P=1679 | X=0301.800-0389.260 | Y=0096.260-0107.500 | Ngã ba đường ấp 2
P=1679 | X=0219.910-0276.180 | Y=0098.140-0107.460 | Hết cầu số 5
