TABLE=051 | AREA=Xã Phú Lâm | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1688-1719 | LINES=2221 | HEADING=51. Xã Phú Lâm ---
P=1688 | X=0090.020-0164.250 | Y=0591.970-0601.290 | 51. Xã Phú Lâm
P=1688 | X=0487.390-0521.470 | Y=0607.850-0619.090 | Giá đất
P=1688 | X=0490.270-0518.550 | Y=0619.390-0630.630 | cơ sở
P=1688 | X=0495.790-0512.990 | Y=0632.790-0642.110 | sản
P=1688 | X=0451.130-0485.210 | Y=0636.670-0647.910 | Giá đất
P=1688 | X=0494.110-0514.750 | Y=0644.310-0653.630 | xuất
P=1688 | X=0424.970-0486.300 | Y=0648.190-0659.430 | Giá thương
P=1688 | X=0117.410-0224.560 | Y=0653.950-0665.190 | Tên đường giao thông
P=1688 | X=0256.180-0301.480 | Y=0653.950-0665.190 | Điểm đầu
P=1688 | X=0345.240-0393.180 | Y=0653.950-0665.190 | Điểm cuối
P=1688 | X=0092.180-0104.580 | Y=0655.830-0665.150 | TT
P=1688 | X=0496.750-0511.780 | Y=0655.830-0665.150 | phi
P=1688 | X=0420.650-0478.170 | Y=0659.710-0670.950 | đất ở mại,
P=1688 | X=0492.190-0516.810 | Y=0667.350-0676.670 | nông
P=1688 | X=0450.650-0485.840 | Y=0673.110-0682.430 | dịch vụ
P=1688 | X=0487.870-0520.910 | Y=0678.870-0688.190 | nghiệp
P=1688 | X=0489.790-0518.830 | Y=0688.270-0699.510 | và đất
P=1688 | X=0497.950-0510.770 | Y=0701.700-0711.020 | sử
P=1689 | X=0492.190-0516.820 | Y=0074.140-0083.460 | dụng
P=1689 | X=0495.310-0513.220 | Y=0085.660-0094.980 | cho
P=1689 | X=0493.630-0514.990 | Y=0097.180-0106.500 | hoạt
P=1689 | X=0492.190-0516.820 | Y=0106.820-0118.060 | động
P=1689 | X=0486.670-0522.330 | Y=0120.250-0129.570 | khoáng
P=1689 | X=0495.790-0512.990 | Y=0131.770-0141.090 | sản
P=1689 | X=0106.850-0222.640 | Y=0147.650-0158.890 | Đường Phú Xuân - Thanh
P=1689 | X=0235.540-0402.860 | Y=0147.650-0158.890 | Giáp ranh xã Tân Đường Phú Lâm -
P=1689 | X=0095.570-0101.170 | Y=0155.290-0164.610 | 1
P=1689 | X=0433.130-0449.770 | Y=0155.290-0164.610 | 650
P=1689 | X=0469.370-0486.010 | Y=0155.290-0164.610 | 460
P=1689 | X=0505.390-0522.030 | Y=0155.290-0164.610 | 390
P=1689 | X=0106.850-0125.880 | Y=0159.170-0170.410 | Sơn
P=1689 | X=0322.200-0372.430 | Y=0159.170-0170.410 | Thanh Sơn
P=1689 | X=0235.540-0253.380 | Y=0161.050-0170.370 | Phú
P=1689 | X=0106.850-0407.900 | Y=0176.930-0188.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Xuân -
P=1689 | X=0106.850-0397.580 | Y=0188.450-0199.690 | Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến Đường Phú Lâm -
P=1689 | X=0106.850-0366.250 | Y=0199.990-0211.230 | Thanh Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1689 | X=0095.570-0101.170 | Y=0207.870-0217.190 | 2
P=1689 | X=0433.130-0449.770 | Y=0207.870-0217.190 | 330
P=1689 | X=0469.370-0486.010 | Y=0207.870-0217.190 | 230
P=1689 | X=0505.390-0522.030 | Y=0207.870-0217.190 | 200
P=1689 | X=0106.850-0337.930 | Y=0217.510-0228.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1689 | X=0106.850-0384.020 | Y=0235.030-0246.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1689 | X=0106.850-0407.900 | Y=0252.790-0264.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Xuân -
P=1689 | X=0106.850-0397.580 | Y=0264.310-0275.550 | Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến Đường Phú Lâm -
P=1689 | X=0106.850-0366.250 | Y=0275.830-0287.070 | Thanh Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1689 | X=0095.570-0338.400 | Y=0293.380-0307.460 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1689 | X=0433.130-0449.770 | Y=0298.140-0307.460 | 260
P=1689 | X=0469.370-0486.010 | Y=0298.140-0307.460 | 180
P=1689 | X=0505.390-0522.030 | Y=0298.140-0307.460 | 160
P=1689 | X=0106.850-0413.270 | Y=0310.900-0322.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1689 | X=0106.850-0148.530 | Y=0322.420-0333.660 | ≤1.000m.
P=1689 | X=0106.850-0330.020 | Y=0339.700-0350.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1689 | X=0106.850-0407.900 | Y=0357.460-0368.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Xuân -
P=1689 | X=0106.850-0397.580 | Y=0369.000-0380.240 | Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến Đường Phú Lâm -
P=1689 | X=0106.850-0366.250 | Y=0380.520-0391.760 | Thanh Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1689 | X=0095.570-0101.170 | Y=0388.400-0397.720 | 4
P=1689 | X=0433.130-0449.770 | Y=0388.400-0397.720 | 250
P=1689 | X=0469.370-0486.010 | Y=0388.400-0397.720 | 180
P=1689 | X=0505.390-0522.030 | Y=0388.400-0397.720 | 150
P=1689 | X=0106.850-0392.670 | Y=0398.040-0409.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1689 | X=0106.850-0330.490 | Y=0415.560-0426.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1689 | X=0106.850-0392.110 | Y=0433.320-0444.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1689 | X=0106.850-0401.500 | Y=0444.840-0456.080 | Đường Phú Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến
P=1689 | X=0106.850-0409.170 | Y=0456.380-0467.620 | Đường Phú Lâm - Thanh Sơn có hiện trạng là đường nhựa, bê tông
P=1689 | X=0095.570-0144.680 | Y=0467.900-0479.340 | 5 xi măng:
P=1689 | X=0433.130-0449.770 | Y=0470.020-0479.340 | 300
P=1689 | X=0469.370-0486.010 | Y=0470.020-0479.340 | 210
P=1689 | X=0505.390-0522.030 | Y=0470.020-0479.340 | 180
P=1689 | X=0106.850-0337.930 | Y=0485.420-0496.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1689 | X=0106.850-0384.020 | Y=0502.940-0514.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1689 | X=0106.850-0392.110 | Y=0520.460-0531.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1689 | X=0106.850-0401.500 | Y=0531.980-0543.220 | Đường Phú Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến
P=1689 | X=0106.850-0409.170 | Y=0543.530-0554.770 | Đường Phú Lâm - Thanh Sơn có hiện trạng là đường nhựa, bê tông
P=1689 | X=0106.850-0144.680 | Y=0555.050-0566.290 | xi măng:
P=1689 | X=0095.570-0338.400 | Y=0571.810-0583.810 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1689 | X=0433.130-0449.770 | Y=0571.810-0581.130 | 230
P=1689 | X=0469.370-0486.010 | Y=0571.810-0581.130 | 160
P=1689 | X=0505.390-0522.030 | Y=0571.810-0581.130 | 140
P=1689 | X=0106.850-0413.270 | Y=0590.090-0601.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1689 | X=0106.850-0148.530 | Y=0601.610-0612.850 | ≤1.000m.
P=1689 | X=0106.850-0330.020 | Y=0619.150-0630.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1689 | X=0106.850-0392.110 | Y=0636.910-0648.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1689 | X=0106.850-0401.500 | Y=0648.430-0659.670 | Đường Phú Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến
P=1689 | X=0106.850-0409.170 | Y=0659.950-0671.190 | Đường Phú Lâm - Thanh Sơn có hiện trạng là đường nhựa, bê tông
P=1689 | X=0095.570-0144.680 | Y=0671.470-0682.910 | 7 xi măng:
P=1689 | X=0433.130-0449.770 | Y=0673.590-0682.910 | 230
P=1689 | X=0469.370-0486.010 | Y=0673.590-0682.910 | 160
P=1689 | X=0505.390-0522.030 | Y=0673.590-0682.910 | 140
P=1689 | X=0106.850-0392.690 | Y=0688.750-0699.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1689 | X=0106.850-0330.490 | Y=0706.290-0717.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1690 | X=0322.200-0403.310 | Y=0080.380-0089.700 | Giáp ranh xã Nam
P=1690 | X=0095.570-0215.190 | Y=0084.260-0095.500 | 8 Đường nhà thờ Kim Lân
P=1690 | X=0235.540-0284.100 | Y=0086.140-0095.460 | Quốc lộ 20
P=1690 | X=0433.130-0449.770 | Y=0086.140-0095.460 | 550
P=1690 | X=0469.370-0486.010 | Y=0086.140-0095.460 | 390
P=1690 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 330
P=1690 | X=0322.200-0360.180 | Y=0091.900-0101.220 | Cát Tiên
P=1690 | X=0106.850-0412.460 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà thờ Kim
P=1690 | X=0106.850-0391.180 | Y=0119.330-0130.570 | Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam Cát Tiên có hiện
P=1690 | X=0106.850-0278.630 | Y=0130.850-0142.090 | trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0095.570-0101.170 | Y=0138.730-0148.050 | 9
P=1690 | X=0433.130-0449.770 | Y=0138.730-0148.050 | 270
P=1690 | X=0469.370-0486.010 | Y=0138.730-0148.050 | 190
P=1690 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 160
P=1690 | X=0106.850-0337.930 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1690 | X=0106.850-0384.020 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1690 | X=0106.850-0412.460 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà thờ Kim
P=1690 | X=0106.850-0391.180 | Y=0194.930-0206.170 | Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam Cát Tiên có hiện
P=1690 | X=0106.850-0278.630 | Y=0206.470-0217.710 | trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0092.900-0338.400 | Y=0223.990-0238.310 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1690 | X=0433.130-0449.770 | Y=0228.990-0238.310 | 230
P=1690 | X=0469.370-0486.010 | Y=0228.990-0238.310 | 160
P=1690 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 140
P=1690 | X=0106.850-0413.270 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1690 | X=0106.850-0148.530 | Y=0253.030-0264.270 | ≤1.000m.
P=1690 | X=0106.850-0330.020 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1690 | X=0106.850-0412.460 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà thờ Kim
P=1690 | X=0106.850-0391.180 | Y=0299.860-0311.100 | Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam Cát Tiên có hiện
P=1690 | X=0106.850-0278.630 | Y=0311.380-0322.620 | trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0092.900-0104.020 | Y=0319.260-0328.580 | 11
P=1690 | X=0433.130-0449.770 | Y=0319.260-0328.580 | 210
P=1690 | X=0469.370-0486.010 | Y=0319.260-0328.580 | 150
P=1690 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 130
P=1690 | X=0106.850-0392.640 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1690 | X=0106.850-0330.490 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1690 | X=0106.850-0392.110 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1690 | X=0106.850-0406.910 | Y=0375.480-0386.720 | Đường nhà thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam
P=1690 | X=0106.850-0354.260 | Y=0387.000-0398.240 | Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0092.900-0104.020 | Y=0394.880-0404.200 | 12
P=1690 | X=0433.130-0449.770 | Y=0394.880-0404.200 | 240
P=1690 | X=0469.370-0486.010 | Y=0394.880-0404.200 | 170
P=1690 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 140
P=1690 | X=0106.850-0337.940 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1690 | X=0106.850-0384.020 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1690 | X=0106.850-0392.110 | Y=0439.800-0451.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1690 | X=0106.850-0406.910 | Y=0451.340-0462.580 | Đường nhà thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam
P=1690 | X=0106.850-0354.260 | Y=0462.860-0474.100 | Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0092.900-0338.400 | Y=0480.380-0494.460 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1690 | X=0433.130-0449.770 | Y=0485.140-0494.460 | 210
P=1690 | X=0469.370-0486.010 | Y=0485.140-0494.460 | 150
P=1690 | X=0505.390-0522.030 | Y=0485.140-0494.460 | 130
P=1690 | X=0106.850-0413.270 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1690 | X=0106.850-0148.530 | Y=0509.420-0520.660 | ≤1.000m.
P=1690 | X=0106.850-0330.020 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1690 | X=0106.850-0392.150 | Y=0544.490-0555.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1690 | X=0106.850-0406.910 | Y=0556.010-0567.250 | Đường nhà thờ Kim Lân đoạn từ Quốc lộ 20 đến Giáp ranh xã Nam
P=1690 | X=0106.850-0354.260 | Y=0567.530-0578.770 | Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0092.900-0104.020 | Y=0575.410-0584.730 | 14
P=1690 | X=0433.130-0449.770 | Y=0575.410-0584.730 | 190
P=1690 | X=0469.370-0486.010 | Y=0575.410-0584.730 | 130
P=1690 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 110
P=1690 | X=0106.850-0392.640 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1690 | X=0106.850-0330.490 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1690 | X=0235.540-0409.850 | Y=0620.350-0631.590 | Giáp ranh xã Tân Ngã tư Cây Xoài xã
P=1690 | X=0092.900-0155.410 | Y=0627.990-0637.310 | 15 Quốc lộ 20
P=1690 | X=0424.970-0450.020 | Y=0627.990-0637.310 | 5.300
P=1690 | X=0461.210-0486.260 | Y=0627.990-0637.310 | 3.700
P=1690 | X=0497.230-0522.280 | Y=0627.990-0637.310 | 3.200
P=1690 | X=0235.540-0253.380 | Y=0633.750-0643.070 | Phú
P=1690 | X=0322.200-0362.270 | Y=0633.750-0643.070 | Phú Lâm
P=1690 | X=0106.850-0409.370 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1690 | X=0106.850-0392.390 | Y=0661.150-0672.390 | Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã Phú Lâm có hiện
P=1690 | X=0106.850-0278.630 | Y=0672.670-0683.910 | trạng là đường nhựa, bê tông xi măng:
P=1690 | X=0092.900-0104.020 | Y=0680.550-0689.870 | 16
P=1690 | X=0424.970-0450.020 | Y=0680.550-0689.870 | 1.300
P=1690 | X=0469.370-0486.010 | Y=0680.550-0689.870 | 910
P=1690 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 780
P=1690 | X=0106.850-0337.930 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1690 | X=0106.850-0384.020 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1691 | X=0106.850-0409.370 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1691 | X=0106.850-0392.390 | Y=0090.020-0101.260 | Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã Phú Lâm có hiện
P=1691 | X=0106.850-0278.630 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0092.900-0338.400 | Y=0119.090-0133.170 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1691 | X=0424.970-0450.020 | Y=0123.850-0133.170 | 1.000
P=1691 | X=0469.370-0486.010 | Y=0123.850-0133.170 | 700
P=1691 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 600
P=1691 | X=0106.850-0413.270 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1691 | X=0106.850-0148.530 | Y=0148.130-0159.370 | ≤1.000m.
P=1691 | X=0106.850-0330.020 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1691 | X=0106.850-0409.370 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1691 | X=0106.850-0392.390 | Y=0194.690-0205.930 | Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã Phú Lâm có hiện
P=1691 | X=0106.850-0278.630 | Y=0206.230-0217.470 | trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0092.900-0104.020 | Y=0214.110-0223.430 | 18
P=1691 | X=0433.130-0449.770 | Y=0214.110-0223.430 | 780
P=1691 | X=0469.370-0486.010 | Y=0214.110-0223.430 | 550
P=1691 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 470
P=1691 | X=0106.850-0392.640 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1691 | X=0106.850-0330.490 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
