TABLE=052 | AREA=Xã Đắk Lua | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1719-1792 | LINES=5169 | HEADING=52. Xã Đắk Lua ---
P=1719 | X=0090.020-0160.930 | Y=0304.900-0316.140 | 52. Xã Đắk Lua
P=1719 | X=0471.050-0520.710 | Y=0322.900-0334.140 | Giá đất cơ
P=1719 | X=0479.210-0512.030 | Y=0336.300-0345.620 | sở sản
P=1719 | X=0476.570-0515.130 | Y=0347.580-0356.900 | xuất phi
P=1719 | X=0433.370-0467.450 | Y=0357.220-0368.460 | Giá đất
P=1719 | X=0483.530-0508.150 | Y=0359.100-0368.420 | nông
P=1719 | X=0121.010-0197.720 | Y=0368.760-0380.000 | Tên đường giao
P=1719 | X=0432.410-0519.150 | Y=0368.760-0380.000 | thương nghiệp và
P=1719 | X=0222.070-0267.380 | Y=0374.520-0385.760 | Điểm đầu
P=1719 | X=0310.680-0358.620 | Y=0374.520-0385.760 | Điểm cuối
P=1719 | X=0385.340-0429.260 | Y=0374.520-0385.760 | Giá đất ở
P=1719 | X=0097.010-0109.410 | Y=0376.400-0385.720 | TT
P=1719 | X=0480.410-0511.250 | Y=0380.280-0391.520 | đất sử
P=1719 | X=0145.490-0173.460 | Y=0382.160-0391.480 | thông
P=1719 | X=0440.330-0460.410 | Y=0382.160-0391.480 | mại,
P=1719 | X=0432.890-0518.250 | Y=0393.680-0403.000 | dịch vụ dụng cho
P=1719 | X=0471.530-0519.950 | Y=0403.320-0414.560 | hoạt động
P=1719 | X=0477.770-0513.430 | Y=0416.720-0426.040 | khoáng
P=1719 | X=0487.150-0504.350 | Y=0428.240-0437.560 | sản
P=1719 | X=0287.140-0377.180 | Y=0444.600-0455.840 | Ranh giới xã Phước
P=1719 | X=0287.140-0367.260 | Y=0456.140-0467.380 | Sơn (bên phải hết
P=1719 | X=0287.140-0371.830 | Y=0467.660-0478.900 | ranh thửa đất số 7,
P=1719 | X=0202.630-0259.610 | Y=0469.540-0478.860 | Ranh giới xã
P=1719 | X=0116.930-0171.010 | Y=0479.180-0490.420 | Đường ấp 7
P=1719 | X=0202.630-0255.050 | Y=0479.180-0490.420 | Phước Sơn
P=1719 | X=0287.140-0377.210 | Y=0479.180-0490.420 | tờ BĐ số 40, BĐ ĐC
P=1719 | X=0100.370-0105.970 | Y=0486.820-0496.140 | 1
P=1719 | X=0415.100-0431.740 | Y=0486.820-0496.140 | 360
P=1719 | X=0451.610-0468.250 | Y=0486.820-0496.140 | 250
P=1719 | X=0505.630-0522.270 | Y=0486.820-0496.140 | 220
P=1719 | X=0116.930-0167.910 | Y=0490.460-0501.700 | Đabongkua
P=1719 | X=0202.630-0377.700 | Y=0490.460-0501.700 | (Trường Tiểu học xã Đắk Lua. Bên trái
P=1719 | X=0202.630-0377.260 | Y=0501.980-0513.220 | Nguyễn Bá Học) hết ranh thửa đất số
P=1719 | X=0287.140-0376.750 | Y=0513.500-0524.740 | 14, tờ BĐ số 40, BĐ
P=1719 | X=0287.140-0358.440 | Y=0525.020-0536.260 | ĐC xã Đắk Lua)
P=1719 | X=0116.930-0379.180 | Y=0543.050-0554.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=1719 | X=0116.930-0367.900 | Y=0554.570-0565.810 | 7 Đabongkua đoạn từ Ranh giới xã Phước Sơn (Trường
P=1719 | X=0116.930-0365.260 | Y=0566.090-0577.330 | Tiểu học Nguyễn Bá Học) đến Ranh giới xã Phước Sơn
P=1719 | X=0116.930-0369.060 | Y=0577.610-0588.850 | (bên phải hết ranh thửa đất số 7, tờ BĐ số 40, BĐ ĐC xã
P=1719 | X=0116.930-0379.400 | Y=0589.130-0600.370 | Đắk Lua. Bên trái hết ranh thửa đất số 14, tờ BĐ số 40, BĐ
P=1719 | X=0116.930-0367.160 | Y=0600.650-0611.890 | ĐC xã Đắk Lua) có hiện trạng là đường nhựa, bê tông xi
P=1719 | X=0100.370-0105.970 | Y=0602.770-0612.090 | 2
P=1719 | X=0415.100-0431.740 | Y=0602.770-0612.090 | 180
P=1719 | X=0451.610-0468.250 | Y=0602.770-0612.090 | 130
P=1719 | X=0505.630-0522.270 | Y=0602.770-0612.090 | 110
P=1719 | X=0116.930-0144.930 | Y=0612.170-0623.410 | măng:
P=1719 | X=0116.930-0348.010 | Y=0629.710-0640.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1719 | X=0116.930-0358.040 | Y=0647.230-0658.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1719 | X=0116.930-0150.450 | Y=0658.510-0669.750 | ≤500m.
P=1719 | X=0116.930-0379.180 | Y=0676.510-0687.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=1719 | X=0116.930-0367.900 | Y=0688.030-0699.270 | 7 Đabongkua đoạn từ Ranh giới xã Phước Sơn (Trường
P=1719 | X=0100.370-0105.970 | Y=0689.910-0699.230 | 3
P=1719 | X=0415.100-0431.740 | Y=0689.910-0699.230 | 160
P=1719 | X=0451.610-0468.250 | Y=0689.910-0699.230 | 110
P=1719 | X=0505.630-0522.270 | Y=0689.910-0699.230 | 100
P=1719 | X=0116.930-0365.250 | Y=0699.550-0710.790 | Tiểu học Nguyễn Bá Học) đến Ranh giới xã Phước Sơn
P=1720 | X=0116.930-0369.100 | Y=0072.740-0083.980 | (bên phải hết ranh thửa đất số 7, tờ BĐ số 40, BĐ ĐC xã
P=1720 | X=0116.930-0379.400 | Y=0084.260-0095.500 | Đắk Lua. Bên trái hết ranh thửa đất số 14, tờ BĐ số 40, BĐ
P=1720 | X=0116.930-0367.160 | Y=0095.780-0107.020 | ĐC xã Đắk Lua) có hiện trạng là đường nhựa, bê tông xi
P=1720 | X=0116.930-0144.930 | Y=0107.300-0118.540 | măng:
P=1720 | X=0116.930-0348.480 | Y=0124.850-0136.090 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1720 | X=0116.930-0370.240 | Y=0142.370-0153.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1720 | X=0116.930-0211.900 | Y=0153.650-0164.890 | >500m đến ≤1.000m.
P=1720 | X=0116.930-0340.100 | Y=0171.170-0182.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1720 | X=0116.930-0379.180 | Y=0189.170-0200.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=1720 | X=0116.930-0367.900 | Y=0200.710-0211.950 | 7 Đabongkua đoạn từ Ranh giới xã Phước Sơn (Trường
P=1720 | X=0116.930-0365.250 | Y=0212.230-0223.470 | Tiểu học Nguyễn Bá Học) đến Ranh giới xã Phước Sơn
P=1720 | X=0116.930-0369.060 | Y=0223.750-0234.990 | (bên phải hết ranh thửa đất số 7, tờ BĐ số 40, BĐ ĐC xã
P=1720 | X=0116.930-0379.400 | Y=0235.270-0246.510 | Đắk Lua. Bên trái hết ranh thửa đất số 14, tờ BĐ số 40, BĐ
P=1720 | X=0116.930-0367.160 | Y=0246.790-0258.030 | ĐC xã Đắk Lua) có hiện trạng là đường nhựa, bê tông xi
P=1720 | X=0100.370-0105.970 | Y=0248.910-0258.230 | 4
P=1720 | X=0415.100-0431.740 | Y=0248.910-0258.230 | 140
P=1720 | X=0451.610-0468.250 | Y=0248.910-0258.230 | 100
P=1720 | X=0511.390-0522.510 | Y=0248.910-0258.230 | 85
P=1720 | X=0116.930-0144.930 | Y=0258.310-0269.550 | măng:
P=1720 | X=0116.930-0358.040 | Y=0275.830-0287.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1720 | X=0116.930-0159.070 | Y=0289.260-0298.580 | >1.000m.
P=1720 | X=0116.930-0340.570 | Y=0304.900-0316.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1720 | X=0116.930-0362.840 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1720 | X=0116.930-0361.160 | Y=0334.420-0345.660 | thông ra Đường ấp 7 Đabongkua đoạn từ Ranh giới xã
P=1720 | X=0116.930-0372.450 | Y=0345.700-0356.940 | Phước Sơn (Trường Tiểu học Nguyễn Bá Học) đến Ranh
P=1720 | X=0116.930-0379.180 | Y=0357.220-0368.460 | giới xã Phước Sơn (bên phải hết ranh thửa đất số 7, tờ BĐ
P=1720 | X=0116.930-0380.950 | Y=0368.760-0380.000 | số 40, BĐ ĐC xã Đắk Lua. Bên trái hết ranh thửa đất số 14,
P=1720 | X=0116.930-0367.420 | Y=0380.280-0391.520 | tờ BĐ số 40, BĐ ĐC xã Đắk Lua) có hiện trạng là đường
P=1720 | X=0100.370-0105.970 | Y=0382.400-0391.720 | 5
P=1720 | X=0415.100-0431.740 | Y=0382.400-0391.720 | 160
P=1720 | X=0451.610-0468.250 | Y=0382.400-0391.720 | 110
P=1720 | X=0505.630-0522.270 | Y=0382.400-0391.720 | 100
P=1720 | X=0116.930-0220.040 | Y=0391.800-0403.040 | nhựa, bê tông xi măng:
P=1720 | X=0116.930-0348.010 | Y=0409.320-0420.560 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1720 | X=0116.930-0358.040 | Y=0426.840-0438.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1720 | X=0116.930-0150.450 | Y=0438.360-0449.600 | ≤500m.
P=1720 | X=0116.930-0362.840 | Y=0456.380-0467.620 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1720 | X=0116.930-0361.150 | Y=0467.900-0479.140 | thông ra Đường ấp 7 Đabongkua đoạn từ Ranh giới xã
P=1720 | X=0116.930-0372.450 | Y=0479.420-0490.660 | Phước Sơn (Trường Tiểu học Nguyễn Bá Học) đến Ranh
P=1720 | X=0116.930-0379.180 | Y=0490.940-0502.180 | giới xã Phước Sơn (bên phải hết ranh thửa đất số 7, tờ BĐ
