TABLE=054 | AREA=Xã Tân An | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1792-1820 | LINES=1970 | HEADING=54. Xã Tân An ---
P=1792 | X=0090.020-0155.730 | Y=0458.260-0467.580 | 54. Xã Tân An
P=1792 | X=0469.850-0519.510 | Y=0474.140-0485.380 | Giá đất cơ
P=1792 | X=0478.250-0511.070 | Y=0487.540-0496.860 | sở sản
P=1792 | X=0475.370-0513.950 | Y=0499.060-0508.380 | xuất phi
P=1792 | X=0482.330-0506.950 | Y=0510.580-0519.900 | nông
P=1792 | X=0419.450-0453.530 | Y=0514.220-0525.460 | Giá đất
P=1792 | X=0111.410-0188.100 | Y=0519.980-0531.220 | Tên đường giao
P=1792 | X=0471.290-0518.190 | Y=0521.860-0531.180 | nghiệp và
P=1792 | X=0204.550-0249.860 | Y=0525.740-0536.980 | Điểm đầu
P=1792 | X=0279.700-0327.640 | Y=0525.740-0536.980 | Điểm cuối
P=1792 | X=0353.400-0465.930 | Y=0525.740-0536.980 | Giá đất ở thương mại,
P=1792 | X=0092.900-0105.300 | Y=0527.620-0536.940 | TT
P=1792 | X=0479.210-0510.050 | Y=0531.500-0542.740 | đất sử
P=1792 | X=0135.890-0163.860 | Y=0533.380-0542.700 | thông
P=1792 | X=0418.940-0454.160 | Y=0539.170-0548.490 | dịch vụ
P=1792 | X=0472.010-0517.050 | Y=0544.930-0554.250 | dụng cho
P=1792 | X=0470.330-0518.750 | Y=0554.570-0565.810 | hoạt động
P=1792 | X=0476.810-0512.470 | Y=0567.970-0577.290 | khoáng
P=1792 | X=0485.950-0503.150 | Y=0579.490-0588.810 | sản
P=1792 | X=0191.830-0235.830 | Y=0597.490-0606.810 | Giáp ranh
P=1792 | X=0096.290-0178.460 | Y=0607.130-0618.370 | 1 Đường tỉnh 768
P=1792 | X=0191.830-0323.960 | Y=0607.130-0618.370 | phường Trảng Cầu Thủ Biên
P=1792 | X=0380.780-0405.830 | Y=0609.010-0618.330 | 5.600
P=1792 | X=0442.010-0467.060 | Y=0609.010-0618.330 | 3.900
P=1792 | X=0497.230-0522.280 | Y=0609.010-0618.330 | 3.400
P=1792 | X=0191.830-0206.790 | Y=0620.550-0629.870 | Dài
P=1792 | X=0108.290-0322.520 | Y=0636.430-0647.670 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1792 | X=0108.290-0329.720 | Y=0647.950-0659.190 | Đường tỉnh 768 đoạn từ Giáp ranh phường Trảng
P=1792 | X=0108.290-0337.490 | Y=0659.470-0670.710 | Dài đến cầu Thủ Biên có hiện trạng là đường nhựa,
P=1792 | X=0096.290-0182.370 | Y=0670.750-0682.430 | 2 bê tông xi măng:
P=1792 | X=0380.780-0405.830 | Y=0673.110-0682.430 | 2.100
P=1792 | X=0442.010-0467.060 | Y=0673.110-0682.430 | 1.500
P=1792 | X=0497.230-0522.280 | Y=0673.110-0682.430 | 1.300
P=1792 | X=0108.290-0339.370 | Y=0688.270-0699.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1792 | X=0108.290-0321.540 | Y=0705.810-0717.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1793 | X=0108.290-0169.410 | Y=0072.500-0083.740 | thông ≤500m.
P=1793 | X=0108.290-0322.520 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1793 | X=0108.290-0329.720 | Y=0101.780-0113.020 | Đường tỉnh 768 đoạn từ Giáp ranh phường Trảng
P=1793 | X=0108.290-0339.650 | Y=0113.300-0124.540 | Dài đến Cầu Thủ Biên có hiện trạng là đường nhựa,
P=1793 | X=0108.290-0182.370 | Y=0124.850-0136.090 | bê tông xi măng:
P=1793 | X=0096.290-0339.840 | Y=0141.370-0153.610 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1793 | X=0380.780-0405.830 | Y=0141.370-0150.690 | 1.300
P=1793 | X=0450.170-0466.810 | Y=0141.370-0150.690 | 910
