TABLE=055 | AREA=Xã Phú Lý | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1820-1842 | LINES=1539 | HEADING=55. Xã Phú Lý ---
P=1820 | X=0090.020-0155.340 | Y=0283.740-0293.060 | 55. Xã Phú Lý
P=1820 | X=0469.850-0519.510 | Y=0299.620-0310.860 | Giá đất cơ
P=1820 | X=0478.250-0511.070 | Y=0313.020-0322.340 | sở sản
P=1820 | X=0475.370-0513.930 | Y=0324.540-0333.860 | xuất phi
P=1820 | X=0482.330-0506.980 | Y=0336.060-0345.380 | nông
P=1820 | X=0419.690-0453.770 | Y=0339.700-0350.940 | Giá đất
P=1820 | X=0111.650-0188.340 | Y=0345.460-0356.700 | Tên đường giao
P=1820 | X=0471.290-0518.190 | Y=0347.340-0356.660 | nghiệp và
P=1820 | X=0204.550-0249.860 | Y=0351.220-0362.460 | Điểm đầu
P=1820 | X=0279.940-0327.880 | Y=0351.220-0362.460 | Điểm cuối
P=1820 | X=0353.880-0466.170 | Y=0351.220-0362.460 | Giá đất ở thương mại,
P=1820 | X=0092.900-0105.300 | Y=0353.100-0362.420 | TT
P=1820 | X=0479.210-0510.050 | Y=0356.980-0368.220 | đất sử
P=1820 | X=0136.130-0164.100 | Y=0358.860-0368.180 | thông
P=1820 | X=0419.210-0454.400 | Y=0364.620-0373.940 | dịch vụ
P=1820 | X=0472.010-0517.050 | Y=0370.400-0379.720 | dụng cho
P=1820 | X=0470.330-0518.750 | Y=0380.040-0391.280 | hoạt động
P=1820 | X=0476.810-0512.470 | Y=0393.440-0402.760 | khoáng
P=1820 | X=0485.950-0503.150 | Y=0404.960-0414.280 | sản
P=1820 | X=0192.070-0249.540 | Y=0422.960-0432.280 | Giáp ranh xã
P=1820 | X=0096.290-0178.700 | Y=0426.840-0438.080 | 1 Đường tỉnh 761
P=1820 | X=0262.660-0322.760 | Y=0428.720-0438.040 | Cầu suối Kóp
P=1820 | X=0381.260-0406.310 | Y=0428.720-0438.040 | 1.200
P=1820 | X=0450.410-0467.050 | Y=0428.720-0438.040 | 840
P=1820 | X=0505.390-0522.030 | Y=0428.720-0438.040 | 720
P=1820 | X=0192.070-0219.030 | Y=0434.480-0443.800 | Trị An
P=1820 | X=0108.530-0322.760 | Y=0450.380-0461.620 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1820 | X=0108.530-0324.930 | Y=0461.900-0473.140 | Đường tỉnh 761 đoạn từ Giáp ranh xã Trị An đến
P=1820 | X=0108.530-0337.640 | Y=0473.420-0484.660 | Cầu suối Kóp có hiện trạng là đường nhựa, bê tông
P=1820 | X=0108.530-0146.360 | Y=0484.940-0496.180 | xi măng:
P=1820 | X=0096.290-0101.890 | Y=0492.820-0502.140 | 2
P=1820 | X=0389.420-0406.060 | Y=0492.820-0502.140 | 500
P=1820 | X=0450.410-0467.050 | Y=0492.820-0502.140 | 350
P=1820 | X=0505.390-0522.030 | Y=0492.820-0502.140 | 300
P=1820 | X=0108.530-0339.640 | Y=0502.220-0513.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1820 | X=0108.530-0321.780 | Y=0519.740-0530.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1820 | X=0108.530-0169.650 | Y=0531.260-0542.500 | thông ≤500m.
P=1820 | X=0108.530-0322.760 | Y=0549.050-0560.290 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1820 | X=0108.530-0324.920 | Y=0560.570-0571.810 | Đường tỉnh 761 đoạn từ Giáp ranh xã Trị An đến
P=1820 | X=0108.530-0337.640 | Y=0572.090-0583.330 | Cầu suối Kóp có hiện trạng là đường nhựa, bê tông
P=1820 | X=0108.530-0146.360 | Y=0583.610-0594.850 | xi măng:
P=1820 | X=0096.290-0340.080 | Y=0600.130-0612.370 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1820 | X=0389.420-0406.060 | Y=0600.130-0609.450 | 430
P=1820 | X=0450.410-0467.050 | Y=0600.130-0609.450 | 300
P=1820 | X=0505.390-0522.030 | Y=0600.130-0609.450 | 260
P=1820 | X=0108.530-0321.780 | Y=0618.670-0629.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1820 | X=0108.530-0243.350 | Y=0630.190-0641.430 | thông từ >500m đến ≤1.000m.
P=1820 | X=0108.530-0331.700 | Y=0647.710-0658.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1820 | X=0108.530-0322.760 | Y=0665.470-0676.710 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1820 | X=0108.530-0324.920 | Y=0676.750-0687.990 | Đường tỉnh 761 đoạn từ Giáp ranh xã Trị An đến
P=1820 | X=0096.290-0101.890 | Y=0684.390-0693.710 | 4
P=1820 | X=0389.420-0406.060 | Y=0684.390-0693.710 | 290
P=1820 | X=0450.410-0467.050 | Y=0684.390-0693.710 | 200
P=1820 | X=0505.390-0522.030 | Y=0684.390-0693.710 | 170
P=1820 | X=0108.530-0337.640 | Y=0688.270-0699.510 | Cầu suối Kóp có hiện trạng là đường nhựa, bê tông
P=1820 | X=0108.530-0146.380 | Y=0701.700-0711.020 | xi măng:
P=1821 | X=0108.530-0321.780 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1821 | X=0108.530-0178.510 | Y=0091.900-0101.220 | thông >1.000m.
P=1821 | X=0108.530-0332.170 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1821 | X=0108.530-0341.240 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1821 | X=0108.530-0343.160 | Y=0136.850-0148.090 | và thông ra Đường tỉnh 761 đoạn từ Giáp ranh xã Trị
P=1821 | X=0108.530-0336.050 | Y=0148.370-0159.610 | An đến Cầu suối Kóp có hiện trạng là đường nhựa,
P=1821 | X=0108.530-0182.610 | Y=0159.650-0170.890 | bê tông xi măng:
P=1821 | X=0096.290-0101.890 | Y=0167.530-0176.850 | 5
P=1821 | X=0389.420-0406.060 | Y=0167.530-0176.850 | 450
P=1821 | X=0450.410-0467.050 | Y=0167.530-0176.850 | 320
P=1821 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 270
P=1821 | X=0108.530-0339.610 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1821 | X=0108.530-0321.780 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1821 | X=0108.530-0169.650 | Y=0206.230-0217.470 | thông ≤500m.
P=1821 | X=0108.530-0341.240 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1821 | X=0108.530-0343.160 | Y=0235.510-0246.750 | và thông ra Đường tỉnh 761 đoạn từ Giáp ranh xã Trị
P=1821 | X=0108.530-0336.050 | Y=0247.030-0258.270 | An đến Cầu suối Kóp có hiện trạng là đường nhựa,
P=1821 | X=0108.530-0182.610 | Y=0258.550-0269.790 | bê tông xi măng:
P=1821 | X=0096.290-0340.080 | Y=0275.070-0287.310 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1821 | X=0389.420-0406.060 | Y=0275.070-0284.390 | 390
P=1821 | X=0450.410-0467.050 | Y=0275.070-0284.390 | 270
P=1821 | X=0505.390-0522.030 | Y=0275.070-0284.390 | 230
P=1821 | X=0108.530-0321.780 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1821 | X=0108.530-0243.350 | Y=0305.140-0316.380 | thông từ >500m đến ≤1.000m.
P=1821 | X=0108.530-0331.700 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1821 | X=0108.530-0341.240 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1821 | X=0108.530-0343.160 | Y=0351.700-0362.940 | và thông ra Đường tỉnh 761 đoạn từ Giáp ranh xã Trị
P=1821 | X=0108.530-0336.050 | Y=0363.220-0374.460 | An đến Cầu suối Kóp có hiện trạng là đường nhựa,
P=1821 | X=0108.530-0182.610 | Y=0374.760-0386.000 | bê tông xi măng:
P=1821 | X=0096.290-0101.890 | Y=0382.640-0391.960 | 7
P=1821 | X=0389.420-0406.060 | Y=0382.640-0391.960 | 260
P=1821 | X=0450.410-0467.050 | Y=0382.640-0391.960 | 180
P=1821 | X=0505.390-0522.030 | Y=0382.640-0391.960 | 160
P=1821 | X=0108.530-0321.780 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1821 | X=0108.530-0178.510 | Y=0405.680-0415.000 | thông >1.000m.
P=1821 | X=0108.530-0332.170 | Y=0421.320-0432.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1821 | X=0096.290-0178.700 | Y=0439.080-0450.320 | 8 Đường tỉnh 761
P=1821 | X=0192.070-0252.160 | Y=0440.960-0450.280 | Cầu suối Kóp
P=1821 | X=0262.660-0332.280 | Y=0440.960-0450.280 | Hết chợ Phú Lý
P=1821 | X=0381.260-0406.310 | Y=0440.960-0450.280 | 1.400
P=1821 | X=0450.410-0467.050 | Y=0440.960-0450.280 | 980
P=1821 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 840
P=1821 | X=0108.530-0322.760 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1821 | X=0108.530-0336.490 | Y=0468.380-0479.620 | Đường tỉnh 761 đoạn từ Cầu suối Kóp đến Hết chợ
P=1821 | X=0108.530-0318.650 | Y=0479.900-0491.140 | Phú Lý có hiện trạng là đường nhựa, bê tông xi
P=1821 | X=0108.530-0136.530 | Y=0491.420-0502.660 | măng:
