TABLE=056 | AREA=Phường Bình Phước | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1842-1927 | LINES=8932 | HEADING=56. Phường Bình Phước ---
P=1842 | X=0090.020-0206.800 | Y=0362.980-0374.220 | 56. Phường Bình Phước
P=1842 | X=0288.580-0349.240 | Y=0381.000-0392.240 | Đoạn đường
P=1842 | X=0466.730-0516.390 | Y=0381.000-0392.240 | Giá đất cơ
P=1842 | X=0463.370-0519.540 | Y=0394.400-0403.720 | sở sản xuất
P=1842 | X=0421.610-0512.690 | Y=0404.040-0415.280 | Giá đất phi nông
P=1842 | X=0392.780-0515.070 | Y=0415.560-0426.800 | Giá thương nghiệp và
P=1842 | X=0126.290-0233.460 | Y=0421.320-0432.560 | Tên đường giao thông
P=1842 | X=0092.180-0104.580 | Y=0423.200-0432.520 | TT
P=1842 | X=0388.460-0520.660 | Y=0427.080-0438.320 | đất ở mại, đất sử dụng
P=1842 | X=0263.140-0308.440 | Y=0430.440-0441.680 | Điểm đầu
P=1842 | X=0327.960-0375.900 | Y=0430.440-0441.680 | Điểm cuối
P=1842 | X=0421.130-0512.580 | Y=0440.480-0449.800 | dịch vụ cho hoạt
P=1842 | X=0479.210-0503.860 | Y=0450.140-0461.380 | động
P=1842 | X=0463.850-0519.470 | Y=0463.540-0472.860 | khoáng sản
P=1842 | X=0252.820-0377.500 | Y=0479.900-0491.140 | Ngã tư Đồng Đường Đồng
P=1842 | X=0095.570-0190.230 | Y=0485.660-0496.900 | 1 Đường Quốc lộ 14
P=1842 | X=0386.300-0416.870 | Y=0487.540-0496.860 | 43.000
P=1842 | X=0429.770-0460.340 | Y=0487.540-0496.860 | 30.100
P=1842 | X=0491.710-0522.280 | Y=0487.540-0496.860 | 25.800
P=1842 | X=0252.820-0272.590 | Y=0493.300-0502.620 | Xoài
P=1842 | X=0319.080-0340.280 | Y=0493.300-0502.620 | Khởi
P=1842 | X=0252.820-0364.770 | Y=0509.420-0520.660 | Đường Đồng Đường Lê
P=1842 | X=0095.570-0190.230 | Y=0515.180-0526.420 | 2 Đường Quốc lộ 14
P=1842 | X=0386.300-0416.870 | Y=0517.060-0526.380 | 38.500
P=1842 | X=0429.770-0460.340 | Y=0517.060-0526.380 | 27.000
P=1842 | X=0491.710-0522.280 | Y=0517.060-0526.380 | 23.100
P=1842 | X=0252.820-0274.020 | Y=0522.820-0532.140 | Khởi
P=1842 | X=0319.080-0342.920 | Y=0522.820-0532.140 | Duẩn
P=1842 | X=0319.080-0350.840 | Y=0538.970-0550.210 | Đường
P=1842 | X=0252.820-0298.510 | Y=0544.490-0555.730 | Đường Lê
P=1842 | X=0095.570-0190.230 | Y=0550.250-0561.490 | 3 Đường Quốc lộ 14
P=1842 | X=0319.080-0374.120 | Y=0550.250-0561.490 | Nguyễn Văn
P=1842 | X=0386.300-0416.870 | Y=0552.130-0561.450 | 29.400
P=1842 | X=0429.770-0460.340 | Y=0552.130-0561.450 | 20.600
P=1842 | X=0491.710-0522.280 | Y=0552.130-0561.450 | 17.600
P=1842 | X=0252.820-0276.660 | Y=0557.890-0567.210 | Duẩn
P=1842 | X=0319.080-0338.120 | Y=0563.650-0572.970 | Linh
P=1842 | X=0252.820-0284.580 | Y=0579.770-0591.010 | Đường
P=1842 | X=0319.080-0363.080 | Y=0581.650-0590.970 | Giáp ranh
P=1842 | X=0095.570-0190.230 | Y=0591.290-0602.530 | 4 Đường Quốc lộ 14
P=1842 | X=0252.820-0307.860 | Y=0591.290-0602.530 | Nguyễn Văn
P=1842 | X=0319.080-0416.870 | Y=0591.290-0602.530 | phường Đồng 23.800
P=1842 | X=0429.770-0460.340 | Y=0593.170-0602.490 | 16.700
P=1842 | X=0491.710-0522.280 | Y=0593.170-0602.490 | 14.300
P=1842 | X=0252.820-0271.860 | Y=0604.690-0614.010 | Linh
P=1842 | X=0319.080-0338.850 | Y=0604.690-0614.010 | Xoài
P=1842 | X=0319.080-0376.550 | Y=0620.830-0632.070 | Ngã tư Đồng
P=1842 | X=0319.080-0371.980 | Y=0632.350-0643.590 | Xoài hướng
P=1842 | X=0319.080-0369.830 | Y=0643.870-0655.110 | về xã Đồng
P=1842 | X=0252.820-0310.290 | Y=0649.630-0660.870 | Ngã tư Đồng
P=1842 | X=0095.570-0190.230 | Y=0655.390-0666.630 | 5 Đường Quốc lộ 14
P=1842 | X=0319.080-0416.870 | Y=0655.390-0666.630 | Tiến (cũ) (tính 38.500
P=1842 | X=0429.770-0460.340 | Y=0657.270-0666.590 | 27.000
P=1842 | X=0491.710-0522.280 | Y=0657.270-0666.590 | 23.100
P=1842 | X=0252.820-0272.590 | Y=0663.030-0672.350 | Xoài
P=1842 | X=0319.080-0377.750 | Y=0666.910-0678.150 | từ tim đường
P=1842 | X=0319.080-0381.580 | Y=0678.430-0689.670 | Phú Riềng Đỏ
P=1842 | X=0319.080-0350.730 | Y=0691.830-0701.150 | + 65m)
P=1842 | X=0095.570-0190.230 | Y=0707.970-0719.210 | 6 Đường Quốc lộ 14
P=1842 | X=0252.820-0350.840 | Y=0707.970-0719.210 | Ngã tư Đồng Đường
P=1842 | X=0386.300-0416.870 | Y=0709.860-0719.180 | 26.600
P=1842 | X=0429.770-0460.340 | Y=0709.860-0719.180 | 18.600
P=1842 | X=0491.710-0522.280 | Y=0709.860-0719.180 | 16.000
P=1843 | X=0252.820-0374.630 | Y=0072.740-0083.980 | Xoài hướng Nguyễn Huệ
P=1843 | X=0252.820-0303.570 | Y=0084.260-0095.500 | về xã Đồng
P=1843 | X=0252.820-0315.290 | Y=0095.780-0107.020 | Tiến (cũ) (tính
P=1843 | X=0252.820-0311.490 | Y=0107.300-0118.540 | từ tim đường
P=1843 | X=0252.820-0315.320 | Y=0118.850-0130.090 | Phú Riềng Đỏ
P=1843 | X=0252.820-0284.470 | Y=0132.250-0141.570 | + 65m)
P=1843 | X=0319.080-0376.440 | Y=0150.250-0159.570 | Hết ranh quy
P=1843 | X=0252.820-0284.580 | Y=0154.130-0165.370 | Đường
P=1843 | X=0095.570-0190.230 | Y=0159.650-0170.890 | 7 Đường Quốc lộ 14
P=1843 | X=0319.080-0416.870 | Y=0159.650-0170.890 | hoạch đường 23.200
P=1843 | X=0429.770-0460.340 | Y=0161.530-0170.850 | 16.200
P=1843 | X=0491.710-0522.280 | Y=0161.530-0170.850 | 13.900
P=1843 | X=0252.820-0308.370 | Y=0167.290-0176.610 | Nguyễn Huệ
P=1843 | X=0319.080-0337.880 | Y=0173.050-0182.370 | số 2
P=1843 | X=0252.820-0380.840 | Y=0191.050-0200.370 | Hết ranh quy Cầu số 2 giáp
P=1843 | X=0095.570-0190.230 | Y=0200.710-0211.950 | 8 Đường Quốc lộ 14
P=1843 | X=0252.820-0369.100 | Y=0200.710-0211.950 | hoạch đường ranh huyện
