TABLE=059 | AREA=Phường Chơn Thành | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1952-1971 | LINES=2295 | HEADING=59. Phường Chơn Thành ---
P=1952 | X=0090.020-0208.230 | Y=0513.020-0524.260 | 59. Phường Chơn Thành
P=1952 | X=0254.020-0314.680 | Y=0531.020-0542.260 | Đoạn đường
P=1952 | X=0457.130-0522.160 | Y=0531.020-0542.260 | Giá đất cơ sở
P=1952 | X=0460.250-0518.740 | Y=0544.450-0553.770 | sản xuất phi
P=1952 | X=0417.500-0451.610 | Y=0548.330-0559.570 | Giá đất
P=1952 | X=0459.530-0519.710 | Y=0555.970-0565.290 | nông nghiệp
P=1952 | X=0109.250-0185.940 | Y=0559.850-0571.090 | Tên đường giao
P=1952 | X=0388.220-0452.430 | Y=0559.850-0571.090 | Giá thương
P=1952 | X=0467.210-0511.970 | Y=0565.610-0576.850 | và đất sử
P=1952 | X=0092.180-0104.580 | Y=0567.490-0576.810 | TT
P=1952 | X=0383.900-0456.340 | Y=0571.370-0582.610 | đất ở mại, dịch
P=1952 | X=0133.730-0161.700 | Y=0573.250-0582.570 | thông
P=1952 | X=0214.630-0259.940 | Y=0574.730-0585.970 | Điểm đầu
P=1952 | X=0309.480-0357.420 | Y=0574.730-0585.970 | Điểm cuối
P=1952 | X=0466.970-0511.990 | Y=0579.010-0588.330 | dụng cho
P=1952 | X=0428.570-0440.250 | Y=0584.770-0594.090 | vụ
P=1952 | X=0465.290-0513.710 | Y=0588.650-0599.890 | hoạt động
P=1952 | X=0461.930-0517.550 | Y=0602.050-0611.370 | khoáng sản
P=1952 | X=0286.420-0360.640 | Y=0618.430-0629.670 | Phía Đông: Giáp
P=1952 | X=0286.420-0372.780 | Y=0629.950-0641.190 | Đường bê tông Hết
P=1952 | X=0286.420-0376.630 | Y=0641.470-0652.710 | ranh thửa đất số 42,
P=1952 | X=0107.330-0180.860 | Y=0647.230-0658.470 | Đường 02 tháng
P=1952 | X=0286.420-0359.640 | Y=0652.750-0663.990 | tờ bản đồ số 84)
P=1952 | X=0095.570-0278.290 | Y=0658.510-0669.750 | 1 4 (Đường Quốc lộ Ngã tư Chơn Thành
P=1952 | X=0381.740-0412.310 | Y=0660.390-0669.710 | 20.900
P=1952 | X=0426.170-0456.740 | Y=0660.390-0669.710 | 14.600
P=1952 | X=0491.710-0522.280 | Y=0660.390-0669.710 | 12.500
P=1952 | X=0286.420-0353.420 | Y=0666.150-0675.470 | Phía Tây: Giáp
P=1952 | X=0107.330-0121.730 | Y=0671.910-0681.230 | 13)
P=1952 | X=0286.420-0376.140 | Y=0675.790-0687.030 | đường bê tông ((hết
P=1952 | X=0286.420-0376.630 | Y=0687.310-0698.550 | ranh thửa đất số 40,
P=1952 | X=0286.420-0359.640 | Y=0698.830-0710.070 | tờ bản đồ số 84)
P=1953 | X=0188.710-0262.930 | Y=0078.740-0089.980 | Phía Đông: Giáp
P=1953 | X=0188.710-0276.740 | Y=0090.260-0101.500 | Đường bê tông (hết
P=1953 | X=0107.330-0372.690 | Y=0101.780-0113.020 | Đường 02 tháng ranh đất bà Nguyễn Ngã tư Đường Ngô
P=1953 | X=0095.570-0412.310 | Y=0113.300-0124.540 | 2 4 (Đường Quốc lộ Thị Riêng) Phía Tây: Gia Tự (Đường số 14.400
P=1953 | X=0426.170-0456.740 | Y=0115.180-0124.500 | 10.100
P=1953 | X=0497.230-0522.280 | Y=0115.180-0124.500 | 8.600
P=1953 | X=0188.710-0295.300 | Y=0124.850-0136.090 | Giáp Đường bê tông 3)
P=1953 | X=0107.330-0121.730 | Y=0126.730-0136.050 | 13)
P=1953 | X=0188.710-0256.260 | Y=0136.370-0147.610 | hết ranh đất bà
P=1953 | X=0188.710-0258.900 | Y=0149.530-0158.850 | Nguyễn Thị Mòi
P=1953 | X=0107.330-0180.860 | Y=0165.650-0176.890 | Đường 02 tháng
P=1953 | X=0188.710-0275.640 | Y=0171.410-0182.650 | Đường Ngô Gia Tự
P=1953 | X=0286.420-0362.130 | Y=0171.410-0182.650 | Đường Lạc Long
P=1953 | X=0095.570-0188.070 | Y=0177.170-0188.410 | 3 4 (Đường Quốc lộ
P=1953 | X=0387.260-0412.310 | Y=0179.050-0188.370 | 9.600
P=1953 | X=0431.690-0456.740 | Y=0179.050-0188.370 | 6.700
P=1953 | X=0497.230-0522.280 | Y=0179.050-0188.370 | 5.800
P=1953 | X=0188.710-0248.740 | Y=0182.930-0194.170 | (Đường số 3)
P=1953 | X=0286.420-0373.820 | Y=0182.930-0194.170 | Quân (Đường số 7)
P=1953 | X=0107.330-0121.730 | Y=0190.570-0199.890 | 13)
P=1953 | X=0107.330-0180.860 | Y=0206.710-0217.950 | Đường 02 tháng
P=1953 | X=0188.710-0264.430 | Y=0212.470-0223.710 | Đường Lạc Long
P=1953 | X=0286.420-0355.400 | Y=0212.470-0223.710 | Đường Nguyễn
P=1953 | X=0095.570-0188.070 | Y=0218.230-0229.470 | 4 4 (Đường Quốc lộ
P=1953 | X=0387.260-0412.310 | Y=0220.110-0229.430 | 7.200
P=1953 | X=0431.690-0456.740 | Y=0220.110-0229.430 | 5.000
P=1953 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 4.300
P=1953 | X=0188.710-0276.100 | Y=0223.990-0235.230 | Quân (Đường số 7)
P=1953 | X=0286.420-0336.910 | Y=0225.870-0235.190 | Công Hoan
P=1953 | X=0107.330-0121.730 | Y=0231.630-0240.950 | 13)
P=1953 | X=0107.330-0180.860 | Y=0247.750-0258.990 | Đường 02 tháng
P=1953 | X=0286.420-0377.720 | Y=0247.750-0258.990 | Đường Phùng Hưng
P=1953 | X=0188.710-0284.350 | Y=0253.510-0264.750 | Đường Nguyễn Công
P=1953 | X=0095.570-0188.070 | Y=0259.270-0270.510 | 5 4 (Đường Quốc lộ
P=1953 | X=0286.420-0412.310 | Y=0261.150-0270.470 | (Ngã ba tổ 9-10, khu 6.400
P=1953 | X=0431.690-0456.740 | Y=0261.150-0270.470 | 4.500
P=1953 | X=0497.230-0522.280 | Y=0261.150-0270.470 | 3.800
P=1953 | X=0188.710-0212.570 | Y=0266.910-0276.230 | Hoan
P=1953 | X=0107.330-0121.730 | Y=0272.670-0281.990 | 13)
P=1953 | X=0286.420-0320.280 | Y=0272.670-0281.990 | phố 10)
P=1953 | X=0107.330-0279.990 | Y=0288.820-0300.060 | Đường 02 tháng Đường Phùng Hưng
P=1953 | X=0286.420-0368.140 | Y=0294.580-0305.820 | Ranh giới phường
P=1953 | X=0095.570-0280.030 | Y=0300.340-0311.580 | 6 4 (Đường Quốc lộ (Ngã ba tổ 9-10, khu
P=1953 | X=0387.260-0412.310 | Y=0302.220-0311.540 | 6.000
P=1953 | X=0431.690-0456.740 | Y=0302.220-0311.540 | 4.200
P=1953 | X=0497.230-0522.280 | Y=0302.220-0311.540 | 3.600
P=1953 | X=0286.420-0336.170 | Y=0306.100-0317.340 | Minh Hưng
P=1953 | X=0107.330-0121.730 | Y=0313.740-0323.060 | 13)
P=1953 | X=0188.710-0222.550 | Y=0313.740-0323.060 | phố 10)
P=1953 | X=0107.330-0180.860 | Y=0329.860-0341.100 | Đường 02 tháng
P=1953 | X=0095.570-0349.400 | Y=0341.380-0352.620 | 7 4 (Đường Quốc lộ Ngã tư Chơn Thành Cầu Bến Đình
P=1953 | X=0381.740-0412.310 | Y=0343.260-0352.580 | 20.900
P=1953 | X=0426.170-0456.740 | Y=0343.260-0352.580 | 14.600
P=1953 | X=0491.710-0522.280 | Y=0343.260-0352.580 | 12.500
P=1953 | X=0107.330-0121.730 | Y=0354.780-0364.100 | 13)
P=1953 | X=0107.330-0180.860 | Y=0370.920-0382.160 | Đường 02 tháng
P=1953 | X=0286.420-0372.200 | Y=0376.680-0387.920 | Ngã ba đường Phú
P=1953 | X=0095.570-0251.670 | Y=0382.200-0393.440 | 8 4 (Đường Quốc lộ Cầu Bến Đình
P=1953 | X=0381.740-0412.310 | Y=0384.080-0393.400 | 14.400
P=1953 | X=0426.170-0456.740 | Y=0384.080-0393.400 | 10.100
P=1953 | X=0497.230-0522.280 | Y=0384.080-0393.400 | 8.600
P=1953 | X=0286.420-0328.280 | Y=0387.960-0399.200 | Riềng Đỏ
P=1953 | X=0107.330-0121.730 | Y=0395.600-0404.920 | 13)
P=1953 | X=0286.420-0377.730 | Y=0411.720-0422.960 | Phía Tây: Đường bê
P=1953 | X=0286.420-0375.080 | Y=0425.120-0434.440 | tông giáp ranh công
P=1953 | X=0107.330-0180.860 | Y=0429.000-0440.240 | Đường 02 tháng
P=1953 | X=0188.710-0274.500 | Y=0434.760-0446.000 | Ngã ba đường Phú
P=1953 | X=0286.420-0373.340 | Y=0436.640-0445.960 | ty Medivice 3s Phía
P=1953 | X=0095.570-0188.070 | Y=0440.520-0451.760 | 9 4 (Đường Quốc lộ
P=1953 | X=0387.260-0412.310 | Y=0442.400-0451.720 | 9.600
P=1953 | X=0431.690-0456.740 | Y=0442.400-0451.720 | 6.700
P=1953 | X=0497.230-0522.280 | Y=0442.400-0451.720 | 5.800
P=1953 | X=0188.710-0230.580 | Y=0446.280-0457.520 | Riềng Đỏ
P=1953 | X=0286.420-0361.650 | Y=0446.280-0457.520 | Đông: Đường bê
P=1953 | X=0107.330-0121.730 | Y=0453.940-0463.260 | 13)
P=1953 | X=0286.420-0374.360 | Y=0457.820-0469.060 | tông vào văn phòng
P=1953 | X=0286.420-0332.120 | Y=0471.220-0480.540 | Khu phố 7
P=1953 | X=0286.420-0378.220 | Y=0487.340-0498.580 | Hết ranh thửa đất số
P=1953 | X=0188.710-0378.700 | Y=0498.860-0510.100 | Phía Tây: Đường bê 50, tờ bản đồ số 105
P=1953 | X=0188.710-0367.660 | Y=0510.380-0521.620 | tông giáp ranh công (ranh giới phường
P=1953 | X=0107.330-0180.860 | Y=0516.140-0527.380 | Đường 02 tháng
P=1953 | X=0188.710-0379.500 | Y=0521.900-0533.140 | ty Medivice 3s Phía Thành Tâm (cũ)) Hết
P=1953 | X=0092.900-0188.070 | Y=0527.660-0538.900 | 10 4 (Đường Quốc lộ
P=1953 | X=0387.260-0412.310 | Y=0529.540-0538.860 | 6.400
P=1953 | X=0431.690-0456.740 | Y=0529.540-0538.860 | 4.500
P=1953 | X=0497.230-0522.280 | Y=0529.540-0538.860 | 3.500
P=1953 | X=0188.710-0263.950 | Y=0533.450-0544.690 | Đông: Đường bê
P=1953 | X=0286.420-0376.630 | Y=0533.450-0544.690 | ranh thửa đất số 83,
P=1953 | X=0107.330-0121.730 | Y=0541.090-0550.410 | 13)
P=1953 | X=0188.710-0361.880 | Y=0544.970-0556.210 | tông vào Văn phòng tờ bản đồ số 106
P=1953 | X=0286.420-0367.660 | Y=0556.250-0567.490 | (ranh giới phường
P=1953 | X=0188.710-0234.420 | Y=0558.130-0567.450 | Khu phố 7
P=1953 | X=0286.420-0361.030 | Y=0567.770-0579.010 | Thành Tâm (cũ))
P=1953 | X=0107.330-0176.310 | Y=0585.770-0597.010 | Đường Nguyễn
P=1953 | X=0107.330-0179.730 | Y=0597.290-0608.530 | Huệ -Đường ĐT
P=1953 | X=0188.710-0345.300 | Y=0603.050-0614.290 | Ngã tư Chơn Thành Cầu Suối Đôi
P=1953 | X=0092.900-0104.020 | Y=0604.930-0614.250 | 11
P=1953 | X=0381.740-0412.310 | Y=0604.930-0614.250 | 20.900
P=1953 | X=0426.170-0456.740 | Y=0604.930-0614.250 | 14.600
P=1953 | X=0491.710-0522.280 | Y=0604.930-0614.250 | 12.500
P=1953 | X=0107.330-0161.890 | Y=0608.810-0620.050 | 751 (Đường
P=1953 | X=0107.330-0172.610 | Y=0620.350-0631.590 | Quốc lộ 14 cũ)
