TABLE=060 | AREA=Xã Nha Bích | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1971-1976 | LINES=515 | HEADING=60. Xã Nha Bích ---
P=1971 | X=0090.020-0165.260 | Y=0338.460-0347.780 | 60. Xã Nha Bích
P=1971 | X=0245.140-0305.800 | Y=0354.580-0365.820 | Đoạn đường
P=1971 | X=0481.610-0515.710 | Y=0354.580-0365.820 | Giá đất
P=1971 | X=0484.510-0512.790 | Y=0366.120-0377.360 | cơ sở
P=1971 | X=0478.250-0519.060 | Y=0379.520-0388.840 | sản xuất
P=1971 | X=0477.530-0519.890 | Y=0391.040-0400.360 | phi nông
P=1971 | X=0439.850-0473.920 | Y=0394.920-0406.160 | Giá đất
P=1971 | X=0111.170-0129.080 | Y=0396.800-0406.120 | Tên
P=1971 | X=0475.370-0522.270 | Y=0402.560-0411.880 | nghiệp và
P=1971 | X=0103.730-0136.530 | Y=0406.440-0417.680 | đường
P=1971 | X=0417.500-0475.020 | Y=0406.440-0417.680 | Giá thương
P=1971 | X=0483.290-0514.130 | Y=0411.960-0423.200 | đất sử
P=1971 | X=0090.020-0102.420 | Y=0413.840-0423.160 | TT
P=1971 | X=0413.180-0466.890 | Y=0417.720-0428.960 | đất ở mại,
P=1971 | X=0109.970-0130.750 | Y=0419.600-0428.920 | giao
P=1971 | X=0148.610-0193.910 | Y=0421.080-0432.320 | Điểm đầu
P=1971 | X=0284.740-0332.680 | Y=0421.080-0432.320 | Điểm cuối
P=1971 | X=0476.090-0521.130 | Y=0425.360-0434.680 | dụng cho
P=1971 | X=0106.370-0134.340 | Y=0431.120-0440.440 | thông
P=1971 | X=0439.370-0474.560 | Y=0431.120-0440.440 | dịch vụ
P=1971 | X=0488.110-0509.470 | Y=0436.880-0446.200 | hoạt
P=1971 | X=0486.430-0511.060 | Y=0446.520-0457.760 | động
P=1971 | X=0480.890-0516.550 | Y=0459.940-0469.260 | khoáng
P=1971 | X=0490.030-0507.230 | Y=0471.460-0480.780 | sản
P=1971 | X=0204.550-0398.140 | Y=0487.820-0499.060 | - Phía Đông Nam: Đường vào Nông trường
P=1971 | X=0102.770-0134.530 | Y=0496.460-0507.700 | Đường
P=1971 | X=0204.550-0278.050 | Y=0501.220-0510.540 | cao su Nha Bích
P=1971 | X=0093.380-0191.910 | Y=0509.860-0519.180 | 1 Quốc lộ Cầu lò gạch
P=1971 | X=0413.180-0438.230 | Y=0509.860-0519.180 | 2.900
P=1971 | X=0449.930-0474.980 | Y=0509.860-0519.180 | 2.000
P=1971 | X=0497.230-0522.280 | Y=0509.860-0519.180 | 1.700
P=1971 | X=0204.550-0401.980 | Y=0516.860-0528.100 | - Phía Tây Bắc: Đường Bê tông (thửa đất số
P=1971 | X=0102.770-0113.890 | Y=0521.380-0530.700 | 14
P=1971 | X=0204.550-0294.580 | Y=0528.380-0539.620 | 07, tờ bản đồ số 41)
P=1971 | X=0138.290-0191.890 | Y=0546.410-0557.650 | - Phía Đông
P=1971 | X=0138.290-0196.710 | Y=0557.930-0569.170 | Nam: Đường
P=1971 | X=0138.290-0181.330 | Y=0571.330-0580.650 | vào Nông
P=1971 | X=0138.290-0404.190 | Y=0580.970-0592.210 | trường cao su - Phía Nam: Đường nhựa (thửa đất số 45, tờ
