TABLE=061 | AREA=Phường Bình Long | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1976-1987 | LINES=1542 | HEADING=61. Phường Bình Long ---
P=1976 | X=0090.020-0198.390 | Y=0464.060-0475.300 | 61. Phường Bình Long
P=1976 | X=0275.140-0335.800 | Y=0482.060-0493.300 | Đoạn đường
P=1976 | X=0472.250-0521.910 | Y=0482.060-0493.300 | Giá đất cơ
P=1976 | X=0480.410-0513.230 | Y=0495.460-0504.780 | sở sản
P=1976 | X=0477.770-0516.330 | Y=0506.980-0516.300 | xuất phi
P=1976 | X=0431.210-0465.290 | Y=0516.620-0527.860 | Giá đất
P=1976 | X=0484.750-0509.370 | Y=0518.500-0527.820 | nông
P=1976 | X=0400.460-0520.350 | Y=0528.140-0539.380 | Giá thương nghiệp và
P=1976 | X=0092.180-0216.160 | Y=0533.930-0545.170 | TT Tên đường giao thông
P=1976 | X=0396.140-0512.450 | Y=0539.690-0550.930 | đất ở mại, dịch đất sử
P=1976 | X=0238.420-0283.700 | Y=0542.810-0554.050 | Điểm đầu
P=1976 | X=0324.120-0372.060 | Y=0542.810-0554.050 | Điểm cuối
P=1976 | X=0442.250-0453.930 | Y=0553.090-0562.410 | vụ
P=1976 | X=0474.410-0519.450 | Y=0553.090-0562.410 | dụng cho
P=1976 | X=0472.730-0521.150 | Y=0562.730-0573.970 | hoạt động
P=1976 | X=0478.970-0514.630 | Y=0575.890-0585.210 | khoáng
P=1976 | X=0488.350-0505.550 | Y=0587.410-0596.730 | sản
P=1976 | X=0303.960-0362.380 | Y=0603.770-0615.010 | Đường Hùng
P=1976 | X=0095.570-0196.950 | Y=0609.530-0620.770 | 1 Đường Lý Tự Trọng
P=1976 | X=0218.470-0281.220 | Y=0609.530-0620.770 | Đường Lê Lợi
P=1976 | X=0394.220-0424.790 | Y=0611.410-0620.730 | 20.000
P=1976 | X=0440.810-0471.380 | Y=0611.410-0620.730 | 14.000
P=1976 | X=0491.710-0522.280 | Y=0611.410-0620.730 | 12.000
P=1976 | X=0303.960-0335.240 | Y=0615.290-0626.530 | Vương
P=1976 | X=0218.470-0287.460 | Y=0633.310-0644.550 | Đường Nguyễn
P=1976 | X=0095.570-0211.360 | Y=0639.070-0650.310 | 2 Đường Trần Hưng Đạo
P=1976 | X=0303.960-0379.630 | Y=0639.070-0650.310 | Đường Trần Phú
P=1976 | X=0394.220-0424.790 | Y=0640.950-0650.270 | 16.200
P=1976 | X=0440.810-0471.380 | Y=0640.950-0650.270 | 11.300
P=1976 | X=0497.230-0522.280 | Y=0640.950-0650.270 | 9.700
P=1976 | X=0218.470-0236.820 | Y=0646.710-0656.030 | Huệ
P=1976 | X=0218.470-0287.460 | Y=0662.830-0674.070 | Đường Nguyễn
P=1976 | X=0303.960-0388.070 | Y=0662.830-0674.070 | Đường Lý Thường
P=1976 | X=0095.570-0211.360 | Y=0668.590-0679.830 | 3 Đường Trần Hưng Đạo
P=1976 | X=0394.220-0424.790 | Y=0670.470-0679.790 | 16.200
P=1976 | X=0440.810-0471.380 | Y=0670.470-0679.790 | 11.300
P=1976 | X=0497.230-0522.280 | Y=0670.470-0679.790 | 9.700
P=1976 | X=0218.470-0236.820 | Y=0676.230-0685.550 | Huệ
P=1976 | X=0303.960-0321.400 | Y=0676.230-0685.550 | Kiệt
P=1976 | X=0218.470-0386.910 | Y=0692.350-0703.590 | Đường Lý Thường Thửa đất số 34, tờ
