TABLE=063 | AREA=Phường Phước Bình | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=1995-2009 | LINES=1927 | HEADING=63. Phường Phước Bình ---
P=1995 | X=0090.020-0206.610 | Y=0401.160-0412.400 | 63. Phường Phước Bình
P=1995 | X=0258.580-0319.240 | Y=0419.160-0430.400 | Đoạn đường
P=1995 | X=0468.650-0518.310 | Y=0419.160-0430.400 | Giá đất cơ
P=1995 | X=0465.290-0521.460 | Y=0432.560-0441.880 | sở sản xuất
P=1995 | X=0425.930-0514.610 | Y=0441.960-0453.200 | Giá đất phi nông
P=1995 | X=0109.010-0185.700 | Y=0453.500-0464.740 | Tên đường giao
P=1995 | X=0397.580-0516.750 | Y=0453.500-0464.740 | Giá thương nghiệp và
P=1995 | X=0092.180-0104.580 | Y=0461.140-0470.460 | TT
P=1995 | X=0393.260-0452.970 | Y=0465.020-0476.260 | đất ở mại,
P=1995 | X=0478.010-0508.850 | Y=0465.020-0476.260 | đất sử
P=1995 | X=0133.490-0161.460 | Y=0466.900-0476.220 | thông
P=1995 | X=0215.110-0260.420 | Y=0468.380-0479.620 | Điềm đầu
P=1995 | X=0314.760-0362.700 | Y=0468.380-0479.620 | Điểm cuối
P=1995 | X=0425.450-0515.830 | Y=0478.420-0487.740 | dịch vụ dụng cho
P=1995 | X=0469.130-0517.550 | Y=0488.060-0499.300 | hoạt động
P=1995 | X=0465.530-0521.150 | Y=0501.460-0510.780 | khoáng sản
P=1995 | X=0287.860-0385.160 | Y=0517.820-0529.060 | Đường Trường Chinh
P=1995 | X=0188.230-0270.660 | Y=0523.580-0534.820 | Giáp ranh phường
P=1995 | X=0107.330-0176.310 | Y=0529.340-0540.580 | Đường Nguyễn
P=1995 | X=0287.860-0381.340 | Y=0529.340-0540.580 | (hết ranh thửa đất số
P=1995 | X=0188.230-0265.620 | Y=0535.130-0546.370 | Phước Long, tỉnh
P=1995 | X=0095.570-0101.170 | Y=0537.010-0546.330 | 1
P=1995 | X=0391.100-0421.670 | Y=0537.010-0546.330 | 14.500
P=1995 | X=0433.610-0464.180 | Y=0537.010-0546.330 | 10.200
P=1995 | X=0497.230-0522.280 | Y=0537.010-0546.330 | 8.700
P=1995 | X=0287.860-0380.140 | Y=0540.890-0552.130 | 364, tờ bản đồ số 31
P=1995 | X=0107.330-0153.010 | Y=0542.770-0552.090 | Tất Thành
P=1995 | X=0188.230-0250.130 | Y=0546.650-0557.890 | Đồng Nai (cũ)
P=1995 | X=0287.860-0388.700 | Y=0552.410-0563.650 | và Quảng Trường 6-1)
P=1995 | X=0287.860-0353.010 | Y=0570.410-0581.650 | Ngã ba đường
P=1995 | X=0188.230-0285.540 | Y=0576.170-0587.410 | Đường Trường Chinh
P=1995 | X=0287.860-0376.940 | Y=0583.810-0593.130 | Nguyễn Tất Thành -
P=1995 | X=0107.330-0176.310 | Y=0587.690-0598.930 | Đường Nguyễn
P=1995 | X=0188.230-0277.380 | Y=0587.690-0598.930 | (từ ranh thửa đất số
P=1995 | X=0287.860-0421.670 | Y=0593.450-0604.690 | Đường 3 Tháng 2 (hết 18.200
P=1995 | X=0095.570-0101.170 | Y=0595.330-0604.650 | 2
P=1995 | X=0433.610-0464.180 | Y=0595.330-0604.650 | 12.700
P=1995 | X=0491.710-0522.280 | Y=0595.330-0604.650 | 10.900
P=1995 | X=0188.230-0282.910 | Y=0599.210-0610.450 | 3, tờ bản đồ số 36 và
P=1995 | X=0107.330-0153.010 | Y=0601.090-0610.410 | Tất Thành
P=1995 | X=0287.860-0383.590 | Y=0604.970-0616.210 | ranh thửa đất số 166,
P=1995 | X=0188.230-0275.620 | Y=0610.490-0621.730 | Quảng Trường 6-1)
P=1995 | X=0287.860-0361.080 | Y=0616.270-0627.510 | tờ bản đồ số 41)
P=1995 | X=0188.230-0253.390 | Y=0634.270-0645.510 | Ngã ba đường
P=1995 | X=0287.860-0353.010 | Y=0634.270-0645.510 | Ngã ba đường
P=1995 | X=0188.230-0277.300 | Y=0647.670-0656.990 | Nguyễn Tất Thành -
P=1995 | X=0287.860-0376.940 | Y=0647.670-0656.990 | Nguyễn Tất Thành -
P=1995 | X=0188.230-0280.200 | Y=0657.310-0668.550 | Đường 3 tháng 2 (từ
P=1995 | X=0287.860-0374.700 | Y=0657.310-0668.550 | Đường Thống Nhất
P=1995 | X=0107.330-0176.310 | Y=0663.070-0674.310 | Đường Nguyễn
P=1995 | X=0188.230-0278.430 | Y=0668.830-0680.070 | ranh thửa đất số 18,
P=1995 | X=0095.570-0101.170 | Y=0670.710-0680.030 | 3
P=1995 | X=0287.860-0373.550 | Y=0670.710-0680.030 | (Ngã ba Vòng xoay
P=1995 | X=0391.100-0421.670 | Y=0670.710-0680.030 | 14.500
P=1995 | X=0433.610-0464.180 | Y=0670.710-0680.030 | 10.100
P=1995 | X=0497.230-0522.280 | Y=0670.710-0680.030 | 8.700
P=1995 | X=0107.330-0153.010 | Y=0676.470-0685.790 | Tất Thành
P=1995 | X=0188.230-0271.870 | Y=0680.350-0691.590 | tờ bản đồ số 14 và
P=1995 | X=0287.860-0384.700 | Y=0680.350-0691.590 | Phước Bình (hết ranh
P=1995 | X=0188.230-0273.360 | Y=0691.870-0703.110 | thửa đất số 168, tờ
P=1995 | X=0287.860-0373.000 | Y=0691.870-0703.110 | thửa đất số 189, tờ
P=1995 | X=0188.230-0249.220 | Y=0703.410-0714.650 | bản đồ số 41)
P=1995 | X=0287.860-0382.790 | Y=0703.410-0714.650 | bản đồ số 14 và thửa
P=1996 | X=0287.860-0377.510 | Y=0072.740-0083.980 | đất số 12, tờ bản đồ
P=1996 | X=0287.860-0324.360 | Y=0086.140-0095.460 | số 141))
