TABLE=066 | AREA=Xã Tân Lợi | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2021-2022 | LINES=170 | HEADING=66. Xã Tân Lợi ---
P=2021 | X=0090.020-0158.370 | Y=0109.900-0119.220 | 66. Xã Tân Lợi
P=2021 | X=0280.420-0341.080 | Y=0126.050-0137.290 | Đoạn đường
P=2021 | X=0468.410-0518.070 | Y=0126.050-0137.290 | Giá đất cơ
P=2021 | X=0465.050-0521.220 | Y=0139.450-0148.770 | sở sản xuất
P=2021 | X=0419.930-0454.010 | Y=0149.090-0160.330 | Giá đất
P=2021 | X=0472.010-0514.370 | Y=0150.970-0160.290 | phi nông
P=2021 | X=0418.700-0516.750 | Y=0160.610-0171.850 | thương nghiệp và
P=2021 | X=0385.820-0402.210 | Y=0162.490-0171.810 | Giá
P=2021 | X=0120.050-0227.220 | Y=0166.370-0177.610 | Tên đường giao thông
P=2021 | X=0090.740-0103.140 | Y=0168.250-0177.570 | TT
P=2021 | X=0381.500-0522.340 | Y=0172.130-0183.370 | đất ở mại, dịch đất sử dụng
P=2021 | X=0254.740-0300.040 | Y=0175.250-0186.490 | Điểm đầu
P=2021 | X=0321.240-0369.180 | Y=0175.250-0186.490 | Điểm cuối
P=2021 | X=0430.970-0442.650 | Y=0185.290-0194.610 | vụ
P=2021 | X=0472.250-0514.260 | Y=0185.290-0194.610 | cho hoạt
P=2021 | X=0480.890-0505.540 | Y=0194.930-0206.170 | động
P=2021 | X=0465.530-0521.150 | Y=0208.350-0217.670 | khoáng sản
P=2021 | X=0243.220-0300.660 | Y=0226.590-0235.910 | Giáp ranh xã
P=2021 | X=0094.100-0171.490 | Y=0230.470-0241.710 | 1 Đường ĐT 753
P=2021 | X=0312.120-0347.190 | Y=0232.350-0241.670 | Cầu Cứ
P=2021 | X=0384.380-0409.430 | Y=0232.350-0241.670 | 1.050
P=2021 | X=0447.050-0463.690 | Y=0232.350-0241.670 | 740
P=2021 | X=0505.390-0522.030 | Y=0232.350-0241.670 | 630
P=2021 | X=0243.220-0289.770 | Y=0236.230-0247.470 | Đồng Tâm
P=2021 | X=0312.120-0367.990 | Y=0254.230-0265.470 | Hết thửa đất
P=2021 | X=0094.100-0171.490 | Y=0265.750-0276.990 | 2 Đường ĐT 753
P=2021 | X=0243.220-0278.290 | Y=0267.630-0276.950 | Cầu Cứ
P=2021 | X=0312.120-0371.260 | Y=0267.630-0276.950 | số 45, tờ bản
P=2021 | X=0384.380-0409.420 | Y=0267.630-0276.950 | 1.100
P=2021 | X=0447.050-0463.690 | Y=0267.630-0276.950 | 770
P=2021 | X=0505.390-0522.030 | Y=0267.630-0276.950 | 660
P=2021 | X=0312.120-0350.360 | Y=0277.270-0288.510 | đồ số 27
P=2021 | X=0243.220-0299.090 | Y=0295.300-0306.540 | Hết thửa đất
P=2021 | X=0312.120-0377.260 | Y=0302.940-0312.260 | Giáp ranh Cầu
P=2021 | X=0094.100-0171.490 | Y=0306.820-0318.060 | 3 Đường ĐT 753
P=2021 | X=0243.220-0302.360 | Y=0308.700-0318.020 | số 45, tờ bản
P=2021 | X=0384.380-0409.430 | Y=0308.700-0318.020 | 1.000
P=2021 | X=0447.050-0463.690 | Y=0308.700-0318.020 | 700
P=2021 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 600
P=2021 | X=0312.120-0341.710 | Y=0312.580-0323.820 | Mã Đà
P=2021 | X=0243.220-0281.460 | Y=0318.340-0329.580 | đồ số 27
P=2021 | X=0104.210-0231.740 | Y=0336.340-0347.580 | Đường Đồng Tiến - Tân Phú
P=2021 | X=0094.100-0099.700 | Y=0343.980-0353.300 | 4
P=2021 | X=0243.220-0293.460 | Y=0343.980-0353.300 | Toàn tuyến
P=2021 | X=0392.540-0409.180 | Y=0343.980-0353.300 | 800
P=2021 | X=0447.050-0463.690 | Y=0343.980-0353.300 | 560
P=2021 | X=0505.390-0522.030 | Y=0343.980-0353.300 | 480
P=2021 | X=0104.210-0121.490 | Y=0347.860-0359.100 | (cũ)
P=2021 | X=0094.100-0293.460 | Y=0365.880-0377.120 | 5 Đường ĐH Tân Hòa - Tân Lợi Toàn tuyến
P=2021 | X=0392.540-0409.180 | Y=0367.760-0377.080 | 720
P=2021 | X=0447.050-0463.690 | Y=0367.760-0377.080 | 500
P=2021 | X=0505.390-0522.030 | Y=0367.760-0377.080 | 430
P=2021 | X=0094.100-0184.950 | Y=0383.880-0395.120 | 6 Đường tuyến số 3
P=2021 | X=0243.220-0293.460 | Y=0385.760-0395.080 | Toàn tuyến
P=2021 | X=0392.540-0409.180 | Y=0385.760-0395.080 | 960
P=2021 | X=0447.050-0463.690 | Y=0385.760-0395.080 | 670
P=2021 | X=0505.390-0522.030 | Y=0385.760-0395.080 | 580
P=2021 | X=0094.100-0184.950 | Y=0401.880-0413.120 | 7 Đường tuyến số 4
P=2021 | X=0243.220-0293.460 | Y=0403.760-0413.080 | Toàn tuyến
P=2021 | X=0392.540-0409.180 | Y=0403.760-0413.080 | 840
P=2021 | X=0447.050-0463.690 | Y=0403.760-0413.080 | 590
P=2021 | X=0505.390-0522.030 | Y=0403.760-0413.080 | 500
P=2021 | X=0104.210-0232.700 | Y=0419.880-0431.120 | Đường giao thông nông thôn
P=2021 | X=0104.210-0226.700 | Y=0431.400-0442.640 | đầu nối trục Đường ĐT 753
P=2021 | X=0094.100-0099.700 | Y=0439.040-0448.360 | 8
P=2021 | X=0243.220-0293.460 | Y=0439.040-0448.360 | Toàn tuyến
P=2021 | X=0392.540-0409.180 | Y=0439.040-0448.360 | 500
P=2021 | X=0447.050-0463.690 | Y=0439.040-0448.360 | 350
P=2021 | X=0505.390-0522.030 | Y=0439.040-0448.360 | 300
