TABLE=070 | AREA=Xã Lộc Thành | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2042-2044 | LINES=321 | HEADING=70. Xã Lộc Thành ---
P=2042 | X=0090.020-0172.500 | Y=0262.350-0271.670 | 70. Xã Lộc Thành
P=2042 | X=0241.300-0301.960 | Y=0278.470-0289.710 | Đoạn đường
P=2042 | X=0430.970-0515.870 | Y=0278.470-0289.710 | Giá đất cơ sở sản
P=2042 | X=0380.540-0414.620 | Y=0284.260-0295.500 | Giá đất
P=2042 | X=0440.570-0506.200 | Y=0291.900-0301.220 | xuất phi nông
P=2042 | X=0113.330-0190.020 | Y=0295.780-0307.020 | Tên đường giao
P=2042 | X=0348.360-0415.470 | Y=0295.780-0307.020 | Giá thương
P=2042 | X=0433.370-0513.650 | Y=0301.540-0312.780 | nghiệp và đất sử
P=2042 | X=0090.020-0102.420 | Y=0303.420-0312.740 | TT
P=2042 | X=0344.040-0419.350 | Y=0307.300-0318.540 | đất ở mại, dịch
P=2042 | X=0137.810-0165.780 | Y=0309.180-0318.500 | thông
P=2042 | X=0210.070-0255.380 | Y=0310.660-0321.900 | Điểm đầu
P=2042 | X=0279.220-0327.160 | Y=0310.660-0321.900 | Điểm cuối
P=2042 | X=0425.210-0521.390 | Y=0313.060-0324.300 | dụng cho hoạt động
P=2042 | X=0391.580-0403.260 | Y=0320.700-0330.020 | vụ
P=2042 | X=0445.610-0501.230 | Y=0326.460-0335.780 | khoáng sản
P=2042 | X=0201.190-0258.660 | Y=0344.700-0354.020 | Giáp ranh thị
P=2042 | X=0201.190-0322.050 | Y=0354.340-0365.580 | xã Bình Long Ngã tư Đồng
P=2042 | X=0093.380-0185.670 | Y=0360.100-0371.340 | 1 Đường Quốc lộ 13
P=2042 | X=0345.720-0370.770 | Y=0361.980-0371.300 | 1.800
P=2042 | X=0399.020-0424.070 | Y=0361.980-0371.300 | 1.300
P=2042 | X=0497.230-0522.280 | Y=0361.980-0371.300 | 1.100
P=2042 | X=0201.190-0284.490 | Y=0365.880-0377.120 | (cũ) (Cầu Cần Tâm
P=2042 | X=0201.190-0215.590 | Y=0379.280-0388.600 | Lê)
P=2042 | X=0201.190-0258.670 | Y=0395.400-0406.640 | Ngã tư Đồng
P=2042 | X=0093.380-0170.050 | Y=0401.160-0412.400 | 2 Đường ĐT 754
P=2042 | X=0264.580-0304.520 | Y=0403.040-0412.360 | Cầu số 1
P=2042 | X=0345.720-0370.770 | Y=0403.040-0412.360 | 1.300
P=2042 | X=0407.180-0423.820 | Y=0403.040-0412.360 | 910
P=2042 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 780
P=2042 | X=0201.190-0221.100 | Y=0408.800-0418.120 | Tâm
P=2042 | X=0264.580-0320.360 | Y=0424.920-0436.160 | Giáp Đường
P=2042 | X=0264.580-0320.330 | Y=0438.080-0447.400 | nhựa khu tái
P=2042 | X=0093.380-0170.050 | Y=0441.960-0453.200 | 3 Đường ĐT 754
P=2042 | X=0201.190-0241.140 | Y=0443.840-0453.160 | Cầu số 1
P=2042 | X=0345.720-0370.770 | Y=0443.840-0453.160 | 1.100
P=2042 | X=0407.180-0423.820 | Y=0443.840-0453.160 | 750
P=2042 | X=0505.390-0522.030 | Y=0443.840-0453.160 | 640
P=2042 | X=0264.580-0331.560 | Y=0447.720-0458.960 | định cư Phước
P=2042 | X=0264.580-0282.910 | Y=0461.140-0470.460 | Hòa
P=2042 | X=0201.190-0256.980 | Y=0477.260-0488.500 | Giáp Đường
P=2042 | X=0201.190-0308.580 | Y=0490.660-0499.980 | nhựa khu tái Giáp ranh
P=2042 | X=0093.380-0170.050 | Y=0494.540-0505.780 | 4 Đường ĐT 754
P=2042 | X=0353.880-0370.520 | Y=0496.420-0505.740 | 610
P=2042 | X=0407.180-0423.820 | Y=0496.420-0505.740 | 430
P=2042 | X=0505.390-0522.030 | Y=0496.420-0505.740 | 370
P=2042 | X=0201.190-0234.810 | Y=0500.300-0511.540 | định cư
P=2042 | X=0264.580-0315.530 | Y=0502.180-0511.500 | Campuchia
P=2042 | X=0201.190-0253.150 | Y=0511.820-0523.060 | Phước Hòa
P=2042 | X=0201.190-0257.920 | Y=0531.700-0541.020 | Ngã ba công
P=2042 | X=0264.580-0327.560 | Y=0537.490-0546.810 | Giáp ranh tỉnh
P=2042 | X=0093.380-0170.050 | Y=0541.370-0552.610 | 5 Đường ĐT 754
P=2042 | X=0201.190-0263.150 | Y=0543.250-0552.570 | Khu di tích Tà
P=2042 | X=0353.880-0370.520 | Y=0543.250-0552.570 | 610
P=2042 | X=0407.180-0423.820 | Y=0543.250-0552.570 | 430
P=2042 | X=0505.390-0522.030 | Y=0543.250-0552.570 | 370
P=2042 | X=0264.580-0304.720 | Y=0549.010-0558.330 | Tây Ninh
P=2042 | X=0201.190-0223.670 | Y=0554.770-0564.090 | Thiết
P=2042 | X=0201.190-0245.460 | Y=0570.890-0582.130 | Thuộc địa
P=2042 | X=0102.770-0192.870 | Y=0576.650-0587.890 | Đường Quốc lộ 14C
P=2042 | X=0093.380-0098.980 | Y=0584.290-0593.610 | 6
P=2042 | X=0201.190-0250.420 | Y=0584.290-0593.610 | bàn xã Lộc
P=2042 | X=0353.880-0370.520 | Y=0584.290-0593.610 | 770
P=2042 | X=0407.180-0423.820 | Y=0584.290-0593.610 | 540
P=2042 | X=0505.390-0522.030 | Y=0584.290-0593.610 | 460
P=2042 | X=0102.770-0180.060 | Y=0588.170-0599.410 | (đường Xuyên Á)
P=2042 | X=0201.190-0246.320 | Y=0593.930-0605.170 | Thịnh (cũ)
P=2042 | X=0201.190-0335.330 | Y=0611.930-0623.170 | Giáp ranh xã Thửa đất số 16,
P=2042 | X=0102.770-0192.870 | Y=0617.710-0628.950 | Đường Quốc lộ 14C
P=2042 | X=0264.580-0337.400 | Y=0623.470-0634.710 | 17; tờ bản đồ số
P=2042 | X=0093.380-0098.980 | Y=0625.350-0634.670 | 7
P=2042 | X=0201.190-0245.460 | Y=0625.350-0634.670 | Lộc Thịnh
P=2042 | X=0353.880-0370.520 | Y=0625.350-0634.670 | 770
P=2042 | X=0407.180-0423.820 | Y=0625.350-0634.670 | 540
P=2042 | X=0505.390-0522.030 | Y=0625.350-0634.670 | 460
P=2042 | X=0102.770-0180.060 | Y=0629.230-0640.470 | (đường Xuyên Á)
P=2042 | X=0201.190-0218.470 | Y=0634.750-0645.990 | (cũ)
P=2042 | X=0264.580-0275.700 | Y=0636.630-0645.950 | 43
P=2042 | X=0201.190-0335.330 | Y=0652.750-0663.990 | Thửa đất số Thửa đất số 90,
P=2042 | X=0102.770-0192.870 | Y=0658.510-0669.750 | Đường Quốc lộ 14C
P=2042 | X=0201.190-0329.730 | Y=0664.270-0675.510 | 16, 17; tờ bản 104; tờ bản đồ
P=2042 | X=0093.380-0098.980 | Y=0666.150-0675.470 | 8
P=2042 | X=0353.880-0370.520 | Y=0666.150-0675.470 | 920
P=2042 | X=0407.180-0423.820 | Y=0666.150-0675.470 | 640
P=2042 | X=0505.390-0522.030 | Y=0666.150-0675.470 | 550
P=2042 | X=0102.770-0180.060 | Y=0670.030-0681.270 | (đường Xuyên Á)
P=2042 | X=0201.190-0239.460 | Y=0675.790-0687.030 | đồ số 43
P=2042 | X=0264.580-0288.900 | Y=0677.670-0686.990 | số 16
P=2042 | X=0102.770-0340.920 | Y=0693.790-0705.030 | Đường Quốc lộ 14C Thửa đất số Giáp ranh xã Lộc
P=2042 | X=0093.380-0098.980 | Y=0701.430-0710.750 | 9
P=2042 | X=0353.880-0370.520 | Y=0701.430-0710.750 | 770
P=2042 | X=0407.180-0423.820 | Y=0701.430-0710.750 | 540
P=2042 | X=0505.390-0522.030 | Y=0701.430-0710.750 | 460
P=2042 | X=0102.770-0180.060 | Y=0705.330-0716.570 | (đường Xuyên Á)
P=2042 | X=0201.190-0309.710 | Y=0705.330-0716.570 | 90, 104; tờ Thiện (cũ)
P=2043 | X=0201.190-0258.900 | Y=0072.740-0083.980 | bản đồ số 16
P=2043 | X=0102.770-0185.110 | Y=0090.740-0101.980 | Đường liên xã Lộc
P=2043 | X=0201.190-0340.920 | Y=0096.500-0107.740 | Ngã tư Đồng Giáp ranh xã Lộc
P=2043 | X=0090.500-0184.690 | Y=0104.140-0113.460 | 10 Thịnh - Lộc Khánh
P=2043 | X=0353.880-0370.520 | Y=0104.140-0113.460 | 990
P=2043 | X=0407.180-0423.820 | Y=0104.140-0113.460 | 700
P=2043 | X=0505.390-0522.030 | Y=0104.140-0113.460 | 600
P=2043 | X=0264.580-0313.540 | Y=0108.020-0119.260 | Khánh (cũ)
P=2043 | X=0201.190-0221.100 | Y=0109.900-0119.220 | Tâm
P=2043 | X=0102.770-0120.050 | Y=0113.780-0125.020 | (cũ)
P=2043 | X=0102.770-0185.110 | Y=0131.810-0143.050 | Đường liên xã Lộc
P=2043 | X=0201.190-0252.340 | Y=0133.690-0143.010 | Ngã ba Lộc
P=2043 | X=0264.580-0340.920 | Y=0139.450-0148.770 | Giáp ranh xã Lộc
P=2043 | X=0090.500-0183.980 | Y=0145.210-0154.530 | 11 Thịnh - Lộc Thành
P=2043 | X=0201.190-0254.740 | Y=0145.210-0154.530 | Thành - Lộc
P=2043 | X=0353.880-0370.520 | Y=0145.210-0154.530 | 410
P=2043 | X=0407.180-0423.820 | Y=0145.210-0154.530 | 280
P=2043 | X=0505.390-0522.030 | Y=0145.210-0154.530 | 240
P=2043 | X=0264.580-0292.990 | Y=0150.970-0160.290 | Thành
P=2043 | X=0102.770-0120.050 | Y=0154.850-0166.090 | (cũ)
P=2043 | X=0201.190-0226.470 | Y=0156.730-0166.050 | Thịnh
P=2043 | X=0102.770-0200.080 | Y=0172.850-0184.090 | Các tuyến đường đấu
P=2043 | X=0201.190-0258.660 | Y=0180.490-0189.810 | Giáp ranh thị
P=2043 | X=0102.770-0200.320 | Y=0184.370-0195.610 | nối trực tiếp ra đường
P=2043 | X=0201.190-0322.050 | Y=0190.130-0201.370 | xã Bình Long Ngã tư Đồng
P=2043 | X=0090.500-0177.010 | Y=0197.530-0206.850 | 12 Quốc lộ 13 trong
P=2043 | X=0353.880-0370.520 | Y=0197.530-0206.850 | 770
P=2043 | X=0407.180-0423.820 | Y=0197.530-0206.850 | 540
P=2043 | X=0505.390-0522.030 | Y=0197.530-0206.850 | 460
P=2043 | X=0201.190-0284.490 | Y=0201.430-0212.670 | (cũ) (Cầu Cần Tám
P=2043 | X=0102.770-0200.970 | Y=0209.070-0218.390 | phạm vi 200m (tính từ
P=2043 | X=0201.190-0215.590 | Y=0214.830-0224.150 | Lê)
P=2043 | X=0102.770-0132.280 | Y=0220.590-0229.910 | HLLG)
P=2043 | X=0102.770-0200.080 | Y=0236.710-0247.950 | Các tuyến đường đấu
P=2043 | X=0102.770-0167.650 | Y=0250.110-0259.430 | nối trực tiếp ra
P=2043 | X=0201.190-0258.670 | Y=0253.990-0265.230 | Ngã tư Đồng
P=2043 | X=0090.500-0195.720 | Y=0259.750-0270.990 | 13 Đường ĐT 754 trong
P=2043 | X=0264.580-0304.520 | Y=0261.630-0270.950 | Cầu số 1
P=2043 | X=0353.880-0370.520 | Y=0261.630-0270.950 | 610
P=2043 | X=0407.180-0423.820 | Y=0261.630-0270.950 | 430
P=2043 | X=0505.390-0522.030 | Y=0261.630-0270.950 | 370
P=2043 | X=0201.190-0221.100 | Y=0267.390-0276.710 | Tâm
P=2043 | X=0102.770-0196.730 | Y=0273.150-0282.470 | phạm vi 200m (tính tí
P=2043 | X=0102.770-0132.280 | Y=0284.700-0294.020 | HLLG)
P=2043 | X=0102.770-0200.080 | Y=0300.820-0312.060 | Các tuyến đường đấu
P=2043 | X=0264.580-0320.360 | Y=0306.580-0317.820 | Giáp Đường
P=2043 | X=0102.770-0167.650 | Y=0314.220-0323.540 | nối trực tiếp ra
P=2043 | X=0264.580-0320.330 | Y=0319.980-0329.300 | nhựa khu tái
P=2043 | X=0090.500-0241.140 | Y=0323.860-0335.100 | 14 Đường ĐT 754 trong Cầu số 1
P=2043 | X=0353.880-0370.520 | Y=0325.740-0335.060 | 570
P=2043 | X=0407.180-0423.820 | Y=0325.740-0335.060 | 400
P=2043 | X=0505.390-0522.030 | Y=0325.740-0335.060 | 340
P=2043 | X=0264.580-0331.560 | Y=0329.620-0340.860 | định cư Phước
P=2043 | X=0102.770-0200.970 | Y=0337.260-0346.580 | phạm vi 200m (tính từ
P=2043 | X=0264.580-0282.910 | Y=0343.020-0352.340 | Hòa
P=2043 | X=0102.770-0132.280 | Y=0348.780-0358.100 | HLLG)
P=2043 | X=0102.770-0200.080 | Y=0364.900-0376.140 | Các tuyến đường đấu
P=2043 | X=0201.190-0256.980 | Y=0370.680-0381.920 | Giáp Đường
P=2043 | X=0102.770-0167.650 | Y=0378.080-0387.400 | nối trực tiếp ra
P=2043 | X=0264.580-0308.580 | Y=0378.080-0387.400 | Giáp ranh
P=2043 | X=0201.190-0256.940 | Y=0383.840-0393.160 | nhựa khu tái
P=2043 | X=0090.500-0195.720 | Y=0387.720-0398.960 | 15 Đường ĐT 754 trong
P=2043 | X=0264.580-0320.280 | Y=0387.720-0398.960 | Vương quốc
P=2043 | X=0353.880-0370.520 | Y=0389.600-0398.920 | 490
P=2043 | X=0407.180-0423.820 | Y=0389.600-0398.920 | 340
P=2043 | X=0505.390-0522.030 | Y=0389.600-0398.920 | 290
P=2043 | X=0201.190-0234.810 | Y=0393.480-0404.720 | định cư
P=2043 | X=0102.770-0200.970 | Y=0401.120-0410.440 | phạm vi 200m (tính từ
P=2043 | X=0264.580-0315.530 | Y=0401.120-0410.440 | Campuchia
P=2043 | X=0201.190-0253.140 | Y=0405.000-0416.240 | Phước Hòa
P=2043 | X=0102.770-0132.280 | Y=0412.640-0421.960 | HLLG)
P=2043 | X=0102.770-0200.080 | Y=0428.760-0440.000 | Các tuyến đường đấu
P=2043 | X=0102.770-0167.650 | Y=0442.160-0451.480 | nối trực tiếp ra
P=2043 | X=0201.190-0257.920 | Y=0442.160-0451.480 | Ngã ba công
P=2043 | X=0264.580-0327.560 | Y=0447.920-0457.240 | Giáp ranh tỉnh
P=2043 | X=0090.500-0263.150 | Y=0451.820-0463.060 | 16 Đường ĐT 754 trong Khu di tích Tà
P=2043 | X=0353.880-0370.520 | Y=0453.700-0463.020 | 490
P=2043 | X=0407.180-0423.820 | Y=0453.700-0463.020 | 340
P=2043 | X=0505.390-0522.030 | Y=0453.700-0463.020 | 290
P=2043 | X=0264.580-0304.720 | Y=0459.460-0468.780 | Tây Ninh
P=2043 | X=0102.770-0223.670 | Y=0465.220-0474.540 | phạm vi 200m (tính từ Thiết
P=2043 | X=0102.770-0132.280 | Y=0476.740-0486.060 | HLLG)
P=2043 | X=0201.190-0259.780 | Y=0492.860-0504.100 | Đường Quốc
P=2043 | X=0264.580-0335.330 | Y=0498.620-0509.860 | Thửa đất sọ 45,
P=2043 | X=0102.770-0185.110 | Y=0504.380-0515.620 | Đường liên xã Lộc
P=2043 | X=0201.190-0230.310 | Y=0506.260-0515.580 | lộ 14C
P=2043 | X=0264.580-0329.730 | Y=0510.140-0521.380 | 151; tờ bản đồ
P=2043 | X=0090.500-0101.650 | Y=0512.020-0521.340 | 17
