TABLE=071 | AREA=Xã Lộc Hưng | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2044-2046 | LINES=287 | HEADING=71. Xã Lộc Hưng ---
P=2044 | X=0090.020-0169.150 | Y=0460.700-0471.940 | 71. Xã Lộc Hưng
P=2044 | X=0259.060-0319.720 | Y=0478.700-0489.940 | Đoạn đường
P=2044 | X=0447.530-0512.560 | Y=0478.700-0489.940 | Giá đất cơ sở
P=2044 | X=0395.420-0429.530 | Y=0489.980-0501.220 | Giá đất
P=2044 | X=0450.650-0509.140 | Y=0491.860-0501.180 | sản xuất phi
P=2044 | X=0365.420-0516.990 | Y=0501.500-0512.740 | Giá thương nông nghiệp và
P=2044 | X=0090.020-0214.240 | Y=0507.260-0518.500 | TT Tên đường giao thông
P=2044 | X=0361.100-0519.210 | Y=0513.020-0524.260 | đất ở mại, dịch đất sử dụng cho
P=2044 | X=0228.820-0274.100 | Y=0516.380-0527.620 | Điểm đầu
P=2044 | X=0297.720-0345.640 | Y=0516.380-0527.620 | Điểm cuối
P=2044 | X=0455.690-0504.110 | Y=0524.540-0535.780 | hoạt động
P=2044 | X=0406.700-0418.380 | Y=0526.420-0535.740 | vụ
P=2044 | X=0452.330-0507.950 | Y=0537.970-0547.290 | khoáng sản
P=2044 | X=0219.190-0276.630 | Y=0556.210-0565.530 | Giáp ranh xã
P=2044 | X=0102.770-0278.340 | Y=0565.850-0577.090 | Đường liên xã Lộc Điền - Lộc Điền - xã
P=2044 | X=0093.380-0098.980 | Y=0573.490-0582.810 | 1
P=2044 | X=0284.020-0343.170 | Y=0573.490-0582.810 | Cầu Sóc Lớn
P=2044 | X=0370.700-0387.340 | Y=0573.490-0582.810 | 920
P=2044 | X=0420.410-0437.050 | Y=0573.490-0582.810 | 640
P=2044 | X=0505.390-0522.030 | Y=0573.490-0582.810 | 550
P=2044 | X=0102.770-0170.680 | Y=0577.370-0588.610 | Lộc Khánh (cũ)
P=2044 | X=0219.190-0267.060 | Y=0579.250-0588.570 | Lộc Khánh
P=2044 | X=0219.190-0236.470 | Y=0588.890-0600.130 | (cũ)
P=2044 | X=0284.020-0339.170 | Y=0606.890-0618.130 | Hết ranh đất
P=2044 | X=0102.770-0214.630 | Y=0612.650-0623.890 | Đường liên xã Lộc Điền -
P=2044 | X=0219.190-0340.290 | Y=0618.430-0629.670 | Cầu Sóc Lớn Trường mẫu
P=2044 | X=0093.380-0098.980 | Y=0620.310-0629.630 | 2
P=2044 | X=0362.540-0387.590 | Y=0620.310-0629.630 | 1.200
P=2044 | X=0420.410-0437.050 | Y=0620.310-0629.630 | 860
P=2044 | X=0505.390-0522.030 | Y=0620.310-0629.630 | 730
P=2044 | X=0102.770-0170.680 | Y=0624.190-0635.430 | Lộc Khánh (cũ)
P=2044 | X=0284.020-0346.320 | Y=0629.950-0641.190 | giáo Tuổi Thơ
P=2044 | X=0284.020-0339.170 | Y=0647.950-0659.190 | Hết ranh đất
P=2044 | X=0219.190-0263.190 | Y=0655.590-0664.910 | Giáp ranh
P=2044 | X=0102.770-0216.870 | Y=0659.470-0670.710 | Đường liên xã Lộc Khánh
P=2044 | X=0284.020-0359.160 | Y=0659.470-0670.710 | Trường Tiểu học
P=2044 | X=0219.190-0275.470 | Y=0665.230-0676.470 | Trường mẫu
P=2044 | X=0093.380-0098.980 | Y=0667.110-0676.430 | 3
P=2044 | X=0362.540-0387.590 | Y=0667.110-0676.430 | 1.200
