TABLE=072 | AREA=Xã Lộc Tấn | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2046-2049 | LINES=352 | HEADING=72. Xã Lộc Tấn ---
P=2046 | X=0090.020-0160.280 | Y=0589.090-0598.410 | 72. Xã Lộc Tấn
P=2046 | X=0240.820-0301.460 | Y=0605.210-0616.450 | Đoạn đường
P=2046 | X=0429.290-0514.190 | Y=0605.210-0616.450 | Giá đất cơ sở sản
P=2046 | X=0376.940-0411.020 | Y=0610.970-0622.210 | Giá đất
P=2046 | X=0438.890-0504.580 | Y=0618.390-0627.710 | xuất phi nông
P=2046 | X=0115.010-0191.700 | Y=0622.270-0633.510 | Tên đường giao
P=2046 | X=0375.740-0411.870 | Y=0622.270-0633.510 | thương
P=2046 | X=0344.040-0360.430 | Y=0624.150-0633.470 | Giá
P=2046 | X=0431.690-0511.970 | Y=0628.030-0639.270 | nghiệp và đất sử
P=2046 | X=0090.020-0102.420 | Y=0629.910-0639.230 | TT
P=2046 | X=0286.660-0519.710 | Y=0633.790-0650.790 | Điểm cuối đất ở mại, dịch dụng cho hoạt động
P=2046 | X=0139.490-0167.460 | Y=0635.670-0644.990 | thông
P=2046 | X=0221.350-0266.660 | Y=0637.150-0648.390 | Điểm đầu
P=2046 | X=0387.980-0399.660 | Y=0647.190-0656.510 | vụ
P=2046 | X=0443.930-0499.550 | Y=0652.950-0662.270 | khoáng sản
P=2046 | X=0102.770-0181.820 | Y=0669.310-0680.550 | Đường Phan Chu
P=2046 | X=0204.790-0281.950 | Y=0669.310-0680.550 | Thuộc địa bàn xã
P=2046 | X=0093.380-0098.980 | Y=0676.950-0686.270 | 1
P=2046 | X=0341.640-0366.690 | Y=0676.950-0686.270 | 2.100
P=2046 | X=0395.900-0420.950 | Y=0676.950-0686.270 | 1.500
P=2046 | X=0497.230-0522.280 | Y=0676.950-0686.270 | 1.300
P=2046 | X=0204.790-0268.900 | Y=0680.830-0692.070 | Lộc Thiện (cũ)
P=2046 | X=0102.770-0125.870 | Y=0682.710-0692.030 | Trinh
P=2046 | X=0093.380-0185.110 | Y=0698.830-0710.070 | 2 Đường liên xã Lộc
P=2046 | X=0204.790-0366.690 | Y=0698.830-0710.070 | Thửa đất số 6, tờ Thửa đất số 2.300
P=2046 | X=0395.900-0420.950 | Y=0700.710-0710.030 | 1.600
P=2046 | X=0497.230-0522.280 | Y=0700.710-0710.030 | 1.400
P=2047 | X=0204.790-0268.020 | Y=0072.740-0083.980 | bản đồ số 106
P=2047 | X=0102.770-0186.310 | Y=0074.620-0083.940 | Thiện - thị trấn Lộc
P=2047 | X=0283.540-0329.240 | Y=0074.620-0083.940 | 12, tờ bản
P=2047 | X=0102.770-0143.560 | Y=0084.260-0095.500 | Ninh (cũ)
P=2047 | X=0283.540-0327.320 | Y=0084.260-0095.500 | đồ số 114
