TABLE=073 | AREA=Xã Lộc Thạnh | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2049-2050 | LINES=151 | HEADING=73. Xã Lộc Thạnh ---
P=2049 | X=0090.020-0172.540 | Y=0349.500-0358.820 | 73. Xã Lộc Thạnh
P=2049 | X=0244.180-0304.840 | Y=0365.640-0376.880 | Đoạn đường
P=2049 | X=0427.130-0512.030 | Y=0365.640-0376.880 | Giá đất cơ sở sản
P=2049 | X=0372.140-0406.220 | Y=0371.400-0382.640 | Giá đất
P=2049 | X=0341.880-0358.270 | Y=0379.040-0388.360 | Giá
P=2049 | X=0418.940-0520.190 | Y=0379.040-0388.360 | xuất phi nông nghiệp
P=2049 | X=0117.890-0194.580 | Y=0382.920-0394.160 | Tên đường giao
P=2049 | X=0371.180-0407.310 | Y=0382.920-0394.160 | thương
P=2049 | X=0342.600-0357.740 | Y=0388.680-0399.920 | đất
P=2049 | X=0423.530-0515.830 | Y=0388.680-0399.920 | và đất sử dụng cho
P=2049 | X=0090.020-0102.420 | Y=0390.560-0399.880 | TT
P=2049 | X=0142.370-0170.340 | Y=0396.320-0405.640 | thông
P=2049 | X=0367.580-0411.190 | Y=0396.320-0405.640 | mại, dịch
P=2049 | X=0217.990-0263.300 | Y=0397.560-0408.800 | Điểm đầu
P=2049 | X=0281.140-0329.080 | Y=0397.560-0408.800 | Điểm cuối
P=2049 | X=0346.440-0353.610 | Y=0399.960-0411.200 | ở
P=2049 | X=0426.170-0512.930 | Y=0399.960-0411.200 | hoạt động khoáng
P=2049 | X=0383.420-0395.100 | Y=0407.600-0416.920 | vụ
P=2049 | X=0460.970-0478.170 | Y=0413.360-0422.680 | sản
P=2049 | X=0210.310-0318.840 | Y=0431.600-0440.920 | Giáp ranh xã Trạm kiểm
P=2049 | X=0093.380-0185.670 | Y=0435.480-0446.720 | 1 Đường Quốc lộ 13
P=2049 | X=0344.280-0360.920 | Y=0437.360-0446.680 | 990
P=2049 | X=0399.980-0416.620 | Y=0437.360-0446.680 | 700
P=2049 | X=0505.390-0522.030 | Y=0437.360-0446.680 | 600
P=2049 | X=0271.540-0326.550 | Y=0441.240-0452.480 | soát Hoa Lư
P=2049 | X=0210.310-0246.660 | Y=0443.120-0452.440 | Lộc Tấn
P=2049 | X=0102.770-0194.710 | Y=0459.260-0470.500 | Đường nhựa vào Ủy
P=2049 | X=0271.540-0326.690 | Y=0459.260-0470.500 | Hết ranh đất
P=2049 | X=0210.310-0268.900 | Y=0465.020-0476.260 | Đường Quốc
P=2049 | X=0093.380-0196.390 | Y=0472.660-0481.980 | 2 ban nhân dân xã Lộc
P=2049 | X=0271.540-0327.320 | Y=0472.660-0481.980 | Trạm y tế xã
P=2049 | X=0344.280-0360.920 | Y=0472.660-0481.980 | 610
P=2049 | X=0399.980-0416.620 | Y=0472.660-0481.980 | 430
P=2049 | X=0505.390-0522.030 | Y=0472.660-0481.980 | 370
P=2049 | X=0210.310-0232.230 | Y=0478.420-0487.740 | lộ 13
P=2049 | X=0102.770-0141.170 | Y=0482.300-0493.540 | Hòa (cũ)
P=2049 | X=0271.540-0288.820 | Y=0482.300-0493.540 | (cũ)
P=2049 | X=0271.540-0326.690 | Y=0500.300-0511.540 | Hết ranh đất
P=2049 | X=0210.310-0256.500 | Y=0506.060-0517.300 | Ngã ba ấp
P=2049 | X=0093.380-0160.690 | Y=0511.820-0523.060 | 3 Đường nhựa
P=2049 | X=0271.540-0323.400 | Y=0513.700-0523.020 | Chợ xã Lộc
P=2049 | X=0344.280-0360.920 | Y=0513.700-0523.020 | 490
P=2049 | X=0399.980-0416.620 | Y=0513.700-0523.020 | 340
P=2049 | X=0505.390-0522.030 | Y=0513.700-0523.020 | 290
P=2049 | X=0210.310-0222.550 | Y=0519.460-0528.780 | 8A
P=2049 | X=0271.540-0309.940 | Y=0523.340-0534.580 | Hòa (cũ)
P=2049 | X=0210.310-0270.980 | Y=0541.370-0552.610 | Giáp ranh đất
P=2049 | X=0271.540-0333.800 | Y=0547.130-0558.370 | Cổng chào ấp
P=2049 | X=0093.380-0160.690 | Y=0552.890-0564.130 | 4 Đường nhựa
P=2049 | X=0210.310-0262.180 | Y=0554.770-0564.090 | Chợ xã Lộc
P=2049 | X=0344.280-0360.920 | Y=0554.770-0564.090 | 490
P=2049 | X=0399.980-0416.620 | Y=0554.770-0564.090 | 340
P=2049 | X=0505.390-0522.030 | Y=0554.770-0564.090 | 290
P=2049 | X=0271.540-0277.140 | Y=0560.530-0569.850 | 7
P=2049 | X=0210.310-0248.710 | Y=0564.410-0575.650 | Hòa (cũ)
