TABLE=080 | AREA=Xã Nghĩa Trung | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2078-2080 | LINES=336 | HEADING=80. Xã Nghĩa Trung ---
P=2078 | X=0090.020-0180.610 | Y=0459.980-0471.220 | 80. Xã Nghĩa Trung
P=2078 | X=0238.900-0299.540 | Y=0477.980-0489.220 | Đoạn đường
P=2078 | X=0454.970-0520.000 | Y=0477.980-0489.220 | Giá đất cơ sở
P=2078 | X=0458.330-0516.820 | Y=0491.380-0500.700 | sản xuất phi
P=2078 | X=0405.500-0439.610 | Y=0501.020-0512.260 | Giá đất
P=2078 | X=0457.610-0517.790 | Y=0502.900-0512.220 | nông nghiệp
P=2078 | X=0112.610-0166.030 | Y=0506.780-0518.020 | Tên đường
P=2078 | X=0369.260-0385.650 | Y=0508.660-0517.980 | Giá
P=2078 | X=0393.020-0510.050 | Y=0512.540-0523.780 | thương mại, và đất sử
P=2078 | X=0090.020-0102.420 | Y=0514.420-0523.740 | TT
P=2078 | X=0364.940-0390.110 | Y=0518.300-0529.540 | đất ở
P=2078 | X=0113.570-0164.820 | Y=0520.180-0529.500 | giao thông
P=2078 | X=0199.990-0245.300 | Y=0521.660-0532.900 | Điểm đầu
P=2078 | X=0291.720-0339.640 | Y=0521.660-0532.900 | Điểm cuối
P=2078 | X=0405.020-0522.180 | Y=0525.940-0535.260 | dịch vụ dụng cho hoạt
P=2078 | X=0456.170-0518.940 | Y=0535.610-0546.850 | động khoáng
P=2078 | X=0478.970-0496.190 | Y=0549.010-0558.330 | sản
P=2078 | X=0102.770-0260.020 | Y=0565.370-0576.610 | Đường Quốc lộ Ranh giữa thôn 8 -
P=2078 | X=0093.380-0098.980 | Y=0573.010-0582.330 | 1
P=2078 | X=0269.380-0339.540 | Y=0573.010-0582.330 | Cầu Pan Toong
P=2078 | X=0367.340-0392.390 | Y=0573.010-0582.330 | 1.400
P=2078 | X=0435.530-0452.170 | Y=0573.010-0582.330 | 950
P=2078 | X=0505.390-0522.030 | Y=0573.010-0582.330 | 810
P=2078 | X=0102.770-0113.890 | Y=0578.770-0588.090 | 14
P=2078 | X=0176.230-0236.340 | Y=0578.770-0588.090 | thôn Bình Lợi
P=2078 | X=0269.380-0336.730 | Y=0596.770-0606.090 | Hết ranh trụ sở
P=2078 | X=0102.770-0171.990 | Y=0600.650-0611.890 | Đường Quốc lộ
P=2078 | X=0269.380-0340.720 | Y=0606.410-0617.650 | UBND xã Nghĩa
P=2078 | X=0093.380-0098.980 | Y=0608.290-0617.610 | 2
P=2078 | X=0176.230-0246.390 | Y=0608.290-0617.610 | Cầu Pan Toong
P=2078 | X=0367.340-0392.390 | Y=0608.290-0617.610 | 2.100
P=2078 | X=0427.370-0452.420 | Y=0608.290-0617.610 | 1.400
P=2078 | X=0497.230-0522.280 | Y=0608.290-0617.610 | 1.200
P=2078 | X=0102.770-0113.890 | Y=0614.050-0623.370 | 14
P=2078 | X=0269.380-0295.620 | Y=0619.830-0629.150 | Trung
P=2078 | X=0176.230-0243.590 | Y=0637.830-0647.150 | Hết ranh trụ sở
P=2078 | X=0269.380-0357.560 | Y=0637.830-0647.150 | Hết ranh dự án Khu
P=2078 | X=0102.770-0171.990 | Y=0641.710-0652.950 | Đường Quốc lộ
P=2078 | X=0176.230-0247.570 | Y=0647.470-0658.710 | UBND xã Nghĩa
P=2078 | X=0269.380-0337.400 | Y=0647.470-0658.710 | dân cư Trường
P=2078 | X=0093.380-0098.980 | Y=0649.350-0658.670 | 3
P=2078 | X=0367.340-0392.390 | Y=0649.350-0658.670 | 3.200
P=2078 | X=0427.370-0452.420 | Y=0649.350-0658.670 | 2.300
P=2078 | X=0497.230-0522.280 | Y=0649.350-0658.670 | 1.900
P=2078 | X=0102.770-0113.890 | Y=0655.110-0664.430 | 14
P=2078 | X=0176.230-0202.470 | Y=0660.630-0669.950 | Trung
P=2078 | X=0269.380-0317.780 | Y=0660.630-0669.950 | Thịnh Phát
P=2078 | X=0176.230-0264.420 | Y=0678.630-0687.950 | Hết ranh dự án Khu
P=2078 | X=0102.770-0171.990 | Y=0682.510-0693.750 | Đường Quốc lộ
P=2078 | X=0176.230-0244.260 | Y=0688.270-0699.510 | dân cư Trường
P=2078 | X=0269.380-0348.450 | Y=0688.270-0699.510 | Ngã ba đường 36
P=2078 | X=0093.380-0098.980 | Y=0690.150-0699.470 | 4
P=2078 | X=0367.340-0392.390 | Y=0690.150-0699.470 | 1.800
P=2078 | X=0427.370-0452.420 | Y=0690.150-0699.470 | 1.300
P=2078 | X=0497.230-0522.280 | Y=0690.150-0699.470 | 1.100
P=2078 | X=0102.770-0113.890 | Y=0695.910-0705.230 | 14
P=2078 | X=0176.230-0224.630 | Y=0701.700-0711.020 | Thịnh Phát
P=2079 | X=0102.770-0171.990 | Y=0078.740-0089.980 | Đường Quốc lộ
P=2079 | X=0176.230-0255.310 | Y=0084.500-0095.740 | Ngã ba đường 36
P=2079 | X=0093.380-0098.980 | Y=0086.380-0095.700 | 5
P=2079 | X=0269.380-0301.630 | Y=0086.380-0095.700 | Cầu 38
P=2079 | X=0367.340-0392.390 | Y=0086.380-0095.700 | 1.400
P=2079 | X=0435.530-0452.170 | Y=0086.380-0095.700 | 950
P=2079 | X=0505.390-0522.030 | Y=0086.380-0095.700 | 810
P=2079 | X=0102.770-0113.890 | Y=0092.140-0101.460 | 14
P=2079 | X=0102.770-0340.540 | Y=0108.260-0119.500 | Đường Quốc lộ Ranh giữa thôn 11 - Hết trụ sở Nông
