TABLE=082 | AREA=Xã Thọ Sơn | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2090-2093 | LINES=396 | HEADING=82. Xã Thọ Sơn ---
P=2090 | X=0090.020-0162.920 | Y=0522.620-0533.860 | 82. Xã Thọ Sơn
P=2090 | X=0233.860-0294.500 | Y=0540.650-0551.890 | Đoạn đường
P=2090 | X=0434.810-0519.710 | Y=0540.650-0551.890 | Giá đất cơ sở sản
P=2090 | X=0389.420-0423.530 | Y=0546.410-0557.650 | Giá đất
P=2090 | X=0444.410-0510.040 | Y=0554.050-0563.370 | xuất phi nông
P=2090 | X=0112.610-0166.030 | Y=0557.930-0569.170 | Tên đường
P=2090 | X=0358.700-0424.590 | Y=0557.930-0569.170 | Giá thương
P=2090 | X=0437.210-0517.490 | Y=0563.690-0574.930 | nghiệp và đất sử
P=2090 | X=0090.020-0102.420 | Y=0565.570-0574.890 | TT
P=2090 | X=0354.380-0428.470 | Y=0569.450-0580.690 | đất ở mại, dịch
P=2090 | X=0113.810-0165.060 | Y=0571.330-0580.650 | giao thông
P=2090 | X=0196.630-0241.940 | Y=0572.570-0583.810 | Điểm đầu
P=2090 | X=0283.540-0331.480 | Y=0572.570-0583.810 | Điểm cuối
P=2090 | X=0442.730-0511.860 | Y=0577.090-0586.410 | dụng cho hoạt
P=2090 | X=0400.700-0412.380 | Y=0582.850-0592.170 | vụ
P=2090 | X=0435.770-0518.740 | Y=0586.730-0597.970 | động khoáng sản
P=2090 | X=0103.010-0349.860 | Y=0604.970-0616.210 | Đường Quốc lộ Ranh giới xã Phú Giáp ranh cây xăng
P=2090 | X=0093.380-0098.980 | Y=0612.370-0621.690 | 1
P=2090 | X=0355.820-0380.870 | Y=0612.370-0621.690 | 1.500
P=2090 | X=0406.940-0431.990 | Y=0612.370-0621.690 | 1.100
P=2090 | X=0505.390-0522.030 | Y=0612.370-0621.690 | 920
P=2090 | X=0176.230-0208.690 | Y=0616.270-0627.510 | Sơn cũ
P=2090 | X=0103.010-0114.130 | Y=0618.150-0627.470 | 14
P=2090 | X=0262.900-0295.320 | Y=0618.150-0627.470 | Duy Kỳ
P=2090 | X=0262.900-0351.560 | Y=0634.270-0645.510 | Hết ranh đất nhà bà
P=2090 | X=0103.010-0238.620 | Y=0645.790-0657.030 | Đường Quốc lộ Giáp ranh cây
P=2090 | X=0262.900-0349.640 | Y=0645.790-0657.030 | Lương (thửa đất số
P=2090 | X=0093.380-0098.980 | Y=0653.430-0662.750 | 2
P=2090 | X=0355.820-0380.870 | Y=0653.430-0662.750 | 1.300
P=2090 | X=0415.100-0431.740 | Y=0653.430-0662.750 | 880
P=2090 | X=0505.390-0522.030 | Y=0653.430-0662.750 | 760
P=2090 | X=0176.230-0233.140 | Y=0657.310-0668.550 | xăng Duy Kỳ
P=2090 | X=0262.900-0335.720 | Y=0657.310-0668.550 | 48, tờ bản đồ số
P=2090 | X=0103.010-0114.130 | Y=0659.190-0668.510 | 14
P=2090 | X=0262.900-0277.300 | Y=0670.710-0680.030 | 95)
P=2090 | X=0103.010-0347.010 | Y=0686.830-0698.070 | Đường Quốc lộ Ranh đất nhà ông Ngã ba đường vào
P=2090 | X=0093.380-0098.980 | Y=0694.470-0703.790 | 3
P=2090 | X=0355.820-0380.870 | Y=0694.470-0703.790 | 1.800
P=2090 | X=0406.940-0431.990 | Y=0694.470-0703.790 | 1.300
P=2090 | X=0497.230-0522.280 | Y=0694.470-0703.790 | 1.100
P=2090 | X=0176.230-0315.070 | Y=0698.350-0709.590 | Nhâm (thửa đất số đập thủy lợi
P=2090 | X=0103.010-0114.130 | Y=0700.230-0709.550 | 14
P=2091 | X=0176.230-0254.580 | Y=0072.740-0083.980 | 172, tờ bản đồ số
P=2091 | X=0176.230-0190.630 | Y=0086.140-0095.460 | 95)
P=2091 | X=0103.010-0347.010 | Y=0102.260-0113.500 | Đường Quốc lộ Ngã ba đường vào Ngã ba đường vào
P=2091 | X=0093.380-0098.980 | Y=0109.900-0119.220 | 4
P=2091 | X=0355.820-0380.870 | Y=0109.900-0119.220 | 2.300
P=2091 | X=0406.940-0431.990 | Y=0109.900-0119.220 | 1.600
P=2091 | X=0497.230-0522.280 | Y=0109.900-0119.220 | 1.400
P=2091 | X=0176.230-0228.410 | Y=0113.780-0125.020 | đập thủy lợi
P=2091 | X=0262.900-0344.840 | Y=0113.780-0125.020 | cổng Nông trường
P=2091 | X=0103.010-0114.130 | Y=0115.660-0124.980 | 14
P=2091 | X=0103.010-0347.400 | Y=0131.810-0143.050 | Đường Quốc lộ Ngã ba đường vào Ranh giới tỉnh Lâm
P=2091 | X=0093.380-0098.980 | Y=0139.450-0148.770 | 5
P=2091 | X=0355.820-0380.870 | Y=0139.450-0148.770 | 1.800
P=2091 | X=0406.940-0431.980 | Y=0139.450-0148.770 | 1.300
P=2091 | X=0497.230-0522.280 | Y=0139.450-0148.770 | 1.100
P=2091 | X=0176.230-0286.740 | Y=0143.330-0154.570 | công Nông trường Đồng
P=2091 | X=0103.010-0114.130 | Y=0145.210-0154.530 | 14
P=2091 | X=0176.230-0254.300 | Y=0163.210-0172.530 | Giáp ranh xã Phú
P=2091 | X=0103.010-0172.230 | Y=0167.090-0178.330 | Đường Quốc lộ
P=2091 | X=0262.900-0344.970 | Y=0167.090-0178.330 | Chợ Thọ Sơn (Km
P=2091 | X=0176.230-0257.690 | Y=0172.850-0184.090 | Sơn cũ (Km 896 +
P=2091 | X=0093.380-0098.980 | Y=0174.730-0184.050 | 6
P=2091 | X=0355.820-0380.870 | Y=0174.730-0184.050 | 1.600
P=2091 | X=0406.940-0431.990 | Y=0174.730-0184.050 | 1.100
P=2091 | X=0505.390-0522.030 | Y=0174.730-0184.050 | 970
P=2091 | X=0103.010-0114.130 | Y=0180.490-0189.810 | 14
P=2091 | X=0262.900-0311.130 | Y=0180.490-0189.810 | 898 + 600)
P=2091 | X=0176.230-0196.150 | Y=0186.250-0195.570 | 400)
P=2091 | X=0103.010-0340.280 | Y=0202.390-0213.630 | Đường Quốc lộ Chợ Thọ Sơn (Km Ngã ba Sơn Hiệp
P=2091 | X=0093.380-0098.980 | Y=0209.790-0219.110 | 7
P=2091 | X=0355.820-0380.870 | Y=0209.790-0219.110 | 2.300
P=2091 | X=0406.940-0431.990 | Y=0209.790-0219.110 | 1.600
P=2091 | X=0497.230-0522.280 | Y=0209.790-0219.110 | 1.400
P=2091 | X=0103.010-0114.130 | Y=0215.550-0224.870 | 14
P=2091 | X=0176.230-0224.460 | Y=0215.550-0224.870 | 898 + 600)
P=2091 | X=0262.900-0332.240 | Y=0215.550-0224.870 | (Km 899 + 800)
P=2091 | X=0262.900-0335.460 | Y=0233.550-0242.870 | Giáp ranh xã Bù
P=2091 | X=0103.010-0253.620 | Y=0237.430-0248.670 | Đường Quốc lộ Ngã ba Sơn Hiệp
P=2091 | X=0262.900-0308.020 | Y=0243.190-0254.430 | Đăng (Km
P=2091 | X=0093.380-0098.980 | Y=0245.070-0254.390 | 8
P=2091 | X=0355.820-0380.870 | Y=0245.070-0254.390 | 1.600
