TABLE=084 | AREA=Xã Bom Bo | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2096-2100 | LINES=476 | HEADING=84. Xã Bom Bo ---
P=2096 | X=0090.020-0160.230 | Y=0256.830-0266.150 | 84. Xã Bom Bo
P=2096 | X=0226.180-0286.820 | Y=0272.950-0284.190 | Đoạn đường
P=2096 | X=0447.530-0512.560 | Y=0272.950-0284.190 | Giá đất cơ sở
P=2096 | X=0402.380-0509.140 | Y=0284.500-0295.740 | Giá đất sản xuất phi
P=2096 | X=0110.930-0128.840 | Y=0286.380-0295.700 | Tên
P=2096 | X=0103.490-0136.290 | Y=0296.020-0307.260 | đường
P=2096 | X=0380.060-0516.990 | Y=0296.020-0307.260 | Giá thương nông nghiệp và
P=2096 | X=0090.020-0102.420 | Y=0303.660-0312.980 | TT
P=2096 | X=0375.740-0519.210 | Y=0307.540-0318.780 | đất ở mại, đất sử dụng cho
P=2096 | X=0109.730-0130.510 | Y=0309.420-0318.740 | giao
P=2096 | X=0179.590-0224.870 | Y=0310.900-0322.140 | Điểm đầu
P=2096 | X=0297.240-0345.160 | Y=0310.900-0322.140 | Điểm cuối
P=2096 | X=0455.690-0504.110 | Y=0319.060-0330.300 | hoạt động
P=2096 | X=0106.130-0134.100 | Y=0320.940-0330.260 | thông
P=2096 | X=0401.900-0437.120 | Y=0320.940-0330.260 | dịch vụ
P=2096 | X=0452.330-0507.950 | Y=0332.460-0341.780 | khoáng sản
P=2096 | X=0102.770-0366.750 | Y=0348.820-0360.060 | Đường Cầu Sông Lấp (giáp ranh xã Thửa đất số 34,124 tờ
P=2096 | X=0093.380-0098.980 | Y=0356.460-0365.780 | 1
P=2096 | X=0383.900-0400.540 | Y=0356.460-0365.780 | 720
P=2096 | X=0420.650-0437.290 | Y=0356.460-0365.780 | 500
P=2096 | X=0505.390-0522.030 | Y=0356.460-0365.780 | 430
P=2096 | X=0102.770-0190.830 | Y=0360.340-0371.580 | ĐT 760 Minh Hưng)
P=2096 | X=0267.220-0324.920 | Y=0360.340-0371.580 | bản đồ số 78
P=2096 | X=0267.220-0364.110 | Y=0378.360-0389.600 | Thửa đất số 54, 48 tờ
P=2096 | X=0102.770-0259.620 | Y=0384.120-0395.360 | Đường Thửa đất số 34, 124 tờ bản
P=2096 | X=0267.220-0349.410 | Y=0389.880-0401.120 | bản đồ số 77 (Nhà
P=2096 | X=0093.380-0098.980 | Y=0391.760-0401.080 | 2
P=2096 | X=0383.900-0400.540 | Y=0391.760-0401.080 | 810
P=2096 | X=0420.650-0437.290 | Y=0391.760-0401.080 | 570
P=2096 | X=0505.390-0522.030 | Y=0391.760-0401.080 | 490
P=2096 | X=0102.770-0176.070 | Y=0395.640-0406.880 | ĐT 760 đồ số 78
P=2096 | X=0267.220-0319.560 | Y=0403.280-0412.600 | Thắng Bền)
P=2096 | X=0267.220-0364.110 | Y=0419.400-0430.640 | Thửa đất số 73, 65 tờ
P=2096 | X=0102.770-0254.100 | Y=0425.160-0436.400 | Đường Thửa đất số 54, 48 tờ bản
P=2096 | X=0267.220-0349.410 | Y=0430.920-0442.160 | bản đồ số 75 (Nhà
P=2096 | X=0093.380-0098.980 | Y=0432.800-0442.120 | 3
P=2096 | X=0375.740-0400.790 | Y=0432.800-0442.120 | 1.600
P=2096 | X=0412.460-0437.510 | Y=0432.800-0442.120 | 1.100
P=2096 | X=0505.390-0522.030 | Y=0432.800-0442.120 | 970
P=2096 | X=0102.770-0176.070 | Y=0436.680-0447.920 | ĐT 760 đồ số 77
P=2096 | X=0267.220-0333.450 | Y=0442.200-0453.440 | Thanh Hương)
P=2096 | X=0102.770-0254.100 | Y=0460.220-0471.460 | Đường Thửa đất số 73, 65 tờ bản
P=2096 | X=0267.220-0352.000 | Y=0465.980-0477.220 | Ngã ba Tình Nghĩa
P=2096 | X=0093.380-0098.980 | Y=0467.860-0477.180 | 4
P=2096 | X=0383.900-0400.540 | Y=0467.860-0477.180 | 900
P=2096 | X=0420.650-0437.290 | Y=0467.860-0477.180 | 630
P=2096 | X=0505.390-0522.030 | Y=0467.860-0477.180 | 540
P=2096 | X=0102.770-0176.070 | Y=0471.740-0482.980 | ĐT 760 đồ số 75
P=2096 | X=0267.220-0369.580 | Y=0489.740-0500.980 | Thửa đất số 57, tờ bản
P=2096 | X=0102.770-0134.530 | Y=0501.260-0512.500 | Đường
P=2096 | X=0267.220-0365.260 | Y=0501.260-0512.500 | đồ số 66; Thửa đất số
P=2096 | X=0137.810-0222.590 | Y=0507.020-0518.260 | Ngã ba Tình Nghĩa
P=2096 | X=0093.380-0098.980 | Y=0508.900-0518.220 | 5
P=2096 | X=0375.740-0400.790 | Y=0508.900-0518.220 | 1.700
P=2096 | X=0412.460-0437.510 | Y=0508.900-0518.220 | 1.200
P=2096 | X=0497.230-0522.280 | Y=0508.900-0518.220 | 1.000
P=2096 | X=0102.770-0135.720 | Y=0512.780-0524.020 | ĐT 760
P=2096 | X=0267.220-0348.440 | Y=0512.780-0524.020 | 1, tờ bản đồ số 71
P=2096 | X=0267.220-0361.810 | Y=0524.300-0535.540 | (Đường vào nhà thờ)
P=2096 | X=0137.810-0375.150 | Y=0542.330-0553.570 | Thửa đất số 57, tờ bản đồ Thửa đất số 178, 177 tờ
P=2096 | X=0102.770-0134.530 | Y=0548.090-0559.330 | Đường
P=2096 | X=0137.810-0400.790 | Y=0553.850-0565.090 | số 66; Thửa đất số 1, tờ bản bản đồ số 80 (Cống nhà 1.600
P=2096 | X=0093.380-0098.980 | Y=0555.730-0565.050 | 6
P=2096 | X=0412.460-0437.510 | Y=0555.730-0565.050 | 1.100
P=2096 | X=0505.390-0522.030 | Y=0555.730-0565.050 | 970
P=2096 | X=0102.770-0135.720 | Y=0559.610-0570.850 | ĐT 760
P=2096 | X=0137.810-0176.070 | Y=0565.370-0576.610 | đồ số 71
P=2096 | X=0267.220-0310.890 | Y=0567.250-0576.570 | chú Nam)
P=2096 | X=0137.810-0364.110 | Y=0583.370-0594.610 | Thửa đất số 178, 177 tờ bản Thửa đất số 66, 67 tờ
P=2096 | X=0102.770-0134.530 | Y=0589.130-0600.370 | Đường
P=2096 | X=0137.810-0244.480 | Y=0594.890-0606.130 | đồ số 80 (Cổng nhà chú
P=2096 | X=0267.220-0346.040 | Y=0594.890-0606.130 | bản đồ số 79 (Hội
P=2096 | X=0093.380-0098.980 | Y=0596.770-0606.090 | 7
P=2096 | X=0375.740-0400.790 | Y=0596.770-0606.090 | 1.700
P=2096 | X=0412.460-0437.510 | Y=0596.770-0606.090 | 1.200
P=2096 | X=0497.230-0522.280 | Y=0596.770-0606.090 | 1.000
P=2096 | X=0102.770-0135.720 | Y=0600.650-0611.890 | ĐT 760
P=2096 | X=0267.220-0331.790 | Y=0606.410-0617.650 | trường thôn 3)
P=2096 | X=0137.810-0162.520 | Y=0608.290-0617.610 | Nam)
P=2096 | X=0267.220-0375.150 | Y=0624.430-0635.670 | Thửa đất số 141, 308 tờ
P=2096 | X=0102.770-0368.850 | Y=0635.950-0647.190 | Đường Thửa đất số 66, 67 tờ bản bản đồ số 58 (Nhà ông
P=2096 | X=0093.380-0098.980 | Y=0643.590-0652.910 | 8
P=2096 | X=0375.740-0400.790 | Y=0643.590-0652.910 | 1.400
P=2096 | X=0420.650-0437.290 | Y=0643.590-0652.910 | 950
P=2096 | X=0505.390-0522.030 | Y=0643.590-0652.910 | 810
P=2096 | X=0102.770-0357.570 | Y=0647.470-0658.710 | ĐT 760 đồ số 79 (Hội trường thôn 3) Cừ - Quy hoạch khu
P=2096 | X=0267.220-0332.490 | Y=0658.750-0669.990 | dân cư thôn 4)
P=2096 | X=0137.810-0248.630 | Y=0676.750-0687.990 | Thửa đất số 141, 308, tờ
P=2096 | X=0102.770-0134.530 | Y=0682.510-0693.750 | Đường
P=2096 | X=0267.220-0364.110 | Y=0682.510-0693.750 | Thửa đất số 97, 82 tờ
P=2096 | X=0137.810-0262.420 | Y=0688.270-0699.510 | bản đồ số 58 (Nhà ông Cừ -
P=2096 | X=0093.380-0098.980 | Y=0690.150-0699.470 | 9
P=2096 | X=0383.900-0400.540 | Y=0690.150-0699.470 | 900
