TABLE=085 | AREA=Xã Thiện Hưng | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2100-2109 | LINES=1188 | HEADING=85. Xã Thiện Hưng ---
P=2100 | X=0090.020-0178.010 | Y=0369.000-0380.240 | 85. Xã Thiện Hưng
P=2100 | X=0259.060-0319.720 | Y=0387.000-0398.240 | Đoạn đường
P=2100 | X=0452.330-0517.360 | Y=0387.000-0398.240 | Giá đất cơ sở
P=2100 | X=0406.460-0513.940 | Y=0398.520-0409.760 | Giá đất sản xuất phi
P=2100 | X=0118.130-0194.820 | Y=0410.040-0421.280 | Tên đường giao
P=2100 | X=0377.900-0521.790 | Y=0410.040-0421.280 | Giá thương nông nghiệp và
P=2100 | X=0092.180-0104.580 | Y=0417.680-0427.000 | TT
P=2100 | X=0373.580-0513.940 | Y=0421.560-0432.800 | đất ở mại, dịch đất sử dụng
P=2100 | X=0142.610-0170.580 | Y=0423.440-0432.760 | thông
P=2100 | X=0221.590-0266.900 | Y=0424.920-0436.160 | Điểm đầu
P=2100 | X=0303.240-0351.160 | Y=0424.920-0436.160 | Điểm cuối
P=2100 | X=0450.170-0519.230 | Y=0433.080-0444.320 | cho hoạt động
P=2100 | X=0417.740-0429.450 | Y=0434.960-0444.280 | vụ
P=2100 | X=0457.130-0512.750 | Y=0446.480-0455.800 | khoáng sản
P=2100 | X=0282.340-0361.540 | Y=0462.860-0474.100 | Ngã tư vòng xoay
P=2100 | X=0206.470-0274.960 | Y=0470.500-0479.820 | Ranh xã Thanh
P=2100 | X=0095.570-0197.440 | Y=0474.380-0485.620 | 1 Đường Nguyễn Huệ
P=2100 | X=0282.340-0399.830 | Y=0474.380-0485.620 | (Thửa đất số 51, tờ 6.700
P=2100 | X=0422.090-0447.140 | Y=0476.260-0485.580 | 4.700
P=2100 | X=0497.230-0522.280 | Y=0476.260-0485.580 | 4.000
P=2100 | X=0206.470-0244.870 | Y=0480.140-0491.380 | Hòa (cũ)
P=2100 | X=0282.340-0343.320 | Y=0485.900-0497.140 | bản đồ số 74)
P=2100 | X=0282.340-0358.280 | Y=0503.900-0515.140 | Cây xăng thị trấn
P=2100 | X=0206.470-0261.740 | Y=0509.660-0520.900 | Ngã tư vòng
P=2100 | X=0282.340-0356.890 | Y=0515.420-0526.660 | Thanh Bình (cũ),
P=2100 | X=0206.470-0274.590 | Y=0521.180-0532.420 | xoay (Thửa đất
P=2100 | X=0095.570-0197.440 | Y=0526.940-0538.180 | 2 Đường Nguyễn Huệ
P=2100 | X=0282.340-0359.350 | Y=0526.940-0538.180 | hết ranh thửa đất
P=2100 | X=0374.780-0399.820 | Y=0528.820-0538.140 | 7,200
P=2100 | X=0422.090-0447.140 | Y=0528.820-0538.140 | 5.000
P=2100 | X=0497.230-0522.280 | Y=0528.820-0538.140 | 4,300
P=2100 | X=0206.470-0279.550 | Y=0532.490-0543.730 | số 51, tờ bản đồ
