TABLE=087 | AREA=Xã Hưng Phước | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2114-2116 | LINES=244 | HEADING=87. Xã Hưng Phước ---
P=2114 | X=0090.020-0184.230 | Y=0519.500-0530.740 | 87. Xã Hưng Phước
P=2114 | X=0250.660-0311.320 | Y=0537.530-0548.770 | Đoạn đường
P=2114 | X=0448.010-0513.040 | Y=0537.530-0548.770 | Giá đất cơ sở
P=2114 | X=0397.100-0431.210 | Y=0549.050-0560.290 | Giá đất
P=2114 | X=0451.370-0509.860 | Y=0550.930-0560.250 | sản xuất phi
P=2114 | X=0113.090-0189.780 | Y=0560.570-0571.810 | Tên đường giao
P=2114 | X=0367.100-0517.710 | Y=0560.570-0571.810 | Giá thương nông nghiệp và
P=2114 | X=0090.020-0102.420 | Y=0568.210-0577.530 | TT
P=2114 | X=0362.780-0519.690 | Y=0572.090-0583.330 | đất ở mại, dịch đất sử dụng cho
P=2114 | X=0137.570-0165.540 | Y=0573.970-0583.290 | thông
P=2114 | X=0210.550-0255.860 | Y=0575.450-0586.690 | Điểm đầu
P=2114 | X=0289.560-0337.480 | Y=0575.450-0586.690 | Điểm cuối
P=2114 | X=0456.410-0504.830 | Y=0583.610-0594.850 | hoạt động
P=2114 | X=0408.140-0419.820 | Y=0585.490-0594.810 | vụ
P=2114 | X=0452.810-0508.430 | Y=0597.010-0606.330 | khoáng sản
P=2114 | X=0200.950-0258.390 | Y=0615.250-0624.570 | Giáp ranh xã
P=2114 | X=0093.380-0176.690 | Y=0619.150-0630.390 | 1 Đường ĐT 759B
P=2114 | X=0266.020-0308.840 | Y=0621.030-0630.350 | Cầu sắt 2
P=2114 | X=0364.220-0389.270 | Y=0621.030-0630.350 | 1.500
P=2114 | X=0413.660-0438.710 | Y=0621.030-0630.350 | 1.100
P=2114 | X=0505.390-0522.030 | Y=0621.030-0630.350 | 920
P=2114 | X=0200.950-0254.070 | Y=0624.910-0636.150 | Thiện Hưng
P=2114 | X=0266.020-0355.160 | Y=0644.790-0654.110 | Hết trụ sở UBND xã
P=2114 | X=0093.380-0176.690 | Y=0648.670-0659.910 | 2 Đường ĐT 759B
P=2114 | X=0200.950-0243.780 | Y=0650.550-0659.870 | Cầu sắt 2
P=2114 | X=0364.220-0389.270 | Y=0650.550-0659.870 | 1.400
