TABLE=088 | AREA=Xã Đắk Ơ | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2116-2118 | LINES=231 | HEADING=88. Xã Đắk Ơ ---
P=2116 | X=0090.020-0151.690 | Y=0465.500-0476.740 | 88. Xã Đắk Ơ
P=2116 | X=0240.820-0301.460 | Y=0483.500-0494.740 | Đoạn đường
P=2116 | X=0449.450-0514.480 | Y=0483.500-0494.740 | Giá đất cơ sở
P=2116 | X=0400.460-0434.570 | Y=0495.020-0506.260 | Giá đất
P=2116 | X=0452.810-0511.300 | Y=0496.900-0506.220 | sản xuất phi
P=2116 | X=0113.090-0166.510 | Y=0506.540-0517.780 | Tên đường
P=2116 | X=0370.940-0519.150 | Y=0506.540-0517.780 | Giá thương nông nghiệp và
P=2116 | X=0090.020-0102.420 | Y=0514.180-0523.500 | TT
P=2116 | X=0366.620-0521.130 | Y=0518.060-0529.300 | đất ở mại, dịch đất sử dụng cho
P=2116 | X=0114.050-0165.300 | Y=0519.940-0529.260 | giao thông
P=2116 | X=0211.270-0256.580 | Y=0521.420-0532.660 | Điểm đầu
P=2116 | X=0304.200-0352.120 | Y=0521.420-0532.660 | Điểm cuối
P=2116 | X=0457.850-0506.270 | Y=0529.580-0540.820 | hoạt động
P=2116 | X=0411.740-0423.420 | Y=0531.460-0540.780 | vụ
P=2116 | X=0454.250-0509.870 | Y=0543.010-0552.330 | khoáng sản
P=2116 | X=0291.240-0353.250 | Y=0561.250-0570.570 | Hết ranh thửa
P=2116 | X=0177.190-0358.760 | Y=0570.890-0582.130 | Giáp ranh xã Phú Nghĩa - đất số 72, thửa
P=2116 | X=0093.380-0170.050 | Y=0576.650-0587.890 | 1 Đường ĐT 741
P=2116 | X=0375.980-0392.620 | Y=0578.530-0587.850 | 990
P=2116 | X=0424.970-0441.610 | Y=0578.530-0587.850 | 690
P=2116 | X=0505.390-0522.030 | Y=0578.530-0587.850 | 590
P=2116 | X=0177.190-0219.900 | Y=0582.410-0593.650 | xã Đắk Ơ
P=2116 | X=0291.240-0359.660 | Y=0582.410-0593.650 | đất số 55 thuộc
P=2116 | X=0291.240-0361.160 | Y=0593.930-0605.170 | tờ bản đồ số 47
P=2116 | X=0291.240-0353.250 | Y=0613.810-0623.130 | Hết ranh thửa
P=2116 | X=0291.240-0353.060 | Y=0623.470-0634.710 | đất số 137, tờ
P=2116 | X=0177.190-0285.630 | Y=0629.230-0640.470 | Hết ranh thửa đất số 72,
P=2116 | X=0291.240-0348.920 | Y=0634.750-0645.990 | bản đồ số 44
P=2116 | X=0093.380-0281.270 | Y=0640.510-0651.750 | 2 Đường ĐT 741 thửa đất số 55 thuộc tờ
P=2116 | X=0367.820-0392.870 | Y=0642.390-0651.710 | 1.200
P=2116 | X=0424.970-0441.610 | Y=0642.390-0651.710 | 820
P=2116 | X=0505.390-0522.030 | Y=0642.390-0651.710 | 700
P=2116 | X=0291.240-0361.420 | Y=0646.270-0657.510 | đến thửa đất số
P=2116 | X=0177.190-0234.870 | Y=0652.030-0663.270 | bản đồ số 47
P=2116 | X=0291.240-0356.370 | Y=0657.790-0669.030 | 477, tờ bản đồ
P=2116 | X=0291.240-0315.560 | Y=0671.190-0680.510 | số 48
P=2116 | X=0177.190-0268.980 | Y=0687.310-0698.550 | Hết ranh thửa đất số
P=2116 | X=0291.240-0353.250 | Y=0689.190-0698.510 | Hết ranh thửa
P=2116 | X=0093.380-0170.050 | Y=0693.070-0704.310 | 3 Đường ĐT 741
P=2116 | X=0367.820-0392.870 | Y=0694.950-0704.270 | 2.400
