TABLE=091 | AREA=Xã Bù Gia Mập | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2132-2133 | LINES=162 | HEADING=91. Xã Bù Gia Mập ---
P=2132 | X=0090.020-0176.870 | Y=0344.460-0353.780 | 91. Xã Bù Gia Mập
P=2132 | X=0250.180-0310.840 | Y=0360.580-0371.820 | Đoạn đường
P=2132 | X=0434.330-0519.230 | Y=0360.580-0371.820 | Giá đất cơ sở sản
P=2132 | X=0388.940-0423.050 | Y=0366.360-0377.600 | Giá đất
P=2132 | X=0361.820-0378.210 | Y=0374.000-0383.320 | Giá
P=2132 | X=0443.930-0509.560 | Y=0374.000-0383.320 | xuất phi nông
P=2132 | X=0113.570-0190.260 | Y=0377.880-0389.120 | Tên đường giao
P=2132 | X=0387.980-0424.110 | Y=0377.880-0389.120 | thương
P=2132 | X=0362.300-0377.420 | Y=0383.640-0394.880 | đất
P=2132 | X=0436.730-0517.010 | Y=0383.640-0394.880 | nghiệp và đất sử
P=2132 | X=0090.020-0102.420 | Y=0385.520-0394.840 | TT
P=2132 | X=0138.050-0166.030 | Y=0391.280-0400.600 | thông
P=2132 | X=0385.580-0426.300 | Y=0391.280-0400.600 | mại dịch
P=2132 | X=0218.710-0264.020 | Y=0392.520-0403.760 | Điểm đầu
P=2132 | X=0296.280-0344.200 | Y=0392.520-0403.760 | Điểm cuối
P=2132 | X=0366.380-0373.550 | Y=0395.160-0406.400 | ở
P=2132 | X=0442.250-0511.380 | Y=0397.040-0406.360 | dụng cho hoạt
P=2132 | X=0400.220-0411.900 | Y=0402.800-0412.120 | vụ
P=2132 | X=0435.530-0518.500 | Y=0406.680-0417.920 | động khoáng sản
P=2132 | X=0201.910-0344.120 | Y=0424.920-0436.160 | Giáp ranh xã Đắk Giáp ranh tỉnh
P=2132 | X=0093.380-0170.050 | Y=0430.680-0441.920 | 1 Đường ĐT 741
P=2132 | X=0363.500-0380.140 | Y=0432.560-0441.880 | 800
P=2132 | X=0414.380-0431.020 | Y=0432.560-0441.880 | 560
P=2132 | X=0505.390-0522.030 | Y=0432.560-0441.880 | 480
P=2132 | X=0201.910-0210.550 | Y=0436.200-0447.440 | Ơ
P=2132 | X=0281.140-0327.570 | Y=0436.200-0447.440 | Lâm Đồng
P=2132 | X=0102.770-0180.880 | Y=0454.220-0465.460 | Các tuyến đường
P=2132 | X=0201.910-0280.030 | Y=0454.220-0465.460 | Các tuyến đường
P=2132 | X=0093.380-0277.530 | Y=0467.620-0476.940 | 2 trung tâm xã Bù Gia nội bộ Trung tâm
P=2132 | X=0363.500-0380.140 | Y=0467.620-0476.940 | 740
P=2132 | X=0414.380-0431.020 | Y=0467.620-0476.940 | 520
P=2132 | X=0505.390-0522.030 | Y=0467.620-0476.940 | 440
P=2132 | X=0102.770-0122.290 | Y=0479.140-0488.460 | Mập
P=2132 | X=0201.910-0268.260 | Y=0479.140-0488.460 | xã Bù Gia Mập
P=2132 | X=0201.910-0346.750 | Y=0497.140-0506.460 | Hết ranh nhà ông Ngã ba nhà bà
P=2132 | X=0102.770-0180.880 | Y=0501.020-0512.260 | Các tuyến đường
P=2132 | X=0201.910-0343.170 | Y=0506.780-0518.020 | Chu Văn Dũng Đặng Thị Hon
P=2132 | X=0093.380-0191.840 | Y=0514.420-0523.740 | 3 trung tâm xã Bù Gia
P=2132 | X=0363.500-0380.140 | Y=0514.420-0523.740 | 600
P=2132 | X=0414.380-0431.020 | Y=0514.420-0523.740 | 420
P=2132 | X=0505.390-0522.030 | Y=0514.420-0523.740 | 360
P=2132 | X=0201.910-0357.410 | Y=0518.300-0529.540 | (thửa đất số 62, (thửa đất số 208,
P=2132 | X=0102.770-0122.290 | Y=0525.940-0535.260 | Mập
