TABLE=093 | AREA=Xã Phú Trung | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2138-2140 | LINES=327 | HEADING=93. Xã Phú Trung ---
P=2138 | X=0090.020-0171.740 | Y=0465.940-0475.260 | 93. Xã Phú Trung
P=2138 | X=0240.580-0301.220 | Y=0482.060-0493.300 | Đoạn đường
P=2138 | X=0435.050-0519.950 | Y=0482.060-0493.300 | Giá đất cơ sở sản
P=2138 | X=0391.340-0425.450 | Y=0487.820-0499.060 | Giá đất
P=2138 | X=0444.650-0510.280 | Y=0495.460-0504.780 | xuất phi nông
P=2138 | X=0105.650-0182.340 | Y=0499.340-0510.580 | Tên đường giao
P=2138 | X=0361.820-0426.270 | Y=0499.340-0510.580 | Giá thương
P=2138 | X=0437.450-0517.730 | Y=0505.100-0516.340 | nghiệp và đất sử
P=2138 | X=0090.020-0102.420 | Y=0506.980-0516.300 | TT
P=2138 | X=0357.500-0430.150 | Y=0510.860-0522.100 | đất ở mại, dịch
P=2138 | X=0130.130-0158.100 | Y=0512.740-0522.060 | thông
P=2138 | X=0203.590-0248.900 | Y=0513.980-0525.220 | Điểm đầu
P=2138 | X=0287.380-0335.320 | Y=0513.980-0525.220 | Điểm cuối
P=2138 | X=0442.970-0512.100 | Y=0518.500-0527.820 | dụng cho hoạt
P=2138 | X=0402.380-0414.060 | Y=0524.260-0533.580 | vụ
P=2138 | X=0436.250-0519.220 | Y=0528.140-0539.380 | động khoáng sản
P=2138 | X=0266.740-0350.850 | Y=0546.410-0557.650 | Ngã ba đường vào
P=2138 | X=0186.070-0230.070 | Y=0548.290-0557.610 | Giáp ranh
P=2138 | X=0093.380-0170.050 | Y=0557.930-0569.170 | 1 Đường ĐT 759
P=2138 | X=0186.070-0254.980 | Y=0557.930-0569.170 | phường Phước
P=2138 | X=0266.740-0383.750 | Y=0557.930-0569.170 | Nhà văn hóa thôn 1.400
P=2138 | X=0415.820-0432.460 | Y=0559.810-0569.130 | 950
P=2138 | X=0505.390-0522.030 | Y=0559.810-0569.130 | 820
P=2138 | X=0266.740-0313.160 | Y=0569.450-0580.690 | Đồng Tiến
P=2138 | X=0186.070-0208.230 | Y=0571.330-0580.650 | Long
P=2138 | X=0186.070-0251.230 | Y=0587.450-0598.690 | Ngã ba đường
P=2138 | X=0093.380-0170.050 | Y=0598.970-0610.210 | 2 Đường ĐT 759
P=2138 | X=0186.070-0347.480 | Y=0598.970-0610.210 | vào Nhà văn hóa Ngã ba đường N7
P=2138 | X=0358.700-0383.750 | Y=0600.850-0610.170 | 1.700
P=2138 | X=0407.660-0432.710 | Y=0600.850-0610.170 | 1.200
P=2138 | X=0497.230-0522.280 | Y=0600.850-0610.170 | 1.000
P=2138 | X=0186.070-0254.820 | Y=0610.250-0621.490 | thôn Đồng Tiến
P=2138 | X=0186.070-0251.220 | Y=0628.270-0639.510 | Ngã ba đường
P=2138 | X=0266.740-0353.690 | Y=0628.270-0639.510 | Giáp ranh xã Nghĩa
P=2138 | X=0093.380-0170.050 | Y=0634.030-0645.270 | 3 Đường ĐT 759
P=2138 | X=0358.700-0383.750 | Y=0635.910-0645.230 | 1.200
P=2138 | X=0415.820-0432.460 | Y=0635.910-0645.230 | 830
P=2138 | X=0505.390-0522.030 | Y=0635.910-0645.230 | 710
P=2138 | X=0186.070-0198.870 | Y=0641.670-0650.990 | N7
P=2138 | X=0266.740-0292.980 | Y=0641.670-0650.990 | Trung
P=2138 | X=0186.070-0344.720 | Y=0659.670-0668.990 | Ngã ba Quốc lộ UBND xã + 500m
P=2138 | X=0102.770-0176.690 | Y=0663.550-0674.790 | Đường ĐT 753B
P=2138 | X=0186.070-0347.480 | Y=0669.310-0680.550 | 14 và Đường ĐT về hướng Quốc lộ
P=2138 | X=0093.380-0098.980 | Y=0671.190-0680.510 | 4
P=2138 | X=0366.860-0383.500 | Y=0671.190-0680.510 | 850
P=2138 | X=0415.820-0432.460 | Y=0671.190-0680.510 | 600
P=2138 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 510
P=2138 | X=0102.770-0156.770 | Y=0675.070-0686.310 | (ĐH 312 cũ)
P=2138 | X=0186.070-0277.860 | Y=0680.830-0692.070 | 753B (ĐH 312 cũ) 14
P=2138 | X=0093.380-0383.750 | Y=0698.830-0710.070 | 5 Đường ĐT 753B UBND xã + 500m UBND xã 1000m về 1.300
P=2138 | X=0415.820-0432.460 | Y=0700.710-0710.030 | 890
P=2138 | X=0505.390-0522.030 | Y=0700.710-0710.030 | 770
P=2139 | X=0102.770-0156.770 | Y=0072.740-0083.980 | (ĐH 312 cũ)
P=2139 | X=0186.070-0256.180 | Y=0072.740-0083.980 | về hướng Quốc
P=2139 | X=0266.740-0349.160 | Y=0074.620-0083.940 | phía xã Phú Riềng
P=2139 | X=0186.070-0207.990 | Y=0086.140-0095.460 | lộ 14
P=2139 | X=0186.070-0261.180 | Y=0104.140-0113.460 | UBND xã 1000m
P=2139 | X=0102.770-0176.690 | Y=0108.020-0119.260 | Đường ĐT 753B
P=2139 | X=0266.740-0343.640 | Y=0109.900-0119.220 | Giáp ranh giới xã
P=2139 | X=0093.380-0098.980 | Y=0115.660-0124.980 | 6
P=2139 | X=0186.070-0253.100 | Y=0115.660-0124.980 | về phía xã Phú
P=2139 | X=0366.860-0383.500 | Y=0115.660-0124.980 | 850
P=2139 | X=0415.820-0432.460 | Y=0115.660-0124.980 | 600
P=2139 | X=0505.390-0522.030 | Y=0115.660-0124.980 | 510
P=2139 | X=0102.770-0156.770 | Y=0119.570-0130.810 | (ĐH 312 cũ)
P=2139 | X=0266.740-0313.640 | Y=0121.450-0130.770 | Phú Riềng
P=2139 | X=0186.070-0212.310 | Y=0127.210-0136.530 | Riềng
P=2139 | X=0186.070-0250.260 | Y=0143.330-0154.570 | Ranh xã Đồng
P=2139 | X=0266.740-0333.770 | Y=0143.330-0154.570 | Ranh xã Nghĩa
P=2139 | X=0093.380-0185.670 | Y=0149.090-0160.330 | 7 Đường Quốc lộ 14
P=2139 | X=0358.700-0383.750 | Y=0150.970-0160.290 | 1.700
P=2139 | X=0407.660-0432.710 | Y=0150.970-0160.290 | 1.200
P=2139 | X=0497.230-0522.280 | Y=0150.970-0160.290 | 1.000
P=2139 | X=0186.070-0205.980 | Y=0156.730-0166.050 | Tâm
P=2139 | X=0266.740-0292.980 | Y=0156.730-0166.050 | Trung
P=2139 | X=0266.740-0336.750 | Y=0172.850-0184.090 | Giáp đường ĐT
P=2139 | X=0186.070-0257.770 | Y=0178.610-0189.850 | Giáp Đường ĐT
P=2139 | X=0093.380-0174.610 | Y=0184.370-0195.610 | 8 Đường Thác Ba
P=2139 | X=0266.740-0333.560 | Y=0186.250-0195.570 | 759 + 200m về
P=2139 | X=0366.860-0383.500 | Y=0186.250-0195.570 | 680
P=2139 | X=0415.820-0432.460 | Y=0186.250-0195.570 | 480
P=2139 | X=0505.390-0522.030 | Y=0186.250-0195.570 | 410
P=2139 | X=0186.070-0202.710 | Y=0192.010-0201.330 | 759
P=2139 | X=0266.740-0304.260 | Y=0197.530-0206.850 | Thác Ba
P=2139 | X=0266.740-0334.280 | Y=0213.670-0224.910 | hết ranh đất bà
P=2139 | X=0186.070-0350.360 | Y=0225.190-0236.430 | Giáp Đường ĐT Nguyễn Thị Quỳnh
P=2139 | X=0093.380-0174.610 | Y=0236.710-0247.950 | 9 Đường Thác Ba
P=2139 | X=0186.070-0342.920 | Y=0236.710-0247.950 | 759 + 200m về Như (thửa đất số
P=2139 | X=0366.860-0383.500 | Y=0238.590-0247.910 | 510
P=2139 | X=0415.820-0432.460 | Y=0238.590-0247.910 | 360
P=2139 | X=0505.390-0522.030 | Y=0238.590-0247.910 | 310
P=2139 | X=0266.740-0345.080 | Y=0248.230-0259.470 | 101, tờ bản đồ số
P=2139 | X=0186.070-0223.590 | Y=0250.110-0259.430 | Thác Ba
P=2139 | X=0266.740-0286.660 | Y=0261.630-0270.950 | 101)
P=2139 | X=0186.070-0258.500 | Y=0277.750-0288.990 | Từ đầu thửa đất
P=2139 | X=0186.070-0262.200 | Y=0289.300-0300.540 | ông Nguyễn Như
P=2139 | X=0090.500-0174.610 | Y=0300.820-0312.060 | 10 Đường Thác Ba
P=2139 | X=0186.070-0346.520 | Y=0300.820-0312.060 | Vàng (thửa đất Đến Cầu Thác Ba
P=2139 | X=0366.860-0383.500 | Y=0302.700-0312.020 | 380
P=2139 | X=0415.820-0432.460 | Y=0302.700-0312.020 | 270
P=2139 | X=0505.390-0522.030 | Y=0302.700-0312.020 | 230
