TABLE=094 | AREA=Xã Long Hà | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2141-2143 | LINES=337 | HEADING=94. Xã Long Hà ---
P=2141 | X=0090.020-0161.820 | Y=0091.420-0100.740 | 94. Xã Long Hà
P=2141 | X=0251.860-0312.520 | Y=0107.540-0118.780 | Đoạn đường
P=2141 | X=0436.490-0521.390 | Y=0107.540-0118.780 | Giá đất cơ sở sản
P=2141 | X=0394.460-0428.570 | Y=0113.300-0124.540 | Giá đất
P=2141 | X=0446.090-0511.720 | Y=0120.970-0130.290 | xuất phi nông
P=2141 | X=0115.010-0191.700 | Y=0124.850-0136.090 | Tên đường giao
P=2141 | X=0365.420-0429.630 | Y=0124.850-0136.090 | Giá thương
P=2141 | X=0438.890-0519.170 | Y=0130.610-0141.850 | nghiệp và đất sử
P=2141 | X=0090.020-0102.420 | Y=0132.490-0141.810 | TT
P=2141 | X=0361.100-0433.540 | Y=0136.370-0147.610 | đất ở mại, dịch
P=2141 | X=0139.490-0167.460 | Y=0138.250-0147.570 | thông
P=2141 | X=0220.630-0265.940 | Y=0139.490-0150.730 | Điểm đầu
P=2141 | X=0296.760-0344.680 | Y=0139.490-0150.730 | Điểm cuối
P=2141 | X=0444.410-0513.540 | Y=0144.010-0153.330 | dụng cho hoạt
P=2141 | X=0405.740-0417.420 | Y=0149.770-0159.090 | vụ
P=2141 | X=0437.690-0520.660 | Y=0153.410-0164.650 | động khoáng sản
P=2141 | X=0282.100-0351.080 | Y=0171.650-0182.890 | Hết đất Trường
P=2141 | X=0205.030-0262.470 | Y=0179.290-0188.610 | Giáp ranh xã
P=2141 | X=0093.380-0170.050 | Y=0183.170-0194.410 | 1 Đường ĐT 757
P=2141 | X=0282.100-0345.570 | Y=0185.050-0194.370 | Tiểu học Long
P=2141 | X=0362.300-0387.350 | Y=0185.050-0194.370 | 1.200
P=2141 | X=0418.700-0435.340 | Y=0185.050-0194.370 | 830
P=2141 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 710
P=2141 | X=0205.030-0251.940 | Y=0190.810-0200.130 | Phú Riềng
P=2141 | X=0282.100-0304.410 | Y=0196.570-0205.890 | Hà B
P=2141 | X=0282.100-0350.090 | Y=0214.590-0223.910 | Cách UBND xã
P=2141 | X=0205.030-0274.020 | Y=0218.470-0229.710 | Hết đất Trường
P=2141 | X=0282.100-0347.630 | Y=0226.110-0235.430 | Long Hà 500m
P=2141 | X=0093.380-0170.050 | Y=0229.990-0241.230 | 2 Đường ĐT 757
P=2141 | X=0205.030-0268.510 | Y=0231.870-0241.190 | Tiểu học Long
P=2141 | X=0370.460-0387.100 | Y=0231.870-0241.190 | 850
P=2141 | X=0418.700-0435.340 | Y=0231.870-0241.190 | 600
P=2141 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 510
P=2141 | X=0282.100-0346.280 | Y=0235.750-0246.990 | hướng xã Phú
P=2141 | X=0205.030-0227.340 | Y=0243.390-0252.710 | Hà B
P=2141 | X=0282.100-0308.360 | Y=0249.150-0258.470 | Riềng
P=2141 | X=0205.030-0273.020 | Y=0267.150-0276.470 | Cách UBND xã
P=2141 | X=0282.100-0351.800 | Y=0271.030-0282.270 | Hết ranh đất trụ
P=2141 | X=0205.030-0270.560 | Y=0278.670-0287.990 | Long Hà 500m
P=2141 | X=0093.380-0170.050 | Y=0282.580-0293.820 | 3 Đường ĐT 757
P=2141 | X=0282.100-0338.360 | Y=0284.460-0293.780 | sở UBND xã
P=2141 | X=0362.300-0387.350 | Y=0284.460-0293.780 | 1.500
P=2141 | X=0410.540-0435.590 | Y=0284.460-0293.780 | 1.100
P=2141 | X=0505.390-0522.030 | Y=0284.460-0293.780 | 920
P=2141 | X=0205.030-0269.190 | Y=0288.340-0299.580 | hướng xã Phú
P=2141 | X=0282.100-0319.870 | Y=0295.980-0305.300 | Long Hà
P=2141 | X=0205.030-0231.270 | Y=0301.740-0311.060 | Riềng
P=2141 | X=0282.100-0357.330 | Y=0317.860-0329.100 | Hết ranh Trường
P=2141 | X=0205.030-0274.740 | Y=0323.620-0334.860 | Hết ranh đất trụ
P=2141 | X=0282.100-0329.450 | Y=0331.260-0340.580 | THPT Ngô
P=2141 | X=0093.380-0170.050 | Y=0335.140-0346.380 | 4 Đường ĐT 757
P=2141 | X=0205.030-0261.270 | Y=0337.020-0346.340 | sở UBND xã
P=2141 | X=0362.300-0387.350 | Y=0337.020-0346.340 | 1.900
P=2141 | X=0410.540-0435.590 | Y=0337.020-0346.340 | 1.300
P=2141 | X=0497.230-0522.280 | Y=0337.020-0346.340 | 1.100
P=2141 | X=0282.100-0339.480 | Y=0340.900-0352.140 | Quyền (điểm
P=2141 | X=0205.030-0242.800 | Y=0348.540-0357.860 | Long Hà
P=2141 | X=0282.100-0329.410 | Y=0352.180-0363.420 | trường cũ)
P=2141 | X=0205.030-0280.270 | Y=0370.200-0381.440 | Hết ranh Trường
P=2141 | X=0205.030-0252.380 | Y=0383.600-0392.920 | THPT Ngô
P=2141 | X=0093.380-0170.080 | Y=0387.480-0398.720 | 5 Đường ĐT 757
P=2141 | X=0282.100-0349.630 | Y=0389.360-0398.680 | Cầu Trà Thanh
P=2141 | X=0370.460-0387.100 | Y=0389.360-0398.680 | 750
P=2141 | X=0418.700-0435.340 | Y=0389.360-0398.680 | 520
P=2141 | X=0505.390-0522.030 | Y=0389.360-0398.680 | 450
P=2141 | X=0205.030-0262.420 | Y=0393.240-0404.480 | Quyền (điểm
P=2141 | X=0205.030-0252.350 | Y=0404.760-0416.000 | trường cũ)
P=2141 | X=0282.100-0341.710 | Y=0422.760-0434.000 | Đầu đập NT6
P=2141 | X=0205.030-0251.440 | Y=0424.640-0433.960 | Từ ngã ba
P=2141 | X=0205.030-0272.340 | Y=0434.280-0445.520 | Đường ĐT 757
P=2141 | X=0282.100-0346.280 | Y=0436.160-0445.480 | thuộc Thôn 11
P=2141 | X=0093.380-0176.690 | Y=0440.040-0451.280 | 6 Đường ĐT 757B
P=2141 | X=0362.300-0387.350 | Y=0441.920-0451.240 | 1.400
P=2141 | X=0418.700-0435.340 | Y=0441.920-0451.240 | 950
P=2141 | X=0505.390-0522.030 | Y=0441.920-0451.240 | 820
P=2141 | X=0205.030-0274.700 | Y=0445.800-0457.040 | đi xã Long Bình
P=2141 | X=0282.100-0346.260 | Y=0447.680-0457.000 | và thôn Thanh
P=2141 | X=0205.030-0222.310 | Y=0457.340-0468.580 | (cũ)
P=2141 | X=0282.100-0304.260 | Y=0459.220-0468.540 | Long
P=2141 | X=0205.030-0264.650 | Y=0475.340-0486.580 | Đầu đập NT6
P=2141 | X=0205.030-0269.190 | Y=0488.740-0498.060 | thuộc Thôn 11
P=2141 | X=0282.100-0341.810 | Y=0488.740-0498.060 | Chòi mủ tổ 8,
P=2141 | X=0093.380-0176.690 | Y=0492.620-0503.860 | 7 Đường ĐT 757B
P=2141 | X=0362.300-0387.350 | Y=0494.500-0503.820 | 1.000
P=2141 | X=0418.700-0435.340 | Y=0494.500-0503.820 | 710
P=2141 | X=0505.390-0522.030 | Y=0494.500-0503.820 | 610
P=2141 | X=0282.100-0337.870 | Y=0498.380-0509.620 | Đội Long Hà
P=2141 | X=0205.030-0269.190 | Y=0500.260-0509.580 | và thôn Thanh
P=2141 | X=0205.030-0227.190 | Y=0511.780-0521.100 | Long
P=2141 | X=0205.030-0264.750 | Y=0529.780-0539.100 | Chòi mủ tổ 8,
