TABLE=058 | AREA=Phường Minh Hưng | RECORDS=455 | GROUPS=455 | REVIEW=230
ID=NQ28-058-S04-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=dưới 4m 58. Phường Minh Hưng Tên đường giao TT thông Phía đường Đường ĐT 751 (Ranh Chơn | START=Đoạn đường Phía giới Bắc: Ngã ba tờ bản Ngô Đức Kế Phía giới phường đường Thành) ranh Chơn | END=Giá trồng cây năm Bắc: Hết ranh thửa đất số 69, đồ số 140; Nam: Ngã ba bê tông giới phường Thành | FLAGS=
ID=NQ28-058-S04-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=700,560,336 | ROAD=Phía giới tờ Đường ĐT 751 Phía đường ranh Chơn | START=Bắc: Hết ranh thửa đất số 69, Ngã bản đồ số 140; và Nam: Ngã ba Khu bê tông 1 giới phường Thành cũ | END=tư đường số 4 đường số 9 - phố Minh Long | FLAGS=
ID=NQ28-058-S04-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=700,560,336 | ROAD=Ngã và Đường ĐT 751 Khu 1 | START=Ngã tư đường số 4 14 đường số 9 - (Ngã phố Minh Long - Khu Long | END=tư đường số và đường số 19 tư Ngọc Lầu) phố Minh 1 | FLAGS=
ID=NQ28-058-S04-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=700,560,336 | ROAD=Ngã 14 Đường ĐT 751 (Ngã - Khu Long | START=tư đường số Ngã và đường số 19 32 tư Ngọc Lầu) (Nhà phố Minh phố 1 | END=tư đường số và đường số 41 văn hóa khu Minh Long 3) | FLAGS=
ID=NQ28-058-S04-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=700,560,336 | ROAD=Ngã 32 Đường ĐT 751 (Nhà phố | START=tư đường số Cầu và đường số 41 giới văn hóa khu Chí Minh Long 3) | END=Bà Và (Ranh Thành phố Hồ Minh) | FLAGS=
ID=NQ28-058-S04-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐH 05 Đường | START=Phía thửa bản ĐT 751 Phía đường đường | END=Tây: Hết ranh đất số 191, tờ đồ số 130; Đông: Ngã ba số 52 và ĐH 05 | FLAGS=
ID=NQ28-058-S04-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=394,315,189 | ROAD=Phía thửa bản Đường ĐH 05 Phía đường | START=Ngã Tây: Hết ranh tông đất số 191, tờ Minh đồ số 130; đường Đông: Ngã ba ranh số 52 và 168 | END=tư đường bê - Khu phố Long 7 và ĐH 05 (hết thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-058-S04-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=394,315,189 | ROAD=đường Đường ĐH 05 Ngã tông Minh | START=ĐH 05 117) tư đường bê Đường - Khu phố Long 7 và | END=ĐH 15 | FLAGS=
ID=NQ28-058-S04-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=394,315,189 | ROAD=đường ranh 168 117) Đường ĐH 05 Đường | START=ĐH 05 (hết thửa đất số tờ bản đồ số ĐT751 Đường Phía | END=ĐH 06 Bắc: Hết ranh | FLAGS=
ID=NQ28-058-S04-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=394,315,189 | ROAD=Ranh Đường ĐH 06 Chơn | START=thửa giới phường bản Thành Phía đường đường | END=đất số 195, tờ đồ số 143; Nam: Ngã ba ĐH 06 và số 44 | FLAGS=
ID=NQ28-058-S04-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=394,315,189 | ROAD=Phía thửa bản Đường ĐH 06 Phía đường đường | START=Bắc: Hết ranh Phía đất số 195, tờ đường đồ số 143; đường Nam: Ngã ba Nam: ĐH 06 và đường số 44 ĐH | END=Bắc: Ngã ba số 36 và ĐH 06; Phía Ngã ba bê tông và 06 | FLAGS=
ID=NQ28-058-S04-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=394,315,189 | ROAD=Phía đường đường Đường ĐH 06 Nam: đường ĐH | START=Bắc: Ngã ba số 36 và Hết ĐH 06; Phía Thành Ngã ba Minh) bê tông và 06 | END=tuyến (ranh giới phố Hồ Chí | FLAGS=
ID=NQ28-058-S04-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=394,315,189 | ROAD=Đường Ngô Đức Kế (Ranh giới Đường phường Chơn Thành) | START=Ngã ĐT 751 Đức số | END=ba đường Ngô Kế và đường 3A | FLAGS=
ID=NQ28-058-S04-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=394,315,189 | ROAD=Đường Ngô Đức Ngã Kế (Ranh giới Đức phường Chơn số Thành) | START=ba đường Ngô Kế và đường Hết 3A | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=276,221,132 | ROAD=Đường số 1 - Khu Đường phố Minh Long 6 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=394,315,189 | ROAD=Đường số 2 - Khu Đường phố Minh Long 6 | START=ĐT 751 Đường | END=ĐH 06 | FLAGS=
ID=NQ28-058-S04-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=394,315,189 | ROAD=Đường số 3 - Khu Đường phố Minh Long 6 | START=Ngã và ĐT 751 (Nhà phố | END=tư đường số 3 đường số 3A Văn hóa Khu Minh Long 6) | FLAGS=
ID=NQ28-058-S04-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=276,221,132 | ROAD=Đường số 3A - Khu Đường phố Minh Long 6 Kế | START=Ngô Đức Đường | END=số 7 | FLAGS=
ID=NQ28-058-S04-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=276,221,132 | ROAD=Đường số 3B - Khu Đường phố Minh Long 6 | START=số 3 Đường | END=số 7 | FLAGS=
ID=NQ28-058-S04-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=276,221,132 | ROAD=Đường số 3C - Khu Đường phố Minh Long 6 | START=số 3A Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=276,221,132 | ROAD=Đường số 4 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=276,221,132 | ROAD=Đường số 5 - Khu Đường phố Minh Long 6 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=276,221,132 | ROAD=Đường số 6 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết Phía | END=tuyến Tây: Hết ranh | FLAGS=
ID=NQ28-058-S04-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=394,315,189 | ROAD=Đường số 7 - Khu Đường phố Minh Long 1 | START=thửa bản ĐT 751 Phía đường đường | END=đất số 72, tờ đồ số 131; Đông: Ngã ba số 3 và số 7 | FLAGS=
ID=NQ28-058-S04-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=394,315,189 | ROAD=Phía Đường số 7 - Khu thửa phố Minh Long 1 và bản Khu phố Minh Long Phía | START=Tây: Hết ranh đất số 72, tờ đồ số 131; Hết Đông: Ngã ba | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0007-02 | SEC=agricultural | TT=7 | REL=main | PRICES= | ROAD=đường đường | START=số 3 và số 7 | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=276,221,132 | ROAD=Đường số 8 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=276,221,132 | ROAD=Đường số 9 - Khu Đường phố Minh Long 1 | START=ĐT751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=276,221,132 | ROAD=Đường số 10 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=276,221,132 | ROAD=Đường số 11 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=276,221,132 | ROAD=Đường số 12 - Khu Đường phố Minh Long 1 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=276,221,132 | ROAD=Đường số 13 - Khu phố Minh Long 1 và Đường Khu phố Minh Long | START=ĐT 751 Đường | END=số 52 | FLAGS=
ID=NQ28-058-S04-TT0007-03 | SEC=agricultural | TT=7 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=276,221,132 | ROAD=Đường số 13 - Khu phố Minh Long 1 và Đường Khu phố Minh Long | START=số 52 Đường | END=ĐH 05 | FLAGS=
ID=NQ28-058-S04-TT0007-04 | SEC=agricultural | TT=7 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=276,221,132 | ROAD=Đường số 15 - Khu Đường phố Minh Long 1 | START=ĐT 751 Đường | END=số 52 | FLAGS=
ID=NQ28-058-S04-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=276,221,132 | ROAD=Đường số 16 - Khu Đường phố Minh Long 2 | START=ĐT 751 Đường | END=số 18 | FLAGS=
ID=NQ28-058-S04-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=276,221,132 | ROAD=Đường số 17 - Khu Đường phố Minh Long 2 | START=ĐT 751 Đường | END=số 52 | FLAGS=
ID=NQ28-058-S04-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=276,221,132 | ROAD=Đường số 18 - Khu Đường phố Minh Long 2 | START=ĐT751 Đường | END=số 16 | FLAGS=
ID=NQ28-058-S04-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=276,221,132 | ROAD=Đường số 20 - Khu Đường phố Minh Long 2 | START=ĐT751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=276,221,132 | ROAD=Đường số 21 - Khu Đường phố Minh Long 2 | START=ĐT751 Hết | END=tuyến | FLAGS=
