TABLE=076 | AREA=Xã Tân Hưng | RECORDS=135 | GROUPS=135 | REVIEW=15
ID=NQ28-076-S04-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=242,194,116 | ROAD=tờ bản đồ Ngã tư (thửa 17Đường ĐT 756 08, tờ bản Ngã ba 18Đường ĐT 756 (đường đường ĐT Ngã ba 19Đường ĐT 756C ĐT 756 ĐT 756C Đường huyện lộ Đường Quốc ĐH 13 | START=số 72) Ngã ba đất số (đường đồ số 72) ĐT 756C) Suối Nghiên ĐT 756 và Ranh giới 756C) giao đường và đường Ranh giới - Phía Tây: (thửa đất đồ số 100) lộ 14 - Phía Đông: tông (thửa bản đồ | END=Suối Nghiên ĐT 756 và đường xã Tân Hưng xã Tân Quan Đường bê tông số 144, tờ bản Đường bê đất số 24, tờ số 100) | FLAGS=
ID=NQ28-076-S04-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=242,194,116 | ROAD=- Phía Tây: bê tông 144, tờ bản 100) Đường huyện lộ ĐH 13 - Phía Đông: bê tông 24, tờ bản | START=Đường (thửa đất số đồ số Hết ranh Đường tờ bản (thửa đất số đồ số | END=thửa đất số 203, đồ số 65 | FLAGS=
ID=NQ28-076-S04-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=242,194,116 | ROAD=100) Đường Quốc Đường liên xã Nha (Giáp ranh Bích - Tân Quan ông Nguyễn Thành) | START=lộ 14 đất nhà Giáp ranh Xuân | END=xã Tân Quan | FLAGS=
ID=NQ28-076-S04-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=242,194,116 | ROAD=Đường ĐH 09 (Đường Nha Bích Đường Quốc Tân Quan) (Giáp ranh (Đường ấp 1 - Tân ông Trần Quan) | START=lộ 14 Hết thửa đất nhà bản đồ Văn Minh) | END=đất số 256, tờ số 9 | FLAGS=
ID=NQ28-076-S04-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=242,194,116 | ROAD=Đường ĐH 09 (Đường Nha Bích Hết thửa Tân Quan) tờ bản đồ (Đường ấp 1 - Tân Quan) Đường Quốc 25Đường nhựa ấp 2 (Giáp ranh Dũng Luyện) 27Đường ĐH 10 Đường Quốc | START=đất số 256, Giáp ranh số 9 - Hết ranh Nguyễn lộ 14 (thửa đất nhà hàng số 16) - Hết ranh Trần Hữu đất số 21, Hết thửa lộ 14 đồ số 81 | END=xã Tân Quan đất nhà ông Xuân Hải (tổ 3) số 55, tờ bản đồ đất nhà ông Đài (tổ 2) (thửa tờ bản đồ số 16) đất số 3, tờ bản | FLAGS=
ID=NQ28-076-S04-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=242,194,116 | ROAD=Hết thửa 26Đường ĐH 10 bản đồ số Đường số 12 (Đi Đầu thửa qua tổ 8, to 10, tổ tờ bản đồ | START=đất số 3, tờ Đường 81 đất số 74, Cuối thửa số 73 bản đồ | END=huyện lộ ĐH13 đất số 130, tờ số 75 (Tiếp giáp | FLAGS=
ID=NQ28-076-S04-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES= | ROAD=Ấp Minh Lập (Tiếp giáp | START=đường | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-076-S04-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD=ĐH 10) 29Đường số 5 Đường Quốc | START=đường Cuối thửa lộ 14 bản đồ | END=ĐH 10) đất số 37, tờ số 55 | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-076-S04-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=242,194,116 | ROAD=Cuối thửa 30Đường số 5 tờ bản đồ Đường giao thông kết hợp du lịch hồ Quốc lộ thủy lợi Phước Hòa | START=đất số 37, Đường số 55 Hết thửa 14 đồ số 79 | END=ĐT 756 đất số 62, tờ bản | FLAGS=
ID=NQ28-076-S04-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=242,194,116 | ROAD=Đường giao thông Quốc lộ kết hợp du lịch hồ đất số 157, thủy lợi Phước đồ số 55) Hòa 33Đường DH 08 Đường Quốc Hết ranh 34Đường DH 08 cư 10 ha HLLG đường 35Đường số 01 lộ 14 HLLG đường 36Đường số 15 lộ 14 | START=14 (Từ thửa Đến hết tờ bản tờ bản Hết ranh lộ 14 10 ha khu tái định Giáp ranh Thành Quốc Thửa đất đồ số 107 Thửa đất Quốc đồ số 96 | END=thửa đất số 123, đồ số 55 khu tái định cư phường Minh số 746, tờ bản số 223, tờ bản - đấu nối với | FLAGS=
ID=NQ28-076-S04-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=151,121,72 | ROAD=HLLG đường 37Đường số 27 6B Từ thửa 38Đường ĐH 01 tờ bản đồ Từ thửa 39Đường số 40 tờ bản đồ Đường nhựa, đường bê tông nông thôn còn lại Toàn tuyến chưa quy định cụ thể ở trên | START=đường Ngã ba ĐT 75 đầu ranh tờ bản đất số 922, Đến hết số 62 tờ bản đất số 483, Đến hết số 62 tờ bản | END=huyện lộ ĐH 13 đường bê tông thửa đất số 76, đồ số 115 thửa đất số 858, đồ số 62 thửa đất số 251, đồ số 62 | FLAGS=
ID=NQ28-076-S04-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=151,121,72 | ROAD=41Các đường còn lại Phường Bình Long | START=Đoạn | END=đường | FLAGS=
ID=NQ28-076-S04-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=308,246,172 | ROAD=Đường Lý Tự Trọng | START=Đường Lê Lợi | END=Đường Hùng Vương | FLAGS=
