TABLE=095 | AREA=Xã Bình Tân | RECORDS=1820 | GROUPS=1792 | REVIEW=1648
ID=NQ28-095-S04-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=420,336,269 | ROAD=Thành Thái Học Thành đất số 13 và tờ bản Ngã ba Thành Đường Nguyễn Tất khu phố Thành đất số 16 và bản đồ | START=- Đường Nguyễn Thành (từ ranh thửa khu 154, tờ bản đồ số đất thửa đất số 271, 16 đồ số 114) bản Nguyễn Tất - Đường bê tông (từ ranh thửa Giáp 57, tờ bản đồ số thửa đất số 29, tờ số 118) | END=- Đường bê tông phố (hết ranh thửa số 146, tờ bản đồ và thửa đất số 24, đồ số 118) ranh xã Bình Tân | FLAGS=
ID=NQ28-095-S04-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=420,336,269 | ROAD=Ngã ba Thành Đường 3 tháng 2 ranh thửa (Đường ĐT 759) bản đồ số 139, | START=Nguyễn Tất Đường - đường 3/2 (từ và đất số 131, tờ ranh số 52 và thửa đất bản tờ bản đồ số 53) số | END=Đinh Văn Chất đường bê tông (hết thửa đất số 16, tờ đồ số 52 và thửa 91, tờ bản đồ số 53) | FLAGS=
ID=NQ28-095-S04-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=420,336,269 | ROAD=Đường và đường Đường 3 tháng 2 ranh thửa (Đường ĐT 759) bản đồ số 14, | START=Đinh Văn Chất Đường bê tông (từ đường đất số 170, tờ thửa số 11 và thửa đất đồ tờ bản đồ số 52) 25, | END=Đoàn Nhữ Hài bê tông (hết ranh đất số 140, tờ bản số 11 và thửa đất số tờ bản đồ số 49) | FLAGS=
ID=NQ28-095-S04-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=420,336,269 | ROAD=Đường và đường ranh thửa Đường 3 tháng 2 bản đồ (Đường ĐT 759) số 22, không số 139, | START=Đoàn Nhữ Hài bê tông (từ Đường đất số 111, tờ đường số 11 và thửa đất ranh tờ bản đồ số 49 ); bản bao gồm thửa đất số tờ bản đồ số 11 | END=Hoàng Lệ Kha Tú Xương (hết thửa đất số 2, tờ đồ số 35 và thửa 1, tờ bản đồ số 43) | FLAGS=
ID=NQ28-095-S04-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=4,420,336,269 | ROAD=Đường và đường Đường 3 tháng 2 ranh thửa (Đường ĐT 759) bản đồ số 108, | START=Khu Hoàng Lệ Kha Long Tú Xương (từ Long đất số 117, tờ đất số 28 và thửa đất và tờ bản đồ số 28) đồ Ngã | END=quy hoạch KDC Điền và Nghĩa địa Điền (hết ranh thửa số 1, tờ bản đồ số thửa đất số 11, tờ bản số 20) ba đường ĐT 759 | FLAGS=
ID=NQ28-095-S04-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=224,179,143 | ROAD=Khu quy Long Đường ĐT 759 (Xã Long Bình Sơn cũ) đất số 54 và tờ bản | START=và hoạch KDC về Điền và Nghĩa địa tuyến Điền (từ ranh thửa Đa 59, tờ bản đồ số đất thửa đất số 170, 87) đồ số 87) giáp | END=đường nhựa hướng Phú Châu + (Bên trái + 194m hướng Kia (hết ranh thửa số 249, tờ bản đồ và Bên phải tuyến đường bê tông (hết | FLAGS=
ID=NQ28-095-S04-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=224,179,143 | ROAD=Đường ĐT 759 (Xã Ngã ba Bình Sơn cũ) và đường về Phú tuyến Đa Kia số 33, và Bên | START=ranh bản đường ĐT 759 Giáp nhựa hướng ranh Châu + (Bên trái bản + 194m hướng xã số (từ ranh thửa đất tờ bản đồ số 54) phải tuyến giáp | END=thửa đất số 35, tờ đồ số 75)) ranh xã Đa Kia (hết thửa đất số 15, tờ đồ số 54 và thửa 16, tờ bản đồ số 54) | FLAGS=
ID=NQ28-095-S04-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=140,112,90 | ROAD=đường thửa đất đồ số Đường Long Bình - Ngã ba Bình Sơn (đoạn 1) | START=bê tông (từ ranh số 29, tờ bản 54)) Hết giao với ĐT 759 bản Nguyễn | END=thửa đất số 31, tờ đồ số 84 của ông Đình Tuấn | FLAGS=
ID=NQ28-095-S04-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=140,112,90 | ROAD=Hết thửa Đường Long Bình - bản đồ Bình Sơn (đoạn 2) Nguyễn | START=Giáp đất số 31, tờ hết số 84 của ông bản Đình Tuấn Hoàng | END=ranh xã Bình Tân; thửa đất số 14, tờ đồ số 82 của ông Hoàng Hào | FLAGS=
ID=NQ28-095-S04-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=140,112,90 | ROAD=Đường Long Hưng Giáp ranh - Bình Sơn | START=Đến xã Bình Tân tờ Phạm | END=hết thửa đất số 01, bản đồ số 107 của Thị Nguyệt | FLAGS=
ID=NQ28-095-S04-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=140,112,90 | ROAD=Đường giao thông đấu nối trục đường Toàn DT 759 phạm vi 200m | START=tuyến | END= | FLAGS=
ID=NQ28-095-S04-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Độc Lập Nguyễn Đường | START=Ngã Trường giao đường Độc Tất Thành - đất Độc Lập 44 bản | END=ba giao đường Chính - Đường lập (hết ranh thửa số 683, tờ bản đồ và thửa đất số 44, đồ số 110) | FLAGS=
ID=NQ28-095-S04-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Trường Độc lập Đường Độc Lập đất số 44 và bản đồ | START=Ngã giao đường Lập Chinh - Đường Thành (từ ranh thửa đường 682, tờ bản đồ số Trọng thửa đất số 37, tờ đất số 110) 31 | END=ba giao đường Độc - Đường Nguyễn và Ngã ba giao Độc Lập - Lê Tấn (hết ranh thửa số 156, tờ bản đồ và thửa đất số 2, tờ | FLAGS=
ID=NQ28-095-S04-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=294,235,188 | ROAD=Đường Phạm Hùng Giáp đường | START=bản Độc Lập Đường | END=đồ số 110) Lý Thường Kiệt | FLAGS=
ID=NQ28-095-S04-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=294,235,188 | ROAD=Đường Lương Định Toàn Của | START=tuyến | END= | FLAGS=
ID=NQ28-095-S04-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=294,235,188 | ROAD=Đường Phan Huy Toàn ích | START=tuyến | END= | FLAGS=
ID=NQ28-095-S04-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn KimToàn | START=tuyến Ngã | END=ba đường Phan Bá | FLAGS=
ID=NQ28-095-S04-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=294,235,188 | ROAD=Đường Đinh Văn Đường Chất | START=Vành 3 tháng 2 số 187, đồ | END=(hết ranh thửa đất 165 và thửa đất số cùng thuộc tờ bản số 50) | FLAGS=
ID=NQ28-095-S04-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Đinh Văn Vành Chất số 164, số 50) | START=đường Phan Bá (Từ ranh thửa đất Đường 186, tờ bản đồ | END=Phạm Hùng | FLAGS=
ID=NQ28-095-S04-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=294,235,188 | ROAD=Đường Đặng Văn Đường Thành | START=Nguyễn Tất Đường | END=Độc Lập | FLAGS=
