TABLE=001 | AREA=Phường Biên Hòa
--- SEQUENCE=5 | SECTION=non-agricultural | PAGES=2147-2160 | LINES=979 ---
P=2147 | X=0227.100-0247.120 | Y=0078.850-0090.010 | Biên
P=2147 | X=0282.500-0329.640 | Y=0114.350-0125.510 | Phụ lục III
P=2147 | X=0197.200-0414.770 | Y=0131.850-0143.010 | BẢNG GIÁ CÁC LOẠI ĐẤT PHI NÔNG NGHIỆP
P=2147 | X=0183.000-0429.070 | Y=0149.350-0160.510 | (Ban hành kèm theo Nghị quyết số 28/2025/NQ-HĐND)
P=2147 | X=0403.900-0522.120 | Y=0166.700-0178.010 | Đơn vị tính: 1.000 đồng/m 2
P=2147 | X=0090.100-0186.580 | Y=0184.350-0195.510 | 1. Phường Biên Hòa
P=2147 | X=0479.150-0513.010 | Y=0202.350-0213.510 | Giá đất
P=2147 | X=0482.050-0510.150 | Y=0213.850-0225.010 | cơ sở
P=2147 | X=0475.850-0516.370 | Y=0225.350-0236.510 | sản xuất
P=2147 | X=0475.000-0517.140 | Y=0236.850-0248.010 | phi nông
P=2147 | X=0439.650-0473.510 | Y=0242.600-0253.760 | Giá đất
P=2147 | X=0479.750-0512.480 | Y=0248.350-0259.510 | nghiệp
P=2147 | X=0413.700-0474.570 | Y=0254.100-0265.260 | Giá thương
P=2147 | X=0092.250-0220.170 | Y=0259.850-0271.010 | TT Tên đường giao thông
P=2147 | X=0246.950-0291.920 | Y=0259.850-0271.010 | Điểm đầu
P=2147 | X=0334.750-0382.490 | Y=0259.850-0271.010 | Điểm cuối
P=2147 | X=0481.650-0510.530 | Y=0259.850-0271.010 | và đất
P=2147 | X=0409.300-0465.220 | Y=0265.600-0276.760 | đất ở mại
P=2147 | X=0476.100-0516.050 | Y=0271.350-0282.510 | sử dụng
P=2147 | X=0439.100-0474.060 | Y=0277.100-0288.260 | dịch vụ
P=2147 | X=0475.300-0516.920 | Y=0282.850-0294.010 | cho hoạt
P=2147 | X=0483.900-0508.300 | Y=0294.350-0305.510 | động
P=2147 | X=0478.350-0513.870 | Y=0305.850-0317.010 | khoáng
P=2147 | X=0487.500-0504.720 | Y=0317.350-0328.510 | sản
P=2147 | X=0226.600-0289.810 | Y=0335.350-0346.510 | Giáp ranh giới
P=2147 | X=0312.300-0395.520 | Y=0341.100-0352.260 | Đường Nguyễn Tri
P=2147 | X=0095.600-0207.320 | Y=0346.850-0358.010 | 1 Đường Bùi Hữu Nghĩa
P=2147 | X=0226.600-0304.930 | Y=0346.850-0358.010 | thành phố Hồ Chí
P=2147 | X=0407.950-0474.720 | Y=0346.850-0358.010 | 26.100 18.300
P=2147 | X=0486.950-0517.520 | Y=0346.850-0358.010 | 15.700
P=2147 | X=0312.300-0348.880 | Y=0352.600-0363.760 | Phương
P=2147 | X=0226.600-0248.270 | Y=0358.350-0369.510 | Minh
P=2147 | X=0106.850-0394.450 | Y=0376.350-0387.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2147 | X=0106.850-0396.060 | Y=0387.850-0399.010 | Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Đường
P=2147 | X=0106.850-0404.420 | Y=0399.350-0410.510 | Nguyễn Tri Phương có hiện trạng là đường nhựa, bê tông xi măng:
P=2147 | X=0095.600-0101.160 | Y=0405.350-0416.510 | 2
P=2147 | X=0407.950-0438.520 | Y=0405.350-0416.510 | 11.800
P=2147 | X=0449.750-0474.760 | Y=0405.350-0416.510 | 8.300
P=2147 | X=0492.550-0517.560 | Y=0405.350-0416.510 | 7.100
P=2147 | X=0106.850-0329.350 | Y=0416.850-0428.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2147 | X=0106.850-0383.510 | Y=0434.350-0445.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2147 | X=0106.850-0394.450 | Y=0452.350-0463.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2147 | X=0106.850-0396.060 | Y=0463.850-0475.010 | Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Đường
P=2147 | X=0106.850-0404.420 | Y=0475.350-0486.510 | Nguyễn Tri Phương có hiện trạng là đường nhựa, bê tông xi măng:
P=2147 | X=0095.600-0329.700 | Y=0492.850-0507.010 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2147 | X=0413.550-0438.560 | Y=0495.850-0507.010 | 5.800
P=2147 | X=0449.750-0474.760 | Y=0495.850-0507.010 | 4.100
P=2147 | X=0492.550-0517.560 | Y=0495.850-0507.010 | 3.500
P=2147 | X=0106.850-0393.320 | Y=0510.350-0521.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2147 | X=0106.850-0159.560 | Y=0521.850-0533.010 | đến ≤600m.
P=2147 | X=0106.850-0329.700 | Y=0539.350-0550.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2147 | X=0106.850-0394.450 | Y=0557.350-0568.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2147 | X=0106.850-0396.060 | Y=0568.850-0580.010 | Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Đường
P=2147 | X=0106.850-0404.420 | Y=0580.350-0591.510 | Nguyễn Tri Phương có hiện trạng là đường nhựa, bê tông xi măng:
P=2147 | X=0095.600-0101.160 | Y=0586.350-0597.510 | 4
P=2147 | X=0413.550-0438.560 | Y=0586.350-0597.510 | 4.100
P=2147 | X=0449.750-0474.760 | Y=0586.350-0597.510 | 2.900
P=2147 | X=0492.550-0517.560 | Y=0586.350-0597.510 | 2.500
