TABLE=002 | AREA=Phường Trấn Biên
--- SEQUENCE=1 | SECTION=agricultural | PAGES=1-1 | LINES=37 ---
P=0001 | X=0213.200-0398.600 | Y=0078.600-0089.760 | HỘI ĐỒNG NHÂN DÂN TỈNH ĐỒNG NAI
P=0001 | X=0282.900-0328.980 | Y=0096.350-0107.510 | MỤC LỤC
P=0001 | X=0141.800-0469.860 | Y=0114.100-0125.260 | BẢNG GIÁ CÁC LOẠI ĐẤT TRÊN ĐỊA BÀN TỈNH ĐỒNG NAI NĂM 2026
P=0001 | X=0089.950-0344.160 | Y=0131.850-0143.010 | PHỤ LỤC I: BẢNG GIÁ CÁC LOẠI ĐẤT NÔNG NGHIỆP
P=0001 | X=0472.850-0513.940 | Y=0131.850-0143.010 | Từ trang
P=0001 | X=0089.950-0181.530 | Y=0149.600-0160.760 | 1. Phường Biên Hòa
P=0001 | X=0089.950-0183.740 | Y=0167.350-0178.510 | 2. Phường Trấn Biên
P=0001 | X=0089.950-0183.720 | Y=0185.100-0196.260 | 3. Phường Tam Hiệp
P=0001 | X=0089.950-0185.980 | Y=0202.850-0214.010 | 4. Phường Long Bình
P=0001 | X=0089.950-0184.290 | Y=0220.600-0231.760 | 5. Phường Trảng Dài
P=0001 | X=0089.950-0170.960 | Y=0238.350-0249.510 | 6. Phường Hố Nai
P=0001 | X=0089.950-0190.450 | Y=0256.100-0267.260 | 7. Phường Long Hưng
P=0001 | X=0089.950-0183.160 | Y=0273.850-0285.010 | 8. Phường Tân Triều
P=0001 | X=0089.950-0190.870 | Y=0291.600-0302.760 | 9. Phường Phước Tân
P=0001 | X=0089.950-0199.190 | Y=0309.350-0320.510 | 10. Phường Tam Phước
P=0001 | X=0089.950-0174.950 | Y=0327.100-0338.260 | 11. Xã Long Thành
P=0001 | X=0089.950-0157.140 | Y=0344.850-0356.010 | 12. Xã Bình An
P=0001 | X=0089.950-0167.050 | Y=0362.600-0373.760 | 13. Xã An Phước
P=0001 | X=0089.950-0177.070 | Y=0380.350-0391.510 | 14. Xã Long Phước
P=0001 | X=0089.950-0174.270 | Y=0398.100-0409.260 | 15. Xã Phước Thái
P=0001 | X=0089.950-0174.820 | Y=0415.850-0427.010 | 16. Xã Nhơn Trạch
P=0001 | X=0089.950-0169.830 | Y=0433.600-0444.760 | 17. Xã Đại Phước
P=0001 | X=0089.950-0167.060 | Y=0451.350-0462.510 | 18. Xã Phước An
P=0001 | X=0089.950-0199.870 | Y=0469.100-0480.260 | 19. Phường Long Khánh
P=0001 | X=0089.950-0186.520 | Y=0486.850-0498.010 | 20. Phường Bảo Vinh
P=0001 | X=0089.950-0188.750 | Y=0504.600-0515.760 | 21. Phường Xuân Lập
P=0001 | X=0089.950-0191.520 | Y=0522.350-0533.510 | 22. Phường Hàng Gòn
P=0001 | X=0089.950-0185.400 | Y=0540.100-0551.260 | 23. Phường Bình Lộc
P=0001 | X=0089.950-0163.830 | Y=0557.850-0569.010 | 24. Xã Xuân Lộc
P=0001 | X=0089.950-0166.050 | Y=0575.600-0586.760 | 25. Xã Xuân Hòa
P=0001 | X=0089.950-0176.050 | Y=0593.350-0604.510 | 26. Xã Xuân Thành
P=0001 | X=0089.950-0164.930 | Y=0611.100-0622.260 | 27. Xã Xuân Bắc
P=0001 | X=0089.950-0165.490 | Y=0628.850-0640.010 | 28. Xã Xuân Phú
P=0001 | X=0089.950-0168.270 | Y=0646.600-0657.760 | 29. Xã Xuân Định
P=0001 | X=0089.950-0158.790 | Y=0664.350-0675.510 | 30. Xã Cẩm Mỹ
P=0001 | X=0089.950-0166.600 | Y=0682.100-0693.260 | 31. Xã Xuân Quế
P=0001 | X=0089.950-0179.290 | Y=0699.850-0711.010 | 32. Xã Xuân Đường
--- SEQUENCE=2 | SECTION=agricultural | PAGES=20-24 | LINES=342 ---
P=0020 | X=0109.150-0386.160 | Y=0078.850-0090.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0020 | X=0109.150-0335.120 | Y=0096.350-0107.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0020 | X=0091.150-0403.870 | Y=0114.350-0125.510 | 106 Các tuyến đường tại Cù Lao Tân Vạn (đường D1, D4, D9, N2, N4)
P=0020 | X=0448.150-0473.160 | Y=0114.350-0125.510 | 1.500
P=0020 | X=0505.200-0521.880 | Y=0114.350-0125.510 | 970
P=0020 | X=0091.150-0365.030 | Y=0132.350-0143.510 | 107 Các tuyến đường tại Cù Lao Tân Vạn (các đường còn lại)
P=0020 | X=0448.150-0473.160 | Y=0132.350-0143.510 | 1.500
P=0020 | X=0505.200-0521.880 | Y=0132.350-0143.510 | 970
P=0020 | X=0090.100-0211.630 | Y=0150.010-0163.970 | 2. Phường Trấn Biên
P=0020 | X=0450.200-0520.610 | Y=0170.600-0181.760 | Giá đất Giá đất
P=0020 | X=0454.400-0516.470 | Y=0182.100-0193.260 | trồng trồng
P=0020 | X=0450.200-0515.380 | Y=0193.600-0204.760 | cây lâu rừng
P=0020 | X=0455.500-0478.820 | Y=0205.100-0216.260 | năm,
P=0020 | X=0495.100-0512.320 | Y=0205.100-0216.260 | sản
P=0020 | X=0459.650-0520.930 | Y=0216.600-0227.760 | đất xuất và
P=0020 | X=0089.950-0102.150 | Y=0222.350-0233.510 | TT
P=0020 | X=0113.100-0220.070 | Y=0222.350-0233.510 | Tên đường giao thông
P=0020 | X=0252.350-0297.320 | Y=0222.350-0233.510 | Điểm đầu
P=0020 | X=0346.450-0394.190 | Y=0222.350-0233.510 | Điểm cuối
P=0020 | X=0454.400-0514.220 | Y=0228.100-0239.260 | trồng nuôi
P=0020 | X=0458.800-0475.480 | Y=0239.600-0250.760 | cây
P=0020 | X=0490.950-0516.470 | Y=0239.600-0250.760 | trồng
P=0020 | X=0455.200-0514.240 | Y=0251.100-0262.260 | hằng thủy
P=0020 | X=0449.650-0519.500 | Y=0262.600-0273.760 | năm đề sản đề
P=0020 | X=0456.900-0477.450 | Y=0274.100-0285.260 | xuất
P=0020 | X=0493.450-0514.000 | Y=0274.100-0285.260 | xuất
P=0020 | X=0098.750-0235.680 | Y=0291.850-0303.010 | 1 Đường Nguyễn Tri Phương
P=0020 | X=0252.350-0315.120 | Y=0291.850-0303.010 | Cầu Rạch Cát
P=0020 | X=0346.450-0397.570 | Y=0291.850-0303.010 | Cầu Ghềnh
P=0020 | X=0460.500-0485.510 | Y=0291.850-0303.010 | 1.500
P=0020 | X=0505.300-0521.980 | Y=0291.850-0303.010 | 970
P=0020 | X=0113.100-0412.880 | Y=0309.600-0320.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Tri
