TABLE=004 | AREA=Phường Long Bình
--- SEQUENCE=11 | SECTION=non-agricultural | PAGES=5803-5803 | LINES=27 ---
P=5803 | X=0090.100-0097.730 | Y=0086.010-0099.970 | 4
P=5803 | X=0090.100-0198.640 | Y=0100.010-0113.970 | Phường Long Bình
P=5803 | X=0090.100-0244.210 | Y=0170.010-0183.970 | Đường Nguyễn Trường Tộ
P=5803 | X=0090.100-0146.950 | Y=0184.010-0197.970 | Quốc lộ 1
P=5803 | X=0090.100-0226.120 | Y=0198.010-0211.970 | Đường Hoàng Văn Bổn
P=5803 | X=0090.100-0221.140 | Y=0240.010-0253.970 | Đường Hoàng Bá Bích
P=5803 | X=0090.100-0328.710 | Y=0254.010-0267.970 | Đường Bùi Văn Hòa (Quốc lộ 15 nối dài)
P=5803 | X=0090.100-0247.510 | Y=0268.010-0281.970 | Đến đường Hoàng Tam Kỳ
P=5803 | X=0090.100-0237.350 | Y=0310.010-0323.970 | Đường Thân Nhân Trung
P=5803 | X=0090.100-0229.670 | Y=0324.010-0337.970 | Đường Nguyễn Ái Quốc
P=5803 | X=0090.100-0171.400 | Y=0338.010-0351.970 | Suối Săn Máu
P=5803 | X=0090.100-0229.670 | Y=0380.010-0393.970 | Đường Nguyễn Ái Quốc
P=5803 | X=0090.100-0504.080 | Y=0394.010-0407.970 | Công viên 30 tháng 4 (bên phải: hẻm Đền Thánh Hiếu; bên trái: hẻm
P=5803 | X=0090.100-0206.340 | Y=0408.010-0421.970 | chợ nhỏ khu phố 4)
P=5803 | X=0090.100-0233.670 | Y=0422.010-0435.970 | Ranh phường Long Bình
P=5803 | X=0090.100-0226.120 | Y=0464.010-0477.970 | Đường Hoàng Văn Bổn
P=5803 | X=0090.100-0146.950 | Y=0478.010-0491.970 | Quốc lộ 1
P=5803 | X=0090.100-0244.210 | Y=0492.010-0505.970 | Đường Nguyễn Trường Tộ
P=5803 | X=0090.100-0226.120 | Y=0534.010-0547.970 | Đường Hoàng Văn Bổn
P=5803 | X=0090.100-0244.210 | Y=0548.010-0561.970 | Đường Nguyễn Trường Tộ
P=5803 | X=0090.100-0302.580 | Y=0562.010-0575.970 | Giáp ranh Nhà máy nước Thiện Tân
P=5803 | X=0090.100-0226.120 | Y=0604.010-0617.970 | Đường Hoàng Văn Bổn
P=5803 | X=0090.100-0302.580 | Y=0618.010-0631.970 | Giáp ranh Nhà máy nước Thiện Tân
P=5803 | X=0090.100-0391.350 | Y=0632.010-0645.970 | Giáp ranh phường Long Bình và phường Trảng Dài
P=5803 | X=0090.100-0146.950 | Y=0674.010-0687.970 | Quốc lộ 1
P=5803 | X=0090.100-0507.710 | Y=0688.010-0701.970 | Đường bên hông giáo xứ Hà Nội (bên phải); đường chợ nhỏ khu phố 4
P=5803 | X=0090.100-0146.150 | Y=0702.010-0715.970 | (bên trái)
