TABLE=005 | AREA=Phường Trảng Dài
--- SEQUENCE=3 | SECTION=agricultural | PAGES=198-199 | LINES=126 ---
P=0198 | X=0115.350-0169.710 | Y=0078.850-0090.010 | Đường ranh
P=0198 | X=0115.350-0170.820 | Y=0090.350-0101.510 | phường Tân
P=0198 | X=0310.150-0408.500 | Y=0090.350-0101.510 | Ngã ba (hết ranh thửa
P=0198 | X=0094.250-0144.220 | Y=0101.850-0113.010 | 253 Triều -
P=0198 | X=0182.300-0252.210 | Y=0101.850-0113.010 | Đường tỉnh 768
P=0198 | X=0310.150-0418.350 | Y=0101.850-0113.010 | đất số 121, tờ bản đồ số
P=0198 | X=0445.650-0462.330 | Y=0101.850-0113.010 | 700
P=0198 | X=0505.200-0521.880 | Y=0101.850-0113.010 | 500
P=0198 | X=0115.350-0179.710 | Y=0113.350-0124.510 | phường Trảng
P=0198 | X=0310.150-0324.600 | Y=0113.350-0124.510 | 19)
P=0198 | X=0115.350-0130.320 | Y=0124.850-0136.010 | Dài
P=0198 | X=0115.350-0386.270 | Y=0142.850-0154.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ranh
P=0198 | X=0115.350-0416.720 | Y=0154.350-0165.510 | phường Tân Triều - phường Trảng Dài đoạn từ Đường tỉnh 768 đến
P=0198 | X=0115.350-0412.980 | Y=0165.850-0177.010 | Ngã ba (hết ranh thửa đất số 121, tờ bản đồ số 19) có hiện trạng là
P=0198 | X=0094.250-0250.830 | Y=0177.350-0188.760 | 254 đường nhựa, bê tông xi măng:
P=0198 | X=0445.650-0462.330 | Y=0177.600-0188.760 | 480
P=0198 | X=0505.200-0521.880 | Y=0177.600-0188.760 | 310
P=0198 | X=0115.350-0346.180 | Y=0194.850-0206.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0198 | X=0115.350-0392.010 | Y=0212.350-0223.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0198 | X=0115.350-0386.270 | Y=0230.350-0241.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ranh
P=0198 | X=0115.350-0416.720 | Y=0241.850-0253.010 | phường Tân Triều - phường Trảng Dài đoạn từ Đường tỉnh 768 đến
P=0198 | X=0115.350-0412.980 | Y=0253.350-0264.510 | Ngã ba (hết ranh thửa đất số 121, tờ bản đồ số 19) có hiện trạng là
P=0198 | X=0115.350-0250.830 | Y=0264.850-0276.010 | đường nhựa, bê tông xi măng:
P=0198 | X=0094.250-0346.530 | Y=0279.600-0293.510 | 255 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0198 | X=0445.650-0462.330 | Y=0279.600-0290.760 | 370
P=0198 | X=0505.200-0521.880 | Y=0279.600-0290.760 | 240
