TABLE=007 | AREA=Phường Long Hưng
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6022-6022 | LINES=39 ---
P=6022 | X=0090.100-0097.730 | Y=0086.010-0099.970 | 7
P=6022 | X=0090.100-0203.700 | Y=0100.010-0113.970 | Phường Long Hưng
P=6022 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 460
P=6022 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 460
P=6022 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 310
P=6022 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 310
P=6022 | X=0090.100-0097.730 | Y=0184.010-0197.970 | 8
P=6022 | X=0090.100-0195.480 | Y=0198.010-0211.970 | Phường Tân Triều
P=6022 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 230
P=6022 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 230
P=6022 | X=0090.100-0113.000 | Y=0240.010-0253.970 | 140
P=6022 | X=0090.100-0113.000 | Y=0254.010-0267.970 | 140
P=6022 | X=0090.100-0097.730 | Y=0282.010-0295.970 | 9
P=6022 | X=0090.100-0201.280 | Y=0296.010-0309.970 | Phường Phước Tân
P=6022 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 460
P=6022 | X=0090.100-0113.000 | Y=0324.010-0337.970 | 460
P=6022 | X=0090.100-0113.000 | Y=0338.010-0351.970 | 310
P=6022 | X=0090.100-0113.000 | Y=0352.010-0365.970 | 310
P=6022 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 10
P=6022 | X=0090.100-0205.370 | Y=0394.010-0407.970 | Phường Tam Phước
P=6022 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 460
P=6022 | X=0090.100-0113.000 | Y=0422.010-0435.970 | 460
P=6022 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 310
P=6022 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 310
P=6022 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 11
P=6022 | X=0090.100-0179.940 | Y=0492.010-0505.970 | Xã Long Thành
P=6022 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 230
P=6022 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 230
P=6022 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 180
P=6022 | X=0090.100-0113.000 | Y=0548.010-0561.970 | 180
P=6022 | X=0090.100-0105.360 | Y=0576.010-0589.970 | 12
P=6022 | X=0090.100-0155.820 | Y=0590.010-0603.970 | Xã Bình An
P=6022 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 230
P=6022 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 230
P=6022 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 230
P=6022 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 230
P=6022 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 13
P=6022 | X=0090.100-0165.430 | Y=0688.010-0701.970 | Xã An Phước
P=6022 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 230
