TABLE=008 | AREA=Phường Tân Triều
--- SEQUENCE=2 | SECTION=agricultural | PAGES=25-160 | LINES=8981 ---
P=0025 | X=0113.100-0345.210 | Y=0078.600-0089.760 | Triều có hiện trạng là đường nhựa, bê tông xi măng:
P=0025 | X=0113.100-0335.600 | Y=0096.100-0107.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0025 | X=0113.100-0389.760 | Y=0113.600-0124.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0025 | X=0113.100-0432.360 | Y=0131.350-0142.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0025 | X=0113.100-0424.680 | Y=0142.850-0154.010 | Huỳnh Văn Nghệ đoạn từ Ngã ba Gạc Nai đến Giáp ranh phường Tân
P=0025 | X=0113.100-0345.210 | Y=0154.350-0165.510 | Triều có hiện trạng là đường nhựa, bê tông xi măng:
P=0025 | X=0096.000-0335.950 | Y=0171.850-0186.010 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0025 | X=0468.800-0485.480 | Y=0174.850-0186.010 | 860
P=0025 | X=0505.300-0521.980 | Y=0174.850-0186.010 | 570
P=0025 | X=0113.100-0419.020 | Y=0189.350-0200.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0025 | X=0113.100-0146.350 | Y=0200.850-0212.010 | ≤600m.
P=0025 | X=0113.100-0335.950 | Y=0218.350-0229.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0025 | X=0113.100-0432.360 | Y=0236.100-0247.260 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0025 | X=0113.100-0424.680 | Y=0247.600-0258.760 | Huỳnh Văn Nghệ đoạn từ Ngã ba Gạc Nai đến Giáp ranh phường Tân
P=0025 | X=0113.100-0345.210 | Y=0259.100-0270.260 | Triều có hiện trạng là đường nhựa, bê tông xi măng:
P=0025 | X=0096.000-0107.120 | Y=0265.100-0276.260 | 42
P=0025 | X=0468.800-0485.480 | Y=0265.100-0276.260 | 670
P=0025 | X=0505.300-0521.980 | Y=0265.100-0276.260 | 450
P=0025 | X=0113.100-0390.110 | Y=0276.600-0287.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0025 | X=0113.100-0339.070 | Y=0294.100-0305.260 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0025 | X=0252.350-0336.160 | Y=0311.850-0323.010 | Đường Huỳnh Văn
P=0025 | X=0346.450-0429.580 | Y=0311.850-0323.010 | Đường Võ Trường
P=0025 | X=0096.000-0234.680 | Y=0317.600-0328.760 | 43 Đường Nguyễn Đình Chiểu
P=0025 | X=0460.500-0485.510 | Y=0317.600-0328.760 | 1.500
P=0025 | X=0505.300-0521.980 | Y=0317.600-0328.760 | 970
P=0025 | X=0252.350-0276.250 | Y=0323.350-0334.510 | Nghệ
P=0025 | X=0346.450-0369.230 | Y=0323.350-0334.510 | Toản
P=0025 | X=0113.100-0422.350 | Y=0341.100-0352.260 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Đình
P=0025 | X=0113.100-0433.940 | Y=0352.600-0363.760 | Chiểu đoạn từ Đường Huỳnh Văn Nghệ đến Đường Võ Trường Toản có
P=0025 | X=0113.100-0306.340 | Y=0364.100-0375.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=0025 | X=0096.000-0107.120 | Y=0370.100-0381.260 | 44
P=0025 | X=0460.500-0485.510 | Y=0370.100-0381.260 | 1.030
P=0025 | X=0505.300-0521.980 | Y=0370.100-0381.260 | 680
P=0025 | X=0113.100-0335.600 | Y=0381.600-0392.760 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0025 | X=0113.100-0389.760 | Y=0399.100-0410.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0025 | X=0113.100-0422.350 | Y=0416.850-0428.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Đình
P=0025 | X=0113.100-0433.940 | Y=0428.350-0439.510 | Chiểu đoạn từ Đường Huỳnh Văn Nghệ đến Đường Võ Trường Toản có
P=0025 | X=0113.100-0306.340 | Y=0439.850-0451.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=0025 | X=0096.000-0335.950 | Y=0457.350-0471.510 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0025 | X=0468.800-0485.480 | Y=0460.350-0471.510 | 860
P=0025 | X=0505.300-0521.980 | Y=0460.350-0471.510 | 570
P=0025 | X=0113.100-0419.020 | Y=0474.850-0486.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0025 | X=0113.100-0146.350 | Y=0486.350-0497.510 | ≤600m.
P=0025 | X=0113.100-0335.950 | Y=0503.850-0515.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0025 | X=0113.100-0422.350 | Y=0521.600-0532.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Đình
P=0025 | X=0113.100-0433.940 | Y=0533.100-0544.260 | Chiểu đoạn từ Đường Huỳnh Văn Nghệ đến Đường Võ Trường Toản có
P=0025 | X=0113.100-0306.340 | Y=0544.600-0555.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=0025 | X=0096.000-0107.120 | Y=0550.600-0561.760 | 46
P=0025 | X=0468.800-0485.480 | Y=0550.600-0561.760 | 670
P=0025 | X=0505.300-0521.980 | Y=0550.600-0561.760 | 450
P=0025 | X=0113.100-0390.110 | Y=0562.100-0573.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
