TABLE=010 | AREA=Phường Tam Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5754-5755 | LINES=48 ---
P=5754 | X=0090.100-0508.920 | Y=0072.010-0085.970 | Đường Hà Nam (từ Quốc lộ 51 đến hết ranh thửa đất số 141, tờ BĐĐC
P=5754 | X=0090.100-0521.050 | Y=0086.010-0099.970 | số 82 về bên phải và hết ranh thửa đất số 8, tờ BĐĐC số 82 về bên trái,
P=5754 | X=0090.100-0210.430 | Y=0100.010-0113.970 | phường Tam Phước)
P=5754 | X=0090.100-0124.430 | Y=0114.010-0127.970 | 5.500
P=5754 | X=0090.100-0197.070 | Y=0156.010-0169.970 | Các đường còn lại
P=5754 | X=0090.100-0124.430 | Y=0170.010-0183.970 | 3.900
P=5754 | X=0090.100-0179.940 | Y=0212.010-0225.970 | Xã Long Thành
P=5754 | X=0090.100-0097.730 | Y=0254.010-0267.970 | 1
P=5754 | X=0090.100-0420.840 | Y=0268.010-0281.970 | Khu tái định cư Liên Kim Sơn (thị trấn Long Thành (cũ))
P=5754 | X=0090.100-0482.380 | Y=0324.010-0337.970 | Đường Huỳnh Văn Lũy (từ đường Nguyễn Văn Cừ đến đường Trần
P=5754 | X=0090.100-0164.290 | Y=0338.010-0351.970 | Quang Khải)
P=5754 | X=0090.100-0124.430 | Y=0352.010-0365.970 | 7.400
P=5754 | X=0090.100-0225.280 | Y=0394.010-0407.970 | Đường Nguyễn Văn Ký
P=5754 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 7.400
P=5754 | X=0090.100-0197.070 | Y=0450.010-0463.970 | Các đường còn lại
P=5754 | X=0090.100-0124.430 | Y=0464.010-0477.970 | 5.200
P=5754 | X=0090.100-0097.730 | Y=0492.010-0505.970 | 2
P=5754 | X=0090.100-0232.870 | Y=0506.010-0519.970 | Khu tái định cư Long An
P=5754 | X=0090.100-0503.720 | Y=0562.010-0575.970 | Đường Bưng Môn qua xã Long An (cũ) (từ Quốc lộ 51 đến Đường tỉnh
P=5754 | X=0090.100-0117.680 | Y=0576.010-0589.970 | 769)
P=5754 | X=0090.100-0124.430 | Y=0590.010-0603.970 | 7.200
P=5754 | X=0090.100-0197.070 | Y=0632.010-0645.970 | Các đường còn lại
P=5754 | X=0090.100-0124.430 | Y=0646.010-0659.970 | 5.100
P=5754 | X=0090.100-0097.730 | Y=0674.010-0687.970 | 3
P=5754 | X=0090.100-0348.680 | Y=0688.010-0701.970 | Khu tái định cư An Thuận (xã Long An (cũ))
P=5755 | X=0090.100-0344.740 | Y=0100.010-0113.970 | Các đường trong Khu tái định cư An Thuận
P=5755 | X=0090.100-0124.430 | Y=0114.010-0127.970 | 6.000
P=5755 | X=0090.100-0097.730 | Y=0142.010-0155.970 | 4
P=5755 | X=0090.100-0402.180 | Y=0156.010-0169.970 | Khu dân cư, tái định cư tại xã Lộc An - Bình Sơn (cũ)
P=5755 | X=0090.100-0338.420 | Y=0212.010-0225.970 | Các đường: N19, N23, N39, D1, D16, D18
P=5755 | X=0090.100-0132.060 | Y=0226.010-0239.970 | 10.200
P=5755 | X=0090.100-0334.600 | Y=0268.010-0281.970 | Các đường: N7, N 47, N54, D2, D10, D22
P=5755 | X=0090.100-0124.430 | Y=0282.010-0295.970 | 8.400
P=5755 | X=0090.100-0235.240 | Y=0324.010-0337.970 | Các tuyến đường còn lại
P=5755 | X=0090.100-0124.430 | Y=0338.010-0351.970 | 6.700
P=5755 | X=0090.100-0097.730 | Y=0366.010-0379.970 | 5
P=5755 | X=0090.100-0305.440 | Y=0380.010-0393.970 | Tái định cư thị trấn Long Thành (cũ)
P=5755 | X=0090.100-0239.590 | Y=0436.010-0449.970 | Đường Hoàng Minh Châu
P=5755 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 7.600
P=5755 | X=0090.100-0197.070 | Y=0492.010-0505.970 | Các đường còn lại
P=5755 | X=0090.100-0124.430 | Y=0506.010-0519.970 | 5.300
P=5755 | X=0090.100-0097.730 | Y=0534.010-0547.970 | 6
P=5755 | X=0090.100-0390.500 | Y=0548.010-0561.970 | Tái định cư Lâm Trường (thị trấn Long Thành (cũ))
P=5755 | X=0090.100-0479.150 | Y=0604.010-0617.970 | Đường Nguyễn Đình Chiểu (từ đường Lê Duẩn đến đường Trường
P=5755 | X=0090.100-0129.270 | Y=0618.010-0631.970 | Chinh)
P=5755 | X=0090.100-0132.060 | Y=0632.010-0645.970 | 19.500
P=5755 | X=0090.100-0197.070 | Y=0674.010-0687.970 | Các đường còn lại
P=5755 | X=0090.100-0132.060 | Y=0688.010-0701.970 | 13.700
