TABLE=012 | AREA=Xã Bình An
--- SEQUENCE=9 | SECTION=non-agricultural | PAGES=5736-5736 | LINES=37 ---
P=5736 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 910
P=5736 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 17
P=5736 | X=0090.100-0148.480 | Y=0114.010-0127.970 | Xã Đồi 61
P=5736 | X=0090.100-0155.590 | Y=0128.010-0141.970 | Xã An Viễn
P=5736 | X=0090.100-0124.430 | Y=0142.010-0155.970 | 1.200
P=5736 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 18
P=5736 | X=0090.100-0136.450 | Y=0184.010-0197.970 | Bình An
P=5736 | X=0090.100-0155.820 | Y=0198.010-0211.970 | Xã Bình An
P=5736 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 1.500
P=5736 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 19
P=5736 | X=0090.100-0151.240 | Y=0254.010-0267.970 | Sông Trầu
P=5736 | X=0090.100-0175.320 | Y=0268.010-0281.970 | Xã Trảng Bom
P=5736 | X=0090.100-0124.430 | Y=0282.010-0295.970 | 1.200
P=5736 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 20
P=5736 | X=0090.100-0159.150 | Y=0324.010-0337.970 | Hưng Thịnh
P=5736 | X=0090.100-0178.510 | Y=0338.010-0351.970 | Xã Hưng Thịnh
P=5736 | X=0090.100-0124.430 | Y=0352.010-0365.970 | 1.200
P=5736 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 21
P=5736 | X=0090.100-0123.180 | Y=0394.010-0407.970 | Lộ 25
P=5736 | X=0090.100-0164.490 | Y=0408.010-0421.970 | Xã Dầu Giây
P=5736 | X=0090.100-0124.430 | Y=0422.010-0435.970 | 1.270
P=5736 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 22
P=5736 | X=0090.100-0168.540 | Y=0464.010-0477.970 | Quang Trung
P=5736 | X=0090.100-0163.480 | Y=0478.010-0491.970 | Xã Gia Kiệm
P=5736 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 1.270
P=5736 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 23
P=5736 | X=0090.100-0179.980 | Y=0534.010-0547.970 | Quang Trung 1
P=5736 | X=0090.100-0163.480 | Y=0548.010-0561.970 | Xã Gia Kiệm
P=5736 | X=0090.100-0124.430 | Y=0562.010-0575.970 | 1.270
P=5736 | X=0090.100-0105.360 | Y=0590.010-0603.970 | 24
P=5736 | X=0090.100-0179.980 | Y=0604.010-0617.970 | Quang Trung 2
P=5736 | X=0090.100-0163.480 | Y=0618.010-0631.970 | Xã Gia Kiệm
P=5736 | X=0090.100-0124.430 | Y=0632.010-0645.970 | 1.270
P=5736 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 25
P=5736 | X=0090.100-0137.830 | Y=0674.010-0687.970 | Phú Túc
P=5736 | X=0090.100-0179.340 | Y=0688.010-0701.970 | Xã Thống Nhất
P=5736 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 620
--- SEQUENCE=11 | SECTION=non-agricultural | PAGES=5830-5832 | LINES=84 ---
P=5830 | X=0090.100-0154.580 | Y=0072.010-0085.970 | Quốc lộ 51
P=5830 | X=0090.100-0323.490 | Y=0086.010-0099.970 | Ranh giới Sân bay Quốc tế Long Thành
P=5830 | X=0090.100-0308.640 | Y=0128.010-0141.970 | Đường Bưng Môn qua xã Long An cũ
P=5830 | X=0090.100-0154.580 | Y=0142.010-0155.970 | Quốc lộ 51
P=5830 | X=0090.100-0183.250 | Y=0156.010-0169.970 | Đường tỉnh 769
P=5830 | X=0090.100-0303.610 | Y=0198.010-0211.970 | Đường liên xã Long Đức - Lộc An cũ
P=5830 | X=0090.100-0183.250 | Y=0212.010-0225.970 | Đường tỉnh 769
P=5830 | X=0090.100-0217.330 | Y=0226.010-0239.970 | Giáp ranh xã Bình An
P=5830 | X=0090.100-0218.650 | Y=0268.010-0281.970 | Đường Ngô Hà Thành
