TABLE=013 | AREA=Xã An Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5756-5757 | LINES=45 ---
P=5756 | X=0090.100-0097.730 | Y=0072.010-0085.970 | 7
P=5756 | X=0090.100-0304.350 | Y=0086.010-0099.970 | Tái định cư Trung tâm khuyến nông
P=5756 | X=0090.100-0506.240 | Y=0142.010-0155.970 | Đường Lê Duẩn (đoạn từ giáp ranh xã An Phước đến đường Trần Phú)
P=5756 | X=0090.100-0132.060 | Y=0156.010-0169.970 | 23.100
P=5756 | X=0090.100-0197.070 | Y=0198.010-0211.970 | Các đường còn lại
P=5756 | X=0090.100-0132.060 | Y=0212.010-0225.970 | 13.500
P=5756 | X=0090.100-0097.730 | Y=0240.010-0253.970 | 8
P=5756 | X=0090.100-0325.840 | Y=0254.010-0267.970 | Tái định cư Trung tâm dịch vụ Công ích
P=5756 | X=0090.100-0201.880 | Y=0310.010-0323.970 | Đường Võ Văn Tần
P=5756 | X=0090.100-0132.060 | Y=0324.010-0337.970 | 14.700
P=5756 | X=0090.100-0242.290 | Y=0366.010-0379.970 | Đường Nguyễn Hữu Cảnh
P=5756 | X=0090.100-0132.060 | Y=0380.010-0393.970 | 16.800
P=5756 | X=0090.100-0197.070 | Y=0422.010-0435.970 | Các đường còn lại
P=5756 | X=0090.100-0097.730 | Y=0464.010-0477.970 | 9
P=5756 | X=0090.100-0190.010 | Y=0478.010-0491.970 | Tái định cư 47ha
P=5756 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 9.800
P=5756 | X=0090.100-0282.960 | Y=0534.010-0547.970 | Các đường trong khu tái định cư
P=5756 | X=0090.100-0105.360 | Y=0576.010-0589.970 | 10
P=5756 | X=0090.100-0499.030 | Y=0590.010-0603.970 | Khu tái định cư thị trấn Long Thành (cũ) (khu đất Hội cựu chiến binh
P=5756 | X=0090.100-0159.380 | Y=0604.010-0617.970 | huyện (cũ))
P=5756 | X=0090.100-0483.710 | Y=0660.010-0673.970 | Đường Lê Duẩn (đoạn từ đường Trần Phú đến đường Lý Tự Trọng)
P=5756 | X=0090.100-0132.060 | Y=0674.010-0687.970 | 28.600
P=5757 | X=0090.100-0226.300 | Y=0072.010-0085.970 | Đường Nguyễn Văn Cừ
P=5757 | X=0090.100-0132.060 | Y=0086.010-0099.970 | 15.400
P=5757 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 11
P=5757 | X=0090.100-0516.250 | Y=0128.010-0141.970 | Khu dân cư, tái định cư thuộc dự án Khu Trung tâm hành chính xã Bình
P=5757 | X=0090.100-0139.980 | Y=0142.010-0155.970 | Sơn (cũ)
P=5757 | X=0090.100-0282.960 | Y=0198.010-0211.970 | Các đường trong khu tái định cư
P=5757 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 6.700
