TABLE=014 | AREA=Xã Long Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5758-5758 | LINES=21 ---
P=5758 | X=0090.100-0333.640 | Y=0114.010-0127.970 | Các đường trong Khu tái định cư Tam An
P=5758 | X=0090.100-0124.430 | Y=0128.010-0141.970 | 3.200
P=5758 | X=0090.100-0178.840 | Y=0170.010-0183.970 | Xã Long Phước
P=5758 | X=0090.100-0253.420 | Y=0226.010-0239.970 | Khu tái định cư Long Phước
P=5758 | X=0090.100-0357.050 | Y=0282.010-0295.970 | Các đường trong Khu tái định cư Long Phước
P=5758 | X=0090.100-0124.430 | Y=0296.010-0309.970 | 5.200
P=5758 | X=0090.100-0175.200 | Y=0338.010-0351.970 | Xã Phước Thái
P=5758 | X=0090.100-0097.730 | Y=0380.010-0393.970 | 1
P=5758 | X=0090.100-0250.950 | Y=0394.010-0407.970 | Khu tái định cư Phước Bình
P=5758 | X=0090.100-0510.660 | Y=0450.010-0463.970 | Đường vào UBND xã Phước Bình (cũ) (Đoạn từ Quốc lộ 51 đến hết khu
P=5758 | X=0090.100-0517.340 | Y=0464.010-0477.970 | làng dân tộc Chơro (bên phải hết ranh thửa đất số 26, tờ BĐĐC số 190;
P=5758 | X=0090.100-0473.830 | Y=0478.010-0491.970 | bên trái hết ranh thửa đất số 4, tờ BĐĐC số 190, xã Phước Thái)
P=5758 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 7.100
P=5758 | X=0090.100-0197.070 | Y=0534.010-0547.970 | Các đường còn lại
P=5758 | X=0090.100-0124.430 | Y=0548.010-0561.970 | 5.000
P=5758 | X=0090.100-0097.730 | Y=0576.010-0589.970 | 2
P=5758 | X=0090.100-0237.430 | Y=0590.010-0603.970 | Khu tái định cư Tân Hiệp
P=5758 | X=0090.100-0510.660 | Y=0646.010-0659.970 | Đường vào UBND xã Phước Bình (cũ) (Đoạn từ Quốc lộ 51 đến hết khu
P=5758 | X=0090.100-0517.340 | Y=0660.010-0673.970 | làng dân tộc Chơro (bên phải hết ranh thửa đất số 26, tờ BĐĐC số 190;
P=5758 | X=0090.100-0473.830 | Y=0674.010-0687.970 | bên trái hết ranh thửa đất số 4, tờ BĐĐC số 190, xã Phước Thái)
P=5758 | X=0090.100-0124.430 | Y=0688.010-0701.970 | 7.100
--- SEQUENCE=11 | SECTION=non-agricultural | PAGES=5840-5852 | LINES=363 ---
P=5840 | X=0090.100-0293.610 | Y=0086.010-0099.970 | Đường khu công nghiệp Long Đức
P=5840 | X=0090.100-0154.580 | Y=0100.010-0113.970 | Quốc lộ 51
P=5840 | X=0090.100-0371.180 | Y=0114.010-0127.970 | Ranh khu công nghiệp Long Đức - xã An Phước
P=5840 | X=0090.100-0353.770 | Y=0156.010-0169.970 | Đường Bùi Thị Xuân đoạn đã đầu tư hạ tầng
P=5840 | X=0090.100-0241.450 | Y=0170.010-0183.970 | Giáp ranh xã Long Thành
P=5840 | X=0090.100-0457.860 | Y=0184.010-0197.970 | Ranh khu công nghệ cao Long Thành đoạn đã đầu tư hạ tầng
P=5840 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 14
P=5840 | X=0090.100-0178.840 | Y=0226.010-0239.970 | Xã Long Phước
