TABLE=015 | AREA=Xã Phước Thái
--- SEQUENCE=8 | SECTION=non-agricultural | PAGES=5729-5729 | LINES=37 ---
P=5729 | X=0090.100-0155.820 | Y=0072.010-0085.970 | Xã Bình An
P=5729 | X=0090.100-0124.430 | Y=0086.010-0099.970 | 2.000
P=5729 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 11
P=5729 | X=0090.100-0195.320 | Y=0128.010-0141.970 | Lộc An - Bình Sơn
P=5729 | X=0090.100-0179.940 | Y=0142.010-0155.970 | Xã Long Thành
P=5729 | X=0090.100-0124.430 | Y=0156.010-0169.970 | 2.000
P=5729 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 12
P=5729 | X=0090.100-0134.690 | Y=0198.010-0211.970 | Gò Dầu
P=5729 | X=0090.100-0175.200 | Y=0212.010-0225.970 | Xã Phước Thái
P=5729 | X=0090.100-0124.430 | Y=0226.010-0239.970 | 2.300
P=5729 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 13
P=5729 | X=0090.100-0140.010 | Y=0268.010-0281.970 | Bàu Xéo
P=5729 | X=0090.100-0175.320 | Y=0282.010-0295.970 | Xã Trảng Bom
P=5729 | X=0090.100-0124.430 | Y=0296.010-0309.970 | 1.800
P=5729 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 14
P=5729 | X=0090.100-0129.890 | Y=0338.010-0351.970 | Hố Nai
P=5729 | X=0090.100-0404.560 | Y=0352.010-0365.970 | Xã Bình Minh, phường Phước Tân, phường Long Bình
P=5729 | X=0090.100-0124.430 | Y=0366.010-0379.970 | 2.000
P=5729 | X=0090.100-0105.360 | Y=0394.010-0407.970 | 15
P=5729 | X=0090.100-0153.790 | Y=0408.010-0421.970 | Thạnh Phú
P=5729 | X=0090.100-0195.480 | Y=0422.010-0435.970 | Phường Tân Triều
P=5729 | X=0090.100-0124.430 | Y=0436.010-0449.970 | 2.100
P=5729 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 16
P=5729 | X=0090.100-0148.830 | Y=0478.010-0491.970 | Sông Mây
P=5729 | X=0090.100-0333.130 | Y=0492.010-0505.970 | Xã Tân An, xã Bình Minh, phường Hố Nai
P=5729 | X=0090.100-0124.430 | Y=0506.010-0519.970 | 1.800
P=5729 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 17
P=5729 | X=0090.100-0493.910 | Y=0548.010-0561.970 | Nhơn Trạch (gồm: Nhơn Trạch I, Nhơn Trạch II, Nhơn Trạch V, Nhơn
P=5729 | X=0090.100-0370.970 | Y=0562.010-0575.970 | Trạch II - Nhơn Phú, Nhơn Trạch II - Lộc Khang)
P=5729 | X=0090.100-0178.560 | Y=0576.010-0589.970 | Xã Nhơn Trạch
P=5729 | X=0090.100-0124.430 | Y=0590.010-0603.970 | 2.100
P=5729 | X=0090.100-0105.360 | Y=0618.010-0631.970 | 18
P=5729 | X=0090.100-0312.100 | Y=0632.010-0645.970 | Nhơn Trạch III, Dệt May - Nhơn Trạch
P=5729 | X=0090.100-0260.360 | Y=0646.010-0659.970 | Xã Phước An, xã Nhơn Trạch
P=5729 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 2.100
P=5729 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 19
