TABLE=017 | AREA=Xã Đại Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5761-5762 | LINES=47 ---
P=5761 | X=0090.100-0097.730 | Y=0100.010-0113.970 | 1
P=5761 | X=0090.100-0409.180 | Y=0114.010-0127.970 | Khu dân cư, tái định cư Đại Lộc 1 và 2 (xã Đại Phước)
P=5761 | X=0090.100-0197.070 | Y=0170.010-0183.970 | Các đường còn lại
P=5761 | X=0090.100-0124.430 | Y=0184.010-0197.970 | 9.500
P=5761 | X=0090.100-0097.730 | Y=0212.010-0225.970 | 2
P=5761 | X=0090.100-0262.190 | Y=0226.010-0239.970 | Khu tái định cư Phước Khánh
P=5761 | X=0090.100-0501.620 | Y=0282.010-0295.970 | Đường vào khu tái định cư Phước Khánh (từ đường Phạm Thái Bường
P=5761 | X=0090.100-0315.830 | Y=0296.010-0309.970 | đến hết khu tái định cư Phước Khánh)
P=5761 | X=0090.100-0124.430 | Y=0310.010-0323.970 | 5.700
P=5761 | X=0090.100-0197.070 | Y=0352.010-0365.970 | Các đường còn lại
P=5761 | X=0090.100-0124.430 | Y=0366.010-0379.970 | 4.500
P=5761 | X=0090.100-0097.730 | Y=0394.010-0407.970 | 3
P=5761 | X=0090.100-0483.230 | Y=0408.010-0421.970 | Khu tái định cư Phú Đông (Công ty Cổ phần Đầu tư Sen Việt Công
P=5761 | X=0090.100-0234.030 | Y=0422.010-0435.970 | Thương làm chủ đầu tư)
P=5761 | X=0090.100-0335.090 | Y=0478.010-0491.970 | Các đường của Khu tái định cư Phú Đông
P=5761 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 4.000
P=5761 | X=0090.100-0165.420 | Y=0534.010-0547.970 | Xã Phước An
P=5761 | X=0090.100-0097.730 | Y=0576.010-0589.970 | 1
P=5761 | X=0090.100-0505.520 | Y=0590.010-0603.970 | Khu dân cư, tái định cư Phước An 2 (Công ty HUD bàn giao cho UBND
P=5761 | X=0090.100-0350.540 | Y=0604.010-0617.970 | huyện Nhơn Trạch (cũ) quản lý và sử dụng)
P=5761 | X=0090.100-0226.300 | Y=0660.010-0673.970 | Đường Nguyễn Văn Cừ
P=5761 | X=0090.100-0124.430 | Y=0674.010-0687.970 | 8.500
P=5762 | X=0090.100-0515.220 | Y=0072.010-0085.970 | Đường Lê Hồng Phong (từ đường Nguyễn Thị Chơn đến đường D15 khu
P=5762 | X=0090.100-0239.030 | Y=0086.010-0099.970 | dân cư HUD Nhơn Trạch)
P=5762 | X=0090.100-0124.430 | Y=0100.010-0113.970 | 6.500
P=5762 | X=0090.100-0197.070 | Y=0142.010-0155.970 | Các đường còn lại
P=5762 | X=0090.100-0124.430 | Y=0156.010-0169.970 | 4.500
P=5762 | X=0090.100-0097.730 | Y=0184.010-0197.970 | 2
P=5762 | X=0090.100-0517.860 | Y=0198.010-0211.970 | Khu dân cư, tái định cư Phước An 3 (Ban Quản lý dự án làm chủ đầu tư)
P=5762 | X=0090.100-0226.300 | Y=0254.010-0267.970 | Đường Nguyễn Văn Cừ
